ms,degC
1,36.92
1001,37.79
2001,36.65
3001,37.4
4001,37.12
5001,37.5
6001,36.34
7001,36.93
8001,37.09
9001,37.59
10001,37.5
11001,37.63
12001,37.15
13001,37.3
14001,37.38
15001,37.12
16001,37.34
17001,37.59
18001,36.37
19001,36.96
20001,36.79
21001,37.63
22001,37.01
23001,37.09
24001,37.99
25001,37.84
26001,36.28
27001,36.95
28001,36.37
29001,36.13
30001,37.64
31001,37.8
32001,36.87
33001,37.54
34001,36.87
35001,37.33
36001,36.77
37001,37.7
38001,36.24
39001,37.1
40001,36.76
41001,36.72
42001,37.11
43001,36.45
44001,37.14
45001,36.58
46001,36.93
47001,37.47
48001,36.7
49001,36.25
50001,36.04
51001,36.77
52001,37.66
53001,36.5
54001,36.82
55001,36.82
56001,36.7
57001,36.29
58001,36.26
59001,37.01
60001,37.31
61001,36.21
62001,36.73
63001,36.25
64001,37.26
65001,37.66
66001,36.49
67001,37.18
68001,36.06
69001,37.75
70001,36.51
71001,36.06
72001,37.56
73001,37.09
74001,36.79
75001,37.99
76001,37.15
77001,37.65
78001,36.62
79001,37.09
80001,36.61
81001,37.02
82001,37.1
83001,36.88
84001,37.25
85001,37.56
86001,36.71
87001,37.68
88001,37.8
89001,37.28
90001,37.33
91001,36.1
92001,36.53
93001,36.29
94001,36.51
95001,37.91
96001,36.35
97001,36.89
98001,36.68
99001,36.4
