ms,degC
1,36.93
1001,37.23
2001,37.57
3001,36.49
4001,36.59
5001,36.44
6001,37.61
7001,37.73
8001,36.84
9001,37.23
10001,37.16
11001,36.27
12001,37.61
13001,36.26
14001,37.95
15001,36.16
16001,37.77
17001,37.6
18001,36.61
19001,36.16
20001,37.39
21001,36.49
22001,37.23
23001,37.5
24001,36.09
25001,36.4
26001,37.55
27001,37.85
28001,36.27
29001,36.36
30001,37.29
31001,36.34
32001,37.28
33001,36.32
34001,36.95
35001,37.84
36001,37.48
37001,37.71
38001,37.12
39001,36.2
40001,37.4
41001,36.4
42001,37.54
43001,36.48
44001,37.91
45001,36.86
46001,37.57
47001,36.95
48001,36.76
49001,36.97
50001,36.36
51001,37.62
52001,37.44
53001,37.51
54001,36.36
55001,36.97
56001,37.56
57001,37.23
58001,37.43
59001,36.53
60001,36.06
61001,36.97
62001,37.41
63001,36.02
64001,36.52
65001,36.1
66001,37.35
67001,36.42
68001,37.97
69001,36.08
70001,36.01
71001,36.67
72001,36.99
73001,36.67
74001,36.54
75001,36.1
76001,37.51
77001,36.61
78001,37.8
79001,36.63
80001,36.88
81001,36.77
82001,37.78
83001,37.17
84001,37.22
85001,37.81
86001,36.15
87001,36.73
88001,36.36
89001,36.21
90001,37.56
91001,37.97
92001,36.18
93001,36.64
94001,37.94
95001,37.06
96001,36.97
97001,36.83
98001,37.38
99001,37.3
