ms,degC
1,37.72
1001,37.96
2001,36.62
3001,37.44
4001,36.48
5001,36.76
6001,37.03
7001,37.57
8001,36.95
9001,36.78
10001,36.36
11001,36.15
12001,36.89
13001,37.49
14001,37.74
15001,36.08
16001,37.08
17001,37.94
18001,37.05
19001,36.51
20001,36.3
21001,37.89
22001,37.36
23001,36.02
24001,37.2
25001,37.99
26001,37.21
27001,36.35
28001,37.08
29001,37.89
30001,37.19
31001,36.74
32001,37.14
33001,38
34001,37.16
35001,37.66
36001,36.88
37001,36.21
38001,37.61
39001,37.42
40001,36.39
41001,36.97
42001,37.1
43001,37.79
44001,37.58
45001,37.58
46001,36.95
47001,36.72
48001,36.8
49001,36.73
50001,36.46
51001,37.73
52001,36.73
53001,37.36
54001,37.16
55001,36.89
56001,37.59
57001,36.72
58001,37.49
59001,37.48
60001,37.59
61001,37.26
62001,36.99
63001,36.11
64001,37.97
65001,36.33
66001,36.06
67001,36.26
68001,37.1
69001,37.68
70001,36.55
71001,36.21
72001,36.97
73001,36.15
74001,37.31
75001,37.55
76001,36.59
77001,36.02
78001,37.58
79001,37.98
80001,36.05
81001,37.28
82001,36.39
83001,37.48
84001,36.4
85001,36.77
86001,36.21
87001,36.52
88001,36.17
89001,36.18
90001,37.85
91001,37
92001,36.67
93001,37.26
94001,36.42
95001,36.52
96001,36.5
97001,36.19
98001,36.84
99001,37.53
