ms,degC
1,37.57
1001,36.92
2001,37.58
3001,36.97
4001,37.74
5001,37.8
6001,36.96
7001,36.54
8001,36.71
9001,36.26
10001,37.01
11001,37.11
12001,36.69
13001,36.63
14001,37.35
15001,37.12
16001,36.68
17001,36.03
18001,36.74
19001,37.18
20001,36.07
21001,36.92
22001,37.46
23001,37.09
24001,36.28
25001,36.55
26001,36.82
27001,37.17
28001,37.22
29001,37.7
30001,37.93
31001,36.53
32001,36.89
33001,37.36
34001,36.03
35001,36.68
36001,36.78
37001,36.23
38001,36.72
39001,36.23
40001,36.87
41001,36.76
42001,36.91
43001,36.38
44001,37.79
45001,36.53
46001,37.01
47001,36.56
48001,37.55
49001,37.41
50001,37.76
51001,37.69
52001,37.46
53001,37.16
54001,37.36
55001,37.38
56001,36.68
57001,36.82
58001,36.39
59001,36.52
60001,36.97
61001,36.31
62001,37.87
63001,37.34
64001,37.51
65001,37.84
66001,36.38
67001,37.45
68001,37.22
69001,37.62
70001,37.22
71001,36.9
72001,37.96
73001,36.12
74001,36.52
75001,37.8
76001,36.7
77001,36.04
78001,37.96
79001,36.57
80001,36.66
81001,36.74
82001,36.45
83001,37.72
84001,36.11
85001,37.9
86001,37.18
87001,36.17
88001,37.65
89001,37.93
90001,36.01
91001,37.03
92001,37.34
93001,36.6
94001,37.91
95001,37.73
96001,37.97
97001,36.82
98001,36.82
99001,36.38
