ms,degC
1,36.41
1001,37.35
2001,37.46
3001,37.48
4001,36.62
5001,36.5
6001,37.11
7001,37.2
8001,37.68
9001,37.62
10001,37.36
11001,37.4
12001,36.41
13001,37.94
14001,37.64
15001,36.62
16001,36.58
17001,37.51
18001,36.78
19001,37.08
20001,37.76
21001,37.72
22001,36.65
23001,36.31
24001,37.06
25001,36.2
26001,37.35
27001,36.54
28001,36.35
29001,37.62
30001,36.52
31001,36.28
32001,37.95
33001,36.57
34001,36.59
35001,37.86
36001,36.16
37001,36.31
38001,37.81
39001,36.27
40001,37.57
41001,37.95
42001,36.32
43001,36.88
44001,36.39
45001,37.61
46001,36.56
47001,37.16
48001,37.15
49001,37.49
50001,36.93
51001,37.39
52001,37.9
53001,36.53
54001,36.24
55001,36.79
56001,36.46
57001,36.43
58001,36.19
59001,36.79
60001,37.59
61001,36.12
62001,36.35
63001,37.17
64001,36.91
65001,36.65
66001,37.93
67001,37.52
68001,37.88
69001,37.88
70001,36.51
71001,37.69
72001,36.05
73001,37.62
74001,37.95
75001,37.61
76001,36.69
77001,36.18
78001,36.34
79001,36.68
80001,36.79
81001,36.38
82001,37.55
83001,36.27
84001,37.28
85001,36.95
86001,36.72
87001,37.2
88001,37.23
89001,36.1
90001,37.57
91001,36.36
92001,37.41
93001,36.31
94001,37.09
95001,36.95
96001,37.86
97001,36.39
98001,37.54
99001,36.3
