"","n","force"
"1",1,0.456012625545263
"2",2,-0.68928741698595
"3",3,-1.10536691147019
"4",4,0.124832146541181
"5",5,-0.819699189928275
"6",6,-1.53347385354878
"7",7,0.464130838524597
"8",8,-1.54009531812919
"9",9,-1.49947793685796
"10",10,0.611564914781417
"11",11,-1.4263943784356
"12",12,1.30705281065929
"13",13,0.308751705130902
"14",14,0.217728155094608
"15",15,0.0682430228742843
"16",16,-0.694659277456426
"17",17,-0.0618336030958712
"18",18,-0.0183053704413683
"19",19,2.14663282099976
"20",20,0.602506673313841
"21",21,1.04563033332029
"22",22,2.55150975981731
"23",23,1.78051874462139
"24",24,1.94427791971706
"25",25,0.123779675233338
"26",26,1.35079854427019
"27",27,2.45389573563438
"28",28,3.93467641950019
"29",29,1.89936587398542
"30",30,3.33352744138407
"31",31,3.1794285576547
"32",32,4.33032016580721
"33",33,3.7055091457862
"34",34,3.94173310670198
"35",35,5.89167519318298
"36",36,5.80355149823744
"37",37,6.54560675803356
"38",38,8.81674651505209
"39",39,6.84239045035114
"40",40,9.57777808714091
"41",41,9.42082105888495
"42",42,9.45440166721657
"43",43,9.29643902272242
"44",44,9.48515254167909
"45",45,9.96452571552163
"46",46,11.2915452777088
"47",47,11.7648861045456
"48",48,11.6838052342436
"49",49,11.1566985960261
"50",50,12.6017503944089
"51",51,10.3635537958099
"52",52,9.60210192200509
"53",53,9.35356961125385
"54",54,9.23941735375936
"55",55,10.2473280960268
"56",56,10.2827800122641
"57",57,10.5628747379328
"58",58,7.76119114402917
"59",59,8.15353134868061
"60",60,6.44097543174713
"61",61,6.74138984218607
"62",62,6.98674435857038
"63",63,5.79223295144795
"64",64,6.80096067820118
"65",65,3.97050404467977
"66",66,4.37425429566592
"67",67,3.83306013555412
"68",68,2.43558669391553
"69",69,2.37490648121294
"70",70,2.93570712857225
"71",71,2.64481272865538
"72",72,1.18268949428525
"73",73,1.89934891042105
"74",74,2.13297845284303
"75",75,3.0731525756881
"76",76,0.590165247821342
"77",77,-0.639277092055004
"78",78,2.39779260127561
"79",79,1.93142432037956
"80",80,2.07414019386013
"81",81,1.01771490950049
"82",82,1.25413695474333
"83",83,-0.0191938658746827
"84",84,1.65062188035177
"85",85,1.35098635022781
"86",86,1.76145386821781
"87",87,1.31024590884156
"88",88,0.910250022016957
"89",89,-0.966215123940125
"90",90,1.24759164371051
"91",91,1.4164266890489
"92",92,0.987619343387819
"93",93,0.376093084210726
"94",94,1.49209555745424
"95",95,1.59409936667019
"96",96,-1.12114741755719
"97",97,-0.379083382126415
