"","n","force"
"1",1,-53.1572037059814
"2",2,21.378329084916
"3",3,83.7448740074877
"4",4,-62.4978132437821
"5",5,-1.97701729794034
"6",6,100.332271178388
"7",7,47.3307617738424
"8",8,-62.6908104905207
"9",9,56.4729026826005
"10",10,-90.0148337356327
"11",11,63.6699248494068
"12",12,77.1624041321827
"13",13,-33.4565303106559
"14",14,-39.7679585073562
"15",15,38.0586708410503
"16",16,-59.2342733761715
"17",17,-60.0611043132609
"18",18,-7.0227364703035
"19",19,61.3010222371388
"20",20,-68.7384116493631
"21",21,1.81059393713251
"22",22,-15.6163028093474
"23",23,22.0817141768616
"24",24,-27.3778834477997
"25",25,-76.2594718480704
"26",26,-81.9795445201801
"27",27,-47.0948190911943
"28",28,73.3069543072095
"29",29,-77.7117853537929
"30",30,-76.6411598140047
"31",31,-6.72444359459826
"32",32,93.0308580986429
"33",33,-68.8042063295816
"34",34,-44.9196084334301
"35",35,93.6375950818426
"36",36,-44.5029033976892
"37",37,-46.8564255688524
"38",38,85.2220251094405
"39",39,4.50855989295373
"40",40,23.6073394656015
"41",41,-45.3969037183816
"42",42,91.788907770772
"43",43,48.8233700032931
"44",44,-98.5120589240519
"45",45,-60.5245502247745
"46",46,-30.7216958260254
"47",47,79.7223815193877
"48",48,-81.2127069951601
"49",49,73.6741240849085
"50",50,68.8599257559577
"51",51,51.5185673492142
"52",52,33.2196601343965
"53",53,156.947281851497
"54",54,145.411261135078
"55",55,259.802337656393
"56",56,334.017389145359
"57",57,578.125574348885
"58",58,739.69012386077
"59",59,802.874805705461
"60",60,1035.07728972555
"61",61,926.488039620837
"62",62,938.709193891552
"63",63,983.997941266924
"64",64,903.583964461994
"65",65,751.41911892748
"66",66,620.059591942435
"67",67,541.136643560306
"68",68,336.62966993539
"69",69,286.31854815436
"70",70,248.623781567196
"71",71,71.741365936459
"72",72,13.7130831976632
"73",73,-32.7919778675343
"74",74,-52.0327442956774
"75",75,-55.971836042563
"76",76,-28.7397057694997
"77",77,-69.5149355358493
"78",78,-38.3966793502333
"79",79,5.03335663772387
"80",80,87.4524408584279
"81",81,79.5747195802472
"82",82,-9.37852057848073
"83",83,37.9253580961407
"84",84,91.9691789261632
"85",85,-98.1936065044585
