out,good-bad

1,g
2,g
3,g
lep_examples/XY_001FE051A037367D9317121CD75AD958605A968812F4D791E7AC11800052DEBC_forewing.txt,g
lep_examples/XY_001FE051A037367D9317121CD75AD958605A968812F4D791E7AC11800052DEBC_hindwing.txt,b-flip about x
lep_examples/XY_002-02-Thymelicus_sylvestris_(211a)_forewing.csv,g
lep_examples/XY_002-02-Thymelicus_sylvestris_(211a)_hindwing.csv,b-flip about x or bad start position
lep_examples/XY_005-04-Anthocharis_cardamines_(411-412)_forewing.csv,b-bad start position
lep_examples/XY_005-04-Anthocharis_cardamines_(411-412)_hindwing.csv,b-bad start position
lep_examples/XY_008811_1558901310_lg_forewing.csv,g
lep_examples/XY_008811_1558901310_lg_hindwing.csv,b-bad start position
lep_examples/XY_034-20-Bembecia_ichneumoniformis_(3447)_forewing.txt,b
lep_examples/XY_034-20-Bembecia_ichneumoniformis_(3447)_hindwing.txt,g
lep_examples/XY_04-SRNP-2010-DHJ331720%2B1145363716_forewing.txt,g
lep_examples/XY_04-SRNP-2010-DHJ331720%2B1145363716_hindwing.txt,b-flip about x or bad start position
lep_examples/XY_04-SRNP-4956-DHJ329585%2B1145303950_forewing.txt,g
lep_examples/XY_04-SRNP-4956-DHJ329585%2B1145303950_hindwing.txt,b-flip about x or bad start position
lep_examples/XY_050cc270e6f1670fdb2d884d0e04befe?size=fullsize_forewing.txt,b-flip about x or bad start position
lep_examples/XY_050cc270e6f1670fdb2d884d0e04befe?size=fullsize_hindwing.txt,b-flip about x or bad start position
lep_examples/XY_06-SRNP-106787_DHJ606787%2B1201561020_forewing.txt,g
lep_examples/XY_06-SRNP-106787_DHJ606787%2B1201561020_hindwing.txt,b-flip about x
lep_examples/XY_06-SRNP-42442-DHJ353758%2B1175948568_forewing.txt,g
lep_examples/XY_06-SRNP-42442-DHJ353758%2B1175948568_hindwing.txt,b-flip about x
lep_examples/XY_063EF00CC8CE0C648384DA1BF9ECCC78E92ECB619DCCB9AB252B54BFBDAC7AC8_forewing.csv,b-bad start pos
lep_examples/XY_063EF00CC8CE0C648384DA1BF9ECCC78E92ECB619DCCB9AB252B54BFBDAC7AC8_hindwing.csv,b-flip about x
lep_examples/XY_09-SRNP-109775-DHJ643010%2B1364926916_forewing.txt,b-bad start pos
lep_examples/XY_09-SRNP-109775-DHJ643010%2B1364926916_hindwing.txt,b-flip about x or bad start position
lep_examples/XY_0ACC7BDBD59CA0F16346AD4862319F97BDEE5FEDF34C5A7F48DF21E75A84223A_forewing.txt,b-bad start pos
lep_examples/XY_0ACC7BDBD59CA0F16346AD4862319F97BDEE5FEDF34C5A7F48DF21E75A84223A_hindwing.txt,b-flip about
lep_examples/XY_0F14F4C69BB06012D6C1D3DF6B433E75501DF0E49BBB8599E5FC5198DBC75C84_forewing.csv,b- bad start position
lep_examples/XY_0F14F4C69BB06012D6C1D3DF6B433E75501DF0E49BBB8599E5FC5198DBC75C84_hindwing.csv,b-bad start()
lep_examples/XY_10317%2B1326140388_forewing.txt,b-bad start()
lep_examples/XY_10317%2B1326140388_hindwing.txt,b-flip about x
lep_examples/XY_109AB28D4A5442491428B57FC9EC5E7A229E5E53AAAFB08A6947CFCD4E90A06B_forewing.txt,g
lep_examples/XY_109AB28D4A5442491428B57FC9EC5E7A229E5E53AAAFB08A6947CFCD4E90A06B_hindwing.txt,g
lep_examples/XY_10ANIC_02669%2B1287018672_forewing.txt,g
lep_examples/XY_10ANIC_02669%2B1287018672_hindwing.txt,g
lep_examples/XY_10ANIC_03162%2B1287103228_forewing.txt,b-flip about
