X	Y
347.000	178.000
348.135	177.099
349.381	176.242
350.733	175.427
352.188	174.654
353.740	173.918
355.385	173.219
357.119	172.555
358.938	171.923
360.836	171.321
362.810	170.748
364.855	170.201
366.966	169.678
369.140	169.178
371.371	168.698
373.656	168.236
375.990	167.790
378.368	167.359
380.786	166.939
383.240	166.530
385.725	166.129
388.237	165.734
390.770	165.343
393.322	164.954
395.887	164.565
398.462	164.175
401.040	163.780
403.619	163.379
406.194	162.970
408.760	162.550
411.312	162.119
413.847	161.674
416.364	161.215
418.862	160.744
421.341	160.261
423.802	159.770
426.244	159.270
428.668	158.763
431.074	158.251
433.461	157.735
435.830	157.217
438.181	156.697
440.514	156.177
442.830	155.659
445.127	155.143
447.406	154.632
449.668	154.127
451.912	153.629
454.139	153.139
456.348	152.659
458.539	152.190
460.714	151.734
462.871	151.292
465.011	150.865
467.133	150.455
469.239	150.064
471.327	149.691
473.399	149.340
475.454	149.011
477.492	148.705
479.514	148.425
481.519	148.171
483.507	147.945
485.479	147.748
487.438	147.579
489.385	147.439
491.323	147.328
493.254	147.246
495.179	147.192
497.102	147.167
499.023	147.170
500.947	147.202
502.873	147.262
504.806	147.351
506.746	147.468
508.697	147.613
510.660	147.787
512.637	147.988
514.631	148.218
516.643	148.476
518.677	148.762
520.734	149.076
522.816	149.418
524.925	149.788
527.064	150.186
529.235	150.611
531.439	151.064
533.680	151.546
535.959	152.054
538.278	152.591
540.641	153.155
543.044	153.746
545.480	154.364
547.941	155.009
550.418	155.679
552.901	156.375
555.384	157.096
557.856	157.841
560.309	158.610
562.734	159.402
565.124	160.217
567.468	161.054
569.759	161.913
571.987	162.793
574.144	163.693
576.222	164.614
578.211	165.555
580.103	166.515
581.890	167.493
583.562	168.490
585.110	169.504
586.528	170.535
587.804	171.583
588.932	172.647
589.901	173.727
590.705	174.821
591.333	175.930
591.777	177.053
592.028	178.190
592.083	179.339
591.947	180.500
591.630	181.671
591.139	182.851
590.482	184.039
589.668	185.233
588.706	186.432
587.602	187.634
586.366	188.840
585.005	190.046
583.529	191.252
581.945	192.457
580.261	193.659
578.486	194.857
576.628	196.049
574.695	197.235
572.695	198.413
570.637	199.581
568.529	200.739
566.378	201.886
564.195	203.019
561.985	204.137
559.759	205.240
557.524	206.326
555.288	207.393
553.059	208.440
550.842	209.467
548.637	210.473
546.443	211.457
544.258	212.419
542.084	213.359
539.919	214.275
537.762	215.167
535.613	216.036
533.472	216.879
531.337	217.698
529.209	218.490
527.086	219.257
524.969	219.996
522.856	220.708
520.747	221.393
518.641	222.049
516.538	222.677
514.437	223.275
512.338	223.844
510.240	224.382
508.142	224.889
506.044	225.365
503.946	225.809
501.846	226.221
499.744	226.600
497.640	226.945
495.533	227.257
493.422	227.534
491.307	227.776
489.187	227.983
487.062	228.155
484.932	228.291
482.799	228.395
480.662	228.466
478.523	228.507
476.383	228.519
474.242	228.503
472.101	228.460
469.960	228.393
467.822	228.302
465.686	228.189
463.553	228.055
461.424	227.902
459.301	227.730
457.183	227.542
455.071	227.339
452.966	227.122
450.870	226.892
448.782	226.651
446.705	226.401
444.637	226.142
442.581	225.876
440.537	225.605
438.505	225.330
436.487	225.052
434.484	224.772
432.496	224.493
430.524	224.215
428.568	223.939
426.630	223.667
424.707	223.398
422.800	223.130
420.906	222.862
419.024	222.594
417.154	222.323
415.294	222.050
413.442	221.772
411.599	221.490
409.762	221.200
407.930	220.904
406.103	220.598
404.279	220.283
402.456	219.957
400.635	219.619
398.812	219.269
396.989	218.904
395.162	218.523
393.331	218.127
391.495	217.713
389.653	217.280
387.803	216.827
385.945	216.354
384.077	215.859
382.197	215.341
380.306	214.798
378.403	214.231
376.495	213.639
374.586	213.023
372.683	212.382
370.789	211.717
368.910	211.027
367.053	210.313
365.221	209.576
363.420	208.814
361.656	208.028
359.934	207.219
358.259	206.386
356.636	205.529
355.071	204.649
353.569	203.746
352.135	202.819
350.775	201.870
349.493	200.897
348.295	199.902
347.187	198.884
346.174	197.843
345.260	196.779
344.452	195.693
343.754	194.585
343.169	193.457
342.699	192.312
342.342	191.155
342.100	189.992
341.972	188.826
341.959	187.661
342.060	186.503
342.275	185.355
342.605	184.223
343.050	183.110
343.610	182.022
344.285	180.962
345.075	179.936
345.980	178.947
347.000	178.000
