X	Y
1772.000	2636.000
1780.879	2626.234
1790.365	2616.593
1800.427	2607.107
1811.034	2597.803
1822.153	2588.712
1833.755	2579.860
1845.807	2571.278
1858.277	2562.992
1871.134	2555.033
1884.348	2547.429
1897.885	2540.208
1911.715	2533.398
1925.807	2527.030
1940.129	2521.130
1954.649	2515.729
1969.336	2510.854
1984.158	2506.533
1999.085	2502.797
2014.091	2499.653
2029.162	2497.084
2044.284	2495.068
2059.443	2493.585
2074.626	2492.615
2089.818	2492.135
2105.007	2492.125
2120.178	2492.564
2135.318	2493.431
2150.413	2494.706
2165.449	2496.368
2180.412	2498.395
2195.289	2500.766
2210.066	2503.461
2224.729	2506.459
2239.264	2509.740
2253.658	2513.281
2267.897	2517.062
2281.974	2521.070
2295.895	2525.306
2309.668	2529.770
2323.298	2534.465
2336.795	2539.392
2350.164	2544.553
2363.412	2549.950
2376.548	2555.585
2389.577	2561.459
2402.508	2567.573
2415.347	2573.930
2428.102	2580.532
2440.779	2587.380
2453.386	2594.475
2465.930	2601.820
2478.418	2609.416
2490.857	2617.265
2503.248	2625.366
2515.560	2633.707
2527.748	2642.273
2539.771	2651.046
2551.586	2660.011
2563.150	2669.152
2574.420	2678.453
2585.353	2687.897
2595.907	2697.469
2606.038	2707.152
2615.704	2716.930
2624.863	2726.788
2633.470	2736.708
2641.484	2746.675
2648.862	2756.673
2655.561	2766.686
2661.538	2776.698
2666.769	2786.704
2671.266	2796.719
2675.042	2806.762
2678.113	2816.850
2680.493	2827.002
2682.196	2837.235
2683.237	2847.568
2683.630	2858.017
2683.390	2868.603
2682.532	2879.341
2681.070	2890.250
2679.018	2901.348
2676.394	2912.652
2673.252	2924.151
2669.677	2935.815
2665.757	2947.613
2661.576	2959.513
2657.221	2971.485
2652.779	2983.496
2648.334	2995.516
2643.974	3007.514
2639.783	3019.458
2635.850	3031.317
2632.259	3043.060
2629.096	3054.656
2626.448	3066.073
2624.401	3077.280
2623.022	3088.247
2622.210	3098.959
2621.781	3109.406
2621.548	3119.577
2621.327	3129.464
2620.931	3139.058
2620.175	3148.348
2618.874	3157.326
2616.842	3165.981
2613.893	3174.304
2609.841	3182.287
2604.502	3189.918
2597.814	3197.204
2589.947	3204.177
2581.098	3210.873
2571.464	3217.327
2561.241	3223.575
2550.627	3229.652
2539.818	3235.595
2529.011	3241.438
2518.403	3247.218
2508.192	3252.970
2498.573	3258.729
2489.743	3264.532
2481.900	3270.413
2475.213	3276.399
2469.596	3282.421
2464.826	3288.359
2460.680	3294.094
2456.934	3299.507
2453.364	3304.476
2449.745	3308.884
2445.854	3312.609
2441.475	3315.542
2436.529	3317.729
2431.056	3319.357
2425.098	3320.611
2418.700	3321.682
2411.903	3322.757
2404.752	3324.023
2397.290	3325.670
2389.555	3327.862
2381.565	3330.599
2373.327	3333.816
2364.848	3337.447
2356.135	3341.425
2347.195	3345.686
2338.035	3350.163
2328.662	3354.790
2319.083	3359.502
2309.306	3364.232
2299.336	3368.914
2289.182	3373.483
2278.855	3377.870
2268.392	3381.989
2257.838	3385.747
2247.239	3389.053
2236.641	3391.814
2226.089	3393.940
2215.630	3395.337
2205.310	3395.914
2195.173	3395.578
2185.266	3394.239
2175.634	3391.803
2166.323	3388.179
2157.377	3383.279
2148.793	3377.119
2140.524	3369.811
2132.521	3361.468
2124.735	3352.207
2117.119	3342.141
2109.623	3331.387
2102.198	3320.060
2094.797	3308.275
2087.371	3296.146
2079.870	3283.789
2072.248	3271.318
2064.453	3258.850
2056.439	3246.500
2048.157	3234.381
2039.558	3222.609
2030.597	3211.294
2021.279	3200.454
2011.649	3190.035
2001.752	3179.984
1991.635	3170.245
1981.344	3160.765
1970.924	3151.489
1960.420	3142.363
1949.880	3133.332
1939.347	3124.342
1928.869	3115.338
1918.491	3106.266
1908.258	3097.072
1898.217	3087.700
1888.413	3078.098
1878.893	3068.209
1869.700	3057.980
1860.877	3047.367
1852.421	3036.389
1844.313	3025.100
1836.533	3013.549
1829.061	3001.788
1821.878	2989.869
1814.964	2977.841
1808.300	2965.757
1801.866	2953.668
1795.643	2941.624
1789.610	2929.677
1783.749	2917.878
1778.039	2906.278
1772.462	2894.929
1766.996	2883.881
1761.624	2873.185
1756.329	2862.887
1751.142	2852.972
1746.121	2843.386
1741.325	2834.076
1736.813	2824.991
1732.642	2816.077
1728.871	2807.281
1725.558	2798.550
1722.763	2789.831
1720.543	2781.072
1718.958	2772.220
1718.064	2763.221
1717.914	2754.031
1718.515	2744.656
1719.857	2735.118
1721.931	2725.441
1724.728	2715.650
1728.238	2705.766
1732.452	2695.815
1737.361	2685.820
1742.955	2675.803
1749.225	2665.789
1756.162	2655.802
1763.757	2645.864
1772.000	2636.000
