X	Y
239.000	155.000
238.479	153.007
237.695	151.177
236.683	149.481
235.476	147.893
234.108	146.386
232.613	144.934
231.026	143.508
229.378	142.082
227.706	140.629
226.041	139.123
224.396	137.556
222.766	135.933
221.147	134.263
219.534	132.550
217.922	130.803
216.307	129.026
214.683	127.228
213.046	125.415
211.392	123.592
209.715	121.768
208.010	119.948
206.280	118.135
204.529	116.333
202.764	114.541
200.988	112.761
199.209	110.995
197.431	109.244
195.660	107.509
193.902	105.792
192.162	104.095
190.445	102.417
188.758	100.762
187.102	99.129
185.471	97.518
183.857	95.929
182.254	94.361
180.653	92.813
179.047	91.285
177.428	89.775
175.789	88.283
174.122	86.809
172.420	85.351
170.675	83.910
168.892	82.485
167.078	81.079
165.242	79.691
163.391	78.324
161.535	76.979
159.681	75.656
157.838	74.358
156.013	73.086
154.215	71.840
152.453	70.622
150.727	69.433
149.028	68.273
147.347	67.144
145.672	66.045
143.994	64.977
142.303	63.940
140.588	62.935
138.840	61.963
137.047	61.024
135.202	60.117
133.308	59.242
131.369	58.394
129.392	57.571
127.381	56.771
125.342	55.990
123.280	55.225
121.200	54.474
119.108	53.734
117.008	53.003
114.905	52.278
112.799	51.565
110.687	50.870
108.568	50.201
106.440	49.564
104.300	48.965
102.148	48.412
99.982	47.910
97.799	47.468
95.598	47.090
93.378	46.784
91.143	46.549
88.902	46.383
86.662	46.283
84.433	46.246
82.221	46.269
80.035	46.350
77.884	46.485
75.774	46.671
73.715	46.906
71.714	47.186
69.769	47.505
67.872	47.852
66.016	48.218
64.191	48.593
62.390	48.968
60.605	49.333
58.828	49.677
57.050	49.992
55.273	50.273
53.532	50.548
51.873	50.851
50.343	51.215
48.987	51.676
47.851	52.266
46.982	53.021
46.413	53.960
46.136	55.046
46.130	56.232
46.375	57.468
46.852	58.707
47.541	59.903
48.412	61.050
49.435	62.161
50.575	63.247
51.802	64.321
53.083	65.394
54.386	66.480
55.679	67.589
56.946	68.725
58.184	69.883
59.390	71.059
60.562	72.246
61.698	73.441
62.796	74.637
63.853	75.831
64.866	77.017
65.834	78.207
66.751	79.414
67.616	80.651
68.425	81.934
69.175	83.275
69.862	84.688
70.484	86.186
71.039	87.765
71.527	89.415
71.948	91.125
72.303	92.884
72.590	94.683
72.810	96.510
72.963	98.355
73.048	100.208
73.077	102.065
73.064	103.924
73.025	105.786
72.977	107.648
72.935	109.512
72.915	111.374
72.933	113.237
73.005	115.097
73.143	116.956
73.344	118.817
73.602	120.684
73.913	122.562
74.270	124.453
74.669	126.362
75.104	128.294
75.569	130.252
76.060	132.240
76.571	134.259
77.104	136.303
77.659	138.364
78.236	140.433
78.836	142.503
79.461	144.565
80.111	146.611
80.787	148.633
81.489	150.622
82.219	152.572
82.974	154.477
83.749	156.341
84.538	158.167
85.335	159.958
86.135	161.718
86.930	163.451
87.714	165.160
88.483	166.848
89.230	168.518
89.962	170.163
90.707	171.754
91.498	173.261
92.364	174.654
93.336	175.904
94.445	176.980
95.722	177.852
97.192	178.497
98.849	178.924
100.668	179.163
102.626	179.240
104.699	179.183
106.865	179.021
109.100	178.781
111.381	178.490
113.684	178.178
115.985	177.871
118.269	177.587
120.523	177.334
122.739	177.118
124.907	176.946
127.016	176.824
129.057	176.758
131.020	176.755
132.894	176.821
134.671	176.964
136.344	177.185
137.933	177.469
139.473	177.789
140.994	178.120
142.532	178.435
144.117	178.707
145.784	178.912
147.565	179.023
149.474	179.029
151.495	178.944
153.610	178.785
155.799	178.567
158.044	178.308
160.327	178.024
162.628	177.730
164.929	177.444
167.211	177.181
169.456	176.958
171.653	176.785
173.812	176.652
175.947	176.553
178.071	176.476
180.195	176.413
182.332	176.355
184.496	176.292
186.699	176.216
188.953	176.115
191.272	175.983
193.661	175.813
196.107	175.618
198.592	175.412
201.100	175.207
203.614	175.018
206.117	174.859
208.592	174.743
211.022	174.684
213.390	174.695
215.680	174.791
217.873	174.985
219.957	175.280
221.933	175.626
223.807	175.958
225.584	176.209
227.272	176.314
228.875	176.208
230.400	175.824
231.853	175.097
233.237	173.978
234.534	172.497
235.721	170.717
236.776	168.699
237.674	166.503
238.392	164.191
238.907	161.823
239.195	159.462
239.234	157.167
239.000	155.000
