X,Y
16.231,13.808
16.293,13.783
16.368,13.768
16.452,13.760
16.545,13.758
16.644,13.760
16.747,13.764
16.852,13.767
16.958,13.770
17.063,13.769
17.168,13.767
17.270,13.762
17.371,13.757
17.471,13.751
17.568,13.744
17.664,13.737
17.756,13.732
17.847,13.727
17.935,13.723
18.023,13.721
18.110,13.720
18.199,13.721
18.290,13.723
18.383,13.727
18.481,13.732
18.583,13.739
18.689,13.747
18.797,13.756
18.905,13.765
19.013,13.775
19.119,13.785
19.223,13.794
19.322,13.803
19.415,13.810
19.504,13.816
19.587,13.822
19.668,13.827
19.747,13.831
19.826,13.836
19.907,13.842
19.990,13.848
20.076,13.856
20.165,13.865
20.257,13.874
20.351,13.884
20.446,13.895
20.542,13.906
20.638,13.917
20.735,13.928
20.831,13.940
20.927,13.951
21.024,13.964
21.120,13.977
21.217,13.991
21.315,14.006
21.413,14.023
21.512,14.041
21.613,14.061
21.714,14.082
21.814,14.105
21.913,14.128
22.011,14.152
22.106,14.177
22.197,14.201
22.285,14.225
22.369,14.248
22.448,14.271
22.525,14.295
22.600,14.320
22.675,14.348
22.750,14.379
22.828,14.414
22.909,14.454
22.992,14.499
23.078,14.547
23.164,14.598
23.250,14.652
23.335,14.707
23.418,14.762
23.498,14.818
23.574,14.872
23.647,14.925
23.716,14.977
23.784,15.027
23.851,15.074
23.919,15.120
23.988,15.163
24.060,15.204
24.135,15.243
24.212,15.280
24.290,15.316
24.367,15.352
24.443,15.389
24.517,15.427
24.588,15.468
24.654,15.512
24.717,15.557
24.779,15.605
24.840,15.652
24.902,15.700
24.966,15.746
25.034,15.791
25.104,15.834
25.176,15.877
25.247,15.920
25.316,15.963
25.382,16.009
25.441,16.058
25.494,16.111
25.541,16.168
25.583,16.227
25.622,16.289
25.661,16.353
25.702,16.418
25.746,16.483
25.794,16.548
25.845,16.613
25.897,16.678
25.949,16.744
26.000,16.810
26.048,16.878
26.091,16.946
26.129,17.016
26.163,17.086
26.193,17.157
26.219,17.229
26.243,17.301
26.265,17.372
26.286,17.443
26.306,17.514
26.325,17.586
26.343,17.658
26.360,17.731
26.376,17.806
26.392,17.883
26.407,17.962
26.420,18.042
26.433,18.123
26.444,18.203
26.453,18.283
26.460,18.360
26.464,18.436
26.467,18.509
26.468,18.581
26.467,18.654
26.465,18.727
26.463,18.802
26.460,18.880
26.457,18.961
26.454,19.044
26.450,19.129
26.444,19.213
26.438,19.296
26.429,19.378
26.418,19.456
26.405,19.531
26.390,19.603
26.371,19.672
26.350,19.739
26.326,19.804
26.298,19.867
26.268,19.929
26.235,19.990
