X	Y
270.500	182.500
271.331	184.027
272.257	185.658
273.225	187.386
274.183	189.205
275.079	191.108
275.861	193.090
276.484	195.144
276.967	197.258
277.357	199.417
277.702	201.609
278.048	203.819
278.443	206.033
278.933	208.238
279.556	210.422
280.299	212.589
281.129	214.749
282.012	216.913
282.916	219.091
283.809	221.292
284.657	223.526
285.429	225.803
286.123	228.127
286.757	230.498
287.353	232.916
287.929	235.379
288.508	237.888
289.108	240.441
289.750	243.039
290.454	245.680
291.222	248.352
292.045	251.035
292.913	253.708
293.817	256.353
294.747	258.949
295.694	261.477
296.649	263.915
297.602	266.245
298.547	268.457
299.482	270.572
300.409	272.616
301.329	274.616
302.242	276.599
303.149	278.591
304.052	280.619
304.951	282.695
305.847	284.787
306.742	286.855
307.636	288.856
308.532	290.749
309.429	292.491
310.330	294.042
311.247	295.374
312.209	296.476
313.245	297.339
314.384	297.954
315.648	298.319
317.013	298.453
318.438	298.386
319.884	298.147
321.314	297.766
322.726	297.256
324.151	296.622
325.619	295.868
327.163	294.995
328.812	294.009
330.564	292.922
332.384	291.757
334.236	290.538
336.082	289.287
337.887	288.028
339.613	286.785
341.231	285.577
342.755	284.402
344.223	283.246
345.674	282.094
347.146	280.933
348.676	279.747
350.298	278.524
351.999	277.262
353.747	275.963
355.509	274.629
357.254	273.264
358.947	271.869
360.558	270.447
362.061	269.000
363.462	267.526
364.774	266.023
366.007	264.489
367.174	262.921
368.287	261.318
369.358	259.678
370.397	258.000
371.416	256.287
372.426	254.540
373.438	252.760
374.461	250.949
375.508	249.109
376.568	247.245
377.611	245.370
378.607	243.496
379.525	241.633
380.334	239.795
381.003	237.992
381.514	236.233
381.904	234.506
382.219	232.798
382.508	231.093
382.819	229.377
383.198	227.637
383.658	225.867
384.175	224.075
384.724	222.267
385.280	220.452
385.820	218.636
386.316	216.826
386.738	215.031
387.048	213.262
387.209	211.528
387.184	209.839
386.936	208.205
386.443	206.633
385.719	205.116
384.783	203.650
383.653	202.226
382.350	200.840
380.892	199.485
379.309	198.156
377.637	196.852
375.909	195.567
374.161	194.300
372.426	193.048
370.740	191.806
369.121	190.573
367.548	189.352
365.993	188.143
364.429	186.948
362.829	185.770
361.164	184.610
359.417	183.472
357.612	182.362
355.790	181.287
353.994	180.257
352.262	179.280
350.638	178.363
349.156	177.514
347.795	176.719
346.479	175.950
345.135	175.178
343.688	174.372
342.067	173.505
340.264	172.566
338.328	171.561
336.308	170.494
334.254	169.372
332.215	168.200
330.241	166.985
328.379	165.731
326.626	164.460
324.947	163.200
323.304	161.981
321.660	160.833
319.977	159.784
318.217	158.866
316.357	158.095
314.404	157.464
312.372	156.959
310.273	156.566
308.121	156.273
305.929	156.065
303.710	155.930
301.472	155.855
299.218	155.828
296.952	155.839
294.679	155.875
292.402	155.925
290.125	155.977
287.852	156.020
285.602	156.049
283.405	156.064
281.295	156.065
279.302	156.054
277.459	156.030
275.797	155.995
274.353	155.986
273.169	156.143
272.290	156.624
271.759	157.580
271.537	159.016
271.515	160.813
271.583	162.843
271.629	164.980
271.542	167.097
271.229	169.082
270.733	170.911
270.154	172.604
269.596	174.178
269.160	175.653
268.948	177.047
269.005	178.389
269.303	179.717
269.812	181.074
270.500	182.500
