X,Y
15.172,11.552
15.231,11.519
15.292,11.488
15.355,11.458
15.420,11.430
15.488,11.403
15.559,11.378
15.632,11.352
15.708,11.328
15.787,11.304
15.868,11.281
15.951,11.259
16.035,11.239
16.121,11.220
16.207,11.202
16.293,11.186
16.379,11.173
16.464,11.161
16.549,11.151
16.634,11.143
16.719,11.135
16.805,11.129
16.891,11.122
16.978,11.116
17.066,11.109
17.155,11.102
17.246,11.094
17.338,11.085
17.432,11.075
17.526,11.066
17.620,11.058
17.715,11.050
17.810,11.043
17.905,11.038
18.000,11.035
18.093,11.034
18.186,11.036
18.278,11.039
18.369,11.043
18.459,11.048
18.546,11.054
18.633,11.059
18.717,11.064
18.799,11.068
18.879,11.070
18.957,11.071
19.034,11.071
19.110,11.071
19.186,11.070
19.264,11.069
19.343,11.068
19.423,11.069
19.507,11.070
19.593,11.072
19.681,11.076
19.770,11.080
19.859,11.084
19.947,11.089
20.034,11.094
20.119,11.099
20.200,11.103
20.278,11.107
20.353,11.111
20.425,11.115
20.497,11.119
20.568,11.123
20.640,11.128
20.714,11.134
20.791,11.141
20.870,11.149
20.953,11.159
21.037,11.169
21.124,11.181
21.212,11.193
21.301,11.207
21.391,11.221
21.481,11.235
21.570,11.250
21.660,11.266
21.749,11.282
21.837,11.298
21.925,11.313
22.013,11.329
22.100,11.344
22.186,11.359
22.272,11.373
22.356,11.386
22.440,11.399
22.524,11.412
22.607,11.425
22.690,11.439
22.773,11.454
22.857,11.471
22.941,11.491
23.025,11.514
23.110,11.541
23.195,11.571
23.280,11.603
23.365,11.638
23.448,11.674
23.528,11.711
23.607,11.749
23.682,11.787
23.754,11.825
23.822,11.862
23.886,11.899
23.948,11.935
24.008,11.972
24.067,12.009
24.125,12.048
24.184,12.088
24.244,12.130
24.306,12.173
24.368,12.219
24.431,12.266
24.493,12.315
24.555,12.365
24.615,12.416
24.674,12.468
24.730,12.521
24.784,12.574
24.837,12.628
24.889,12.682
24.941,12.737
24.994,12.790
25.048,12.844
25.104,12.897
25.162,12.949
25.221,13.001
25.280,13.053
25.338,13.105
25.393,13.158
25.444,13.213
25.489,13.269
25.528,13.328
25.559,13.389
25.585,13.452
25.605,13.517
25.622,13.583
25.636,13.650
25.648,13.717
25.660,13.785
25.672,13.852
25.683,13.919
25.695,13.985
25.705,14.051
25.714,14.117
25.722,14.181
25.727,14.245
25.731,14.307
25.733,14.370
25.733,14.433
25.731,14.496
25.728,14.561
25.724,14.628
25.718,14.697
25.711,14.767
25.703,14.839
25.693,14.911
25.683,14.983
25.671,15.055
25.658,15.126
25.643,15.195
25.628,15.262
25.613,15.328
25.597,15.394
25.581,15.458
25.566,15.522
25.552,15.585
25.539,15.648
25.526,15.712
25.513,15.775
25.499,15.837
25.482,15.900
25.462,15.963
25.438,16.025
25.410,16.087
25.379,16.148
25.347,16.209
25.314,16.270
25.283,16.329
25.254,16.387
25.228,16.444
25.206,16.500
25.186,16.556
25.166,16.611
25.145,16.667
25.120,16.724
25.091,16.782
25.057,16.841
25.018,16.901
24.975,16.961
24.930,17.019
24.883,17.076
24.835,17.129
24.786,17.179
24.739,17.225
24.691,17.268
24.644,17.309
24.597,17.349
24.549,17.390
24.500,17.432
24.451,17.478
24.401,17.526
24.350,17.577
24.300,17.628
24.251,17.678
24.202,17.728
24.156,17.775
24.111,17.819
24.068,17.860
24.025,17.897
23.981,17.931
23.933,17.963
23.880,17.991
23.821,18.018
23.757,18.042
23.689,18.064
23.618,18.083
