X	Y
351.000	158.000
351.663	155.921
352.544	153.897
353.617	151.920
354.859	149.981
356.245	148.073
357.750	146.186
359.349	144.312
361.019	142.442
362.735	140.568
364.471	138.681
366.204	136.773
367.916	134.837
369.607	132.877
371.282	130.896
372.943	128.898
374.596	126.885
376.244	124.862
377.891	122.832
379.541	120.799
381.198	118.767
382.866	116.738
384.548	114.717
386.250	112.707
387.974	110.711
389.722	108.726
391.497	106.749
393.301	104.779
395.135	102.813
397.002	100.848
398.904	98.881
400.843	96.911
402.820	94.934
404.839	92.948
406.901	90.950
409.007	88.938
411.161	86.910
413.359	84.866
415.596	82.812
417.866	80.751
420.163	78.688
422.480	76.628
424.812	74.576
427.152	72.535
429.495	70.511
431.834	68.507
434.163	66.530
436.477	64.582
438.769	62.669
441.034	60.795
443.265	58.964
445.464	57.177
447.638	55.429
449.797	53.715
451.946	52.033
454.094	50.376
456.249	48.742
458.419	47.126
460.610	45.523
462.832	43.930
465.091	42.342
467.395	40.755
469.753	39.165
472.169	37.568
474.642	35.968
477.163	34.367
479.726	32.770
482.324	31.181
484.951	29.604
487.600	28.043
490.263	26.503
492.935	24.986
495.608	23.498
498.275	22.042
500.930	20.623
503.566	19.245
506.177	17.911
508.756	16.625
511.304	15.388
513.821	14.202
516.307	13.067
518.763	11.984
521.189	10.955
523.587	9.980
525.955	9.061
528.296	8.198
530.609	7.391
532.894	6.644
535.153	5.955
537.386	5.326
539.593	4.754
541.773	4.238
543.928	3.774
546.058	3.361
548.162	2.996
550.241	2.677
552.295	2.401
554.324	2.166
556.328	1.970
558.308	1.812
560.268	1.691
562.209	1.612
564.134	1.574
566.047	1.579
567.950	1.630
569.846	1.728
571.738	1.875
573.629	2.071
575.519	2.320
577.404	2.623
579.280	2.984
581.141	3.404
582.985	3.886
584.806	4.433
586.600	5.048
588.363	5.732
590.090	6.488
591.767	7.322
593.373	8.240
594.889	9.249
596.294	10.355
597.567	11.565
598.690	12.887
599.640	14.326
600.401	15.888
600.990	17.554
601.458	19.286
601.854	21.043
602.231	22.787
602.638	24.477
603.127	26.074
603.749	27.538
604.548	28.834
605.512	29.974
606.588	31.003
607.721	31.966
608.857	32.908
609.944	33.875
610.927	34.912
611.767	36.055
612.497	37.300
613.176	38.629
613.861	40.023
614.609	41.464
615.477	42.934
616.524	44.415
617.801	45.889
619.282	47.343
620.881	48.768
622.510	50.153
624.082	51.489
625.508	52.767
626.703	53.978
627.576	55.111
628.042	56.157
628.052	57.102
627.655	57.917
626.916	58.571
625.900	59.032
624.665	59.286
623.249	59.356
621.684	59.275
620.006	59.078
618.247	58.797
616.442	58.466
614.623	58.118
612.823	57.785
611.050	57.486
609.299	57.230
607.564	57.028
605.837	56.888
604.112	56.819
602.384	56.833
600.645	56.937
598.892	57.140
597.150	57.438
595.465	57.816
593.885	58.260
592.455	58.754
591.222	59.285
590.234	59.838
589.525	60.398
589.008	60.958
588.527	61.513
587.925	62.058
587.086	62.593
586.018	63.128
584.753	63.678
583.319	64.257
581.749	64.877
580.071	65.552
578.317	66.295
576.529	67.114
