X	Y
2742.000	2106.000
2746.727	2095.516
2751.360	2084.916
2755.942	2074.249
2760.515	2063.563
2765.121	2052.909
2769.802	2042.336
2774.600	2031.892
2779.559	2021.626
2784.719	2011.588
2790.124	2001.827
2795.816	1992.392
2801.836	1983.331
2808.227	1974.695
2815.031	1966.531
2822.291	1958.890
2830.049	1951.820
2838.346	1945.371
2847.226	1939.591
2856.725	1934.525
2866.838	1930.166
2877.532	1926.478
2888.773	1923.424
2900.527	1920.968
2912.763	1919.074
2925.445	1917.703
2938.542	1916.821
2952.020	1916.390
2965.845	1916.374
2979.985	1916.735
2994.405	1917.438
3009.074	1918.446
3023.957	1919.722
3039.021	1921.230
3054.233	1922.932
3069.560	1924.793
3084.968	1926.775
3100.425	1928.842
3115.896	1930.958
3131.349	1933.086
3146.750	1935.188
3162.067	1937.230
3177.266	1939.175
3192.334	1941.016
3207.269	1942.766
3222.068	1944.439
3236.731	1946.047
3251.257	1947.603
3265.643	1949.121
3279.888	1950.613
3293.991	1952.094
3307.951	1953.577
3321.765	1955.073
3335.433	1956.598
3348.953	1958.163
3362.323	1959.783
3375.542	1961.470
3388.610	1963.237
3401.523	1965.098
3414.281	1967.066
3426.882	1969.155
3439.325	1971.376
3451.608	1973.744
3463.731	1976.272
3475.690	1978.972
3487.487	1981.859
3499.128	1984.937
3510.628	1988.211
3522.002	1991.682
3533.264	1995.352
3544.428	1999.225
3555.508	2003.303
3566.520	2007.588
3577.478	2012.082
3588.396	2016.789
3599.287	2021.710
3610.168	2026.848
3621.053	2032.205
3631.955	2037.785
3642.889	2043.588
3653.870	2049.618
3664.911	2055.878
3676.029	2062.369
3687.236	2069.094
3698.547	2076.056
3709.977	2083.257
3721.525	2090.696
3733.155	2098.366
3744.824	2106.257
3756.490	2114.360
3768.111	2122.666
3779.646	2131.167
3791.052	2139.852
3802.286	2148.714
3813.308	2157.742
3824.074	2166.928
3834.543	2176.263
3844.674	2185.738
3854.423	2195.343
3863.748	2205.070
3872.608	2214.910
