X	Y
603.000	301.000
604.430	297.242
605.982	293.512
607.653	289.812
609.436	286.148
611.327	282.521
613.321	278.936
615.413	275.395
617.598	271.903
619.872	268.462
622.228	265.076
624.663	261.749
627.171	258.483
629.747	255.283
632.387	252.151
635.086	249.090
637.837	246.106
640.639	243.196
643.489	240.358
646.385	237.586
649.327	234.874
652.312	232.217
655.339	229.611
658.407	227.049
661.514	224.528
664.658	222.040
667.838	219.583
671.053	217.149
674.300	214.734
677.579	212.333
680.888	209.941
684.226	207.551
687.590	205.161
690.981	202.769
694.397	200.378
697.837	197.989
701.302	195.605
704.790	193.229
708.300	190.860
711.833	188.503
715.386	186.159
718.961	183.830
722.555	181.519
726.169	179.226
729.801	176.955
733.452	174.707
737.119	172.485
740.803	170.290
744.504	168.125
748.219	165.990
751.951	163.886
755.700	161.812
759.465	159.767
763.248	157.751
767.049	155.763
770.868	153.804
774.705	151.873
778.562	149.968
782.438	148.091
786.334	146.241
790.251	144.416
794.188	142.617
798.147	140.844
802.127	139.095
806.129	137.371
810.153	135.673
814.182	134.028
818.195	132.469
822.172	131.033
826.092	129.756
829.933	128.672
833.673	127.817
837.292	127.226
840.769	126.936
844.082	126.981
847.209	127.398
850.131	128.220
852.825	129.485
855.270	131.227
857.453	133.465
859.383	136.164
861.074	139.283
862.537	142.780
863.786	146.613
864.835	150.740
865.695	155.118
866.381	159.707
866.905	164.464
867.279	169.347
867.518	174.313
867.634	179.322
867.640	184.330
867.549	189.297
867.374	194.180
867.129	198.936
866.825	203.526
866.473	207.943
866.082	212.209
865.660	216.345
865.213	220.375
864.751	224.320
864.281	228.204
863.812	232.049
863.351	235.878
862.906	239.713
862.485	243.576
862.097	247.491
861.749	251.480
861.450	255.564
861.206	259.768
861.027	264.113
860.918	268.617
860.864	273.262
860.842	278.015
860.829	282.843
860.802	287.712
860.737	292.588
860.611	297.438
860.401	302.229
860.084	306.925
859.637	311.496
859.036	315.905
858.258	320.121
857.279	324.110
856.078	327.837
854.630	331.270
852.912	334.375
850.901	337.118
848.582	339.477
845.972	341.472
843.093	343.130
839.967	344.479
836.617	345.546
833.066	346.359
829.336	346.947
825.449	347.336
821.428	347.554
817.296	347.630
813.075	347.590
808.788	347.463
804.457	347.276
800.105	347.057
795.753	346.832
791.408	346.609
787.072	346.387
782.745	346.166
778.429	345.944
774.124	345.720
769.832	345.494
765.553	345.265
761.289	345.032
757.040	344.794
752.807	344.550
748.591	344.299
744.393	344.040
740.214	343.773
736.055	343.497
731.917	343.210
727.801	342.912
723.706	342.604
719.625	342.293
715.552	341.984
711.482	341.684
707.409	341.399
703.325	341.134
699.226	340.898
695.105	340.695
690.956	340.531
686.773	340.414
682.550	340.349
678.281	340.343
673.959	340.401
669.579	340.531
665.134	340.737
660.619	341.028
656.035	341.400
651.412	341.828
646.781	342.283
642.177	342.734
637.632	343.151
633.180	343.504
628.854	343.762
624.688	343.895
620.714	343.874
616.966	343.667
613.478	343.246
610.282	342.578
607.411	341.635
604.899	340.387
602.780	338.802
601.073	336.865
599.760	334.602
598.818	332.043
598.222	329.220
597.948	326.167
597.971	322.914
598.267	319.493
598.813	315.938
599.583	312.279
600.554	308.548
601.701	304.778
603.000	301.000
