X	Y
368.000	150.000
368.492	148.099
369.142	146.250
369.941	144.453
370.882	142.703
371.955	140.998
373.151	139.335
374.463	137.713
375.881	136.128
377.397	134.578
379.002	133.060
380.687	131.571
382.444	130.109
384.265	128.671
386.140	127.255
388.061	125.859
390.019	124.478
392.006	123.111
394.013	121.756
396.031	120.409
398.052	119.068
400.067	117.730
402.067	116.393
404.044	115.055
405.990	113.711
407.895	112.361
409.756	111.003
411.576	109.637
413.358	108.266
415.103	106.890
416.815	105.510
418.496	104.126
420.148	102.741
421.775	101.355
423.379	99.969
424.962	98.584
426.527	97.201
428.076	95.821
429.612	94.445
431.139	93.075
432.657	91.710
434.170	90.353
435.681	89.003
437.192	87.663
438.705	86.333
440.223	85.014
441.749	83.708
443.286	82.414
444.835	81.135
446.399	79.870
447.979	78.621
449.574	77.386
451.183	76.165
452.807	74.957
454.444	73.763
456.094	72.581
457.758	71.411
459.434	70.253
461.122	69.106
462.821	67.970
464.533	66.844
466.255	65.729
467.987	64.622
469.730	63.524
471.482	62.435
473.243	61.354
475.014	60.280
476.793	59.214
478.579	58.154
480.374	57.100
482.176	56.052
483.984	55.009
485.799	53.971
487.621	52.940
489.449	51.918
491.285	50.905
493.127	49.905
494.976	48.919
496.833	47.949
498.698	46.996
500.570	46.063
502.449	45.151
504.337	44.262
506.233	43.398
508.137	42.561
510.049	41.753
511.970	40.975
513.900	40.230
515.838	39.519
517.786	38.844
519.743	38.207
521.709	37.609
523.684	37.053
525.670	36.541
527.665	36.074
529.669	35.653
531.683	35.279
533.706	34.949
535.737	34.661
537.774	34.414
539.818	34.206
541.867	34.036
543.922	33.901
545.980	33.800
548.041	33.731
550.105	33.693
552.171	33.683
554.237	33.700
556.304	33.743
558.370	33.809
560.435	33.897
562.498	34.005
564.558	34.132
566.614	34.275
568.666	34.433
570.713	34.604
572.754	34.787
574.788	34.979
576.815	35.181
578.825	35.396
580.812	35.630
582.767	35.891
584.681	36.184
586.545	36.515
588.351	36.891
590.090	37.319
591.754	37.803
593.334	38.351
594.821	38.969
596.207	39.663
597.483	40.439
598.641	41.304
599.671	42.264
600.567	43.324
601.318	44.493
601.916	45.775
602.354	47.175
602.636	48.691
602.768	50.315
602.759	52.042
602.616	53.863
602.347	55.772
601.958	57.763
601.458	59.829
600.854	61.963
600.154	64.158
599.364	66.407
598.493	68.704
597.548	71.042
596.537	73.414
595.467	75.814
594.345	78.234
593.180	80.668
591.978	83.109
590.747	85.551
589.495	87.986
588.229	90.408
586.957	92.809
585.686	95.185
584.424	97.526
583.178	99.828
581.956	102.082
580.763	104.284
579.602	106.437
578.473	108.542
577.375	110.604
576.310	112.625
575.278	114.609
574.278	116.559
573.312	118.478
572.380	120.370
571.481	122.237
570.617	124.083
569.788	125.912
568.994	127.725
568.235	129.528
567.511	131.322
566.824	133.112
566.173	134.900
565.559	136.689
564.981	138.483
564.442	140.286
563.939	142.099
563.475	143.927
563.049	145.773
562.661	147.639
562.305	149.520
561.973	151.410
561.657	153.303
561.350	155.192
561.043	157.069
560.728	158.929
560.399	160.765
560.047	162.570
559.663	164.338
559.242	166.062
558.773	167.736
558.251	169.352
557.666	170.905
557.012	172.387
556.280	173.792
555.462	175.114
554.550	176.345
553.538	177.480
552.416	178.511
551.185	179.439
549.849	180.268
548.415	181.006
546.887	181.656
545.272	182.226
543.575	182.721
541.802	183.146
539.958	183.507
538.050	183.810
536.082	184.061
534.061	184.265
531.992	184.428
529.881	184.556
527.733	184.654
525.554	184.729
523.350	184.785
521.127	184.829
518.889	184.867
516.643	184.903
514.394	184.944
512.149	184.996
509.911	185.063
507.682	185.146
505.462	185.243
503.252	185.354
501.050	185.478
498.858	185.614
496.675	185.760
494.501	185.917
492.336	186.083
490.181	186.256
488.034	186.437
485.897	186.624
483.770	186.816
481.651	187.013
479.542	187.212
477.443	187.415
475.352	187.618
473.271	187.822
471.200	188.025
469.138	188.227
467.086	188.427
465.043	188.623
463.009	188.815
460.986	189.001
458.971	189.182
456.967	189.357
454.972	189.528
452.987	189.696
451.012	189.861
449.047	190.024
447.092	190.186
445.147	190.349
443.213	190.512
441.289	190.678
439.375	190.846
437.472	191.018
435.580	191.194
433.698	191.376
431.827	191.565
429.967	191.761
428.118	191.965
426.280	192.178
424.453	192.401
422.637	192.636
420.833	192.882
419.040	193.140
417.258	193.407
415.488	193.675
413.729	193.935
411.981	194.180
410.244	194.400
408.519	194.589
406.804	194.737
405.100	194.837
403.407	194.881
401.725	194.859
400.054	194.765
398.393	194.589
396.742	194.325
395.102	193.963
393.473	193.495
391.854	192.914
390.245	192.211
388.646	191.377
387.057	190.406
385.483	189.299
383.930	188.064
382.405	186.710
380.916	185.246
379.468	183.681
378.069	182.022
376.726	180.280
375.445	178.463
374.235	176.579
373.101	174.637
372.050	172.646
371.091	170.614
370.228	168.551
369.470	166.465
368.824	164.365
368.296	162.260
367.893	160.157
367.622	158.067
367.491	155.997
367.505	153.957
367.673	151.955
368.000	150.000
