X,Y
45.252,16.642
45.299,16.616
45.355,16.593
45.419,16.573
45.489,16.555
45.565,16.538
45.645,16.523
45.728,16.508
45.812,16.493
45.897,16.478
45.981,16.463
46.063,16.446
46.142,16.427
46.216,16.407
46.286,16.384
46.352,16.360
46.415,16.335
46.476,16.309
46.535,16.284
46.593,16.258
46.650,16.234
46.707,16.211
46.766,16.189
46.825,16.170
46.887,16.153
46.950,16.138
47.014,16.126
47.080,16.114
47.147,16.104
47.215,16.094
47.283,16.085
47.352,16.076
47.421,16.066
47.490,16.055
47.559,16.044
47.627,16.031
47.695,16.018
47.763,16.003
47.831,15.988
47.899,15.973
47.966,15.958
48.034,15.943
48.101,15.928
48.168,15.914
48.236,15.901
48.303,15.889
48.370,15.878
48.438,15.868
48.506,15.859
48.574,15.851
48.643,15.843
48.712,15.836
48.782,15.829
48.853,15.821
48.924,15.814
48.996,15.806
49.070,15.798
49.144,15.789
49.219,15.779
49.294,15.769
49.370,15.758
49.447,15.746
49.524,15.734
49.601,15.721
49.678,15.708
49.754,15.693
49.831,15.678
49.907,15.663
49.982,15.646
50.056,15.629
50.130,15.612
50.203,15.594
50.276,15.576
50.348,15.557
50.420,15.538
50.493,15.519
50.565,15.501
50.637,15.482
50.709,15.464
50.782,15.446
50.856,15.428
50.930,15.411
51.004,15.395
51.079,15.379
51.155,15.363
51.230,15.348
51.306,15.333
51.381,15.318
51.456,15.303
51.530,15.288
51.604,15.273
51.677,15.258
51.750,15.243
51.821,15.227
51.891,15.211
51.961,15.195
52.030,15.179
52.098,15.162
52.166,15.146
52.234,15.129
52.302,15.112
52.370,15.095
52.439,15.078
52.508,15.062
52.578,15.045
52.648,15.028
52.719,15.012
52.791,14.996
52.863,14.980
52.935,14.963
53.008,14.948
53.080,14.932
53.153,14.916
53.225,14.900
53.296,14.885
53.367,14.870
53.438,14.854
53.508,14.839
53.577,14.824
53.646,14.808
53.714,14.793
53.783,14.777
53.851,14.761
53.919,14.744
53.987,14.727
54.056,14.709
54.125,14.690
54.195,14.671
54.265,14.651
54.336,14.631
54.407,14.609
54.479,14.588
54.552,14.566
54.625,14.545
54.700,14.524
54.774,14.503
54.850,14.482
54.926,14.463
55.003,14.444
55.081,14.426
55.160,14.410
55.239,14.394
55.319,14.380
55.400,14.366
55.480,14.352
55.561,14.339
55.641,14.326
55.722,14.313
55.802,14.299
55.882,14.285
55.961,14.271
56.039,14.255
56.116,14.238
56.192,14.220
56.268,14.201
56.342,14.181
56.417,14.159
56.490,14.137
56.564,14.115
56.638,14.091
56.712,14.067
56.786,14.043
56.861,14.019
56.937,13.994
57.013,13.970
57.091,13.945
57.170,13.921
57.249,13.897
57.330,13.874
57.411,13.850
57.492,13.828
57.574,13.806
57.655,13.784
57.736,13.763
57.817,13.743
57.897,13.724
57.977,13.706
58.055,13.689
58.132,13.672
58.208,13.657
58.283,13.643
58.356,13.630
58.429,13.618
58.501,13.606
58.572,13.596
58.643,13.586
58.714,13.577
58.785,13.569
58.855,13.561
58.926,13.554
58.997,13.547
59.068,13.541
59.140,13.535
59.213,13.530
59.286,13.524
59.360,13.519
59.434,13.515
59.510,13.510
59.586,13.505
59.664,13.500
59.743,13.496
59.822,13.491
59.903,13.486
59.986,13.481
60.069,13.475
60.153,13.470
60.237,13.465
60.322,13.459
60.406,13.454
60.490,13.449
60.574,13.444
60.657,13.440
60.739,13.435
60.820,13.432
60.899,13.428
60.976,13.425
61.051,13.423
61.125,13.421
61.198,13.419
61.269,13.418
61.340,13.418
61.410,13.418
61.479,13.419
61.548,13.420
61.618,13.421
61.688,13.423
61.758,13.425
61.829,13.428
61.902,13.432
61.974,13.435
62.047,13.440
62.121,13.444
62.194,13.449
62.267,13.455
62.341,13.461
62.413,13.467
62.485,13.475
62.557,13.482
62.627,13.490
62.697,13.499
62.765,13.508
62.833,13.517
62.901,13.527
62.969,13.538
63.037,13.549
63.106,13.560
63.175,13.573
63.246,13.585
63.317,13.599
63.390,13.613
63.465,13.627
63.541,13.642
63.618,13.658
63.696,13.675
63.775,13.692
63.855,13.711
63.934,13.730
64.014,13.750
64.093,13.771
64.172,13.793
64.249,13.816
64.326,13.841
64.401,13.866
64.475,13.893
64.547,13.921
64.617,13.950
64.685,13.981
64.752,14.012
64.815,14.045
64.877,14.079
64.936,14.114
64.993,14.151
65.046,14.189
65.097,14.227
65.145,14.267
65.191,14.309
65.233,14.351
65.273,14.395
65.310,14.440
65.345,14.487
65.377,14.536
65.407,14.586
65.435,14.638
65.461,14.691
65.486,14.747
65.508,14.804
65.528,14.862
65.547,14.921
65.563,14.981
65.578,15.040
65.590,15.100
65.600,15.158
65.607,15.216
65.613,15.273
65.616,15.329
65.617,15.383
65.616,15.435
65.612,15.486
65.605,15.534
65.596,15.581
65.584,15.625
65.570,15.666
65.553,15.706
65.533,15.745
65.512,15.784
65.490,15.824
65.467,15.866
65.444,15.911
65.420,15.960
65.397,16.014
65.374,16.071
65.352,16.132
65.330,16.194
65.308,16.257
65.287,16.320
65.265,16.382
65.244,16.442
65.224,16.498
65.203,16.550
65.182,16.597
65.162,16.640
65.140,16.678
65.118,16.713
65.095,16.745
65.070,16.775
65.043,16.803
65.014,16.829
64.984,16.856
64.954,16.882
64.924,16.910
64.895,16.940
64.869,16.973
64.845,17.010
64.825,17.050
64.807,17.094
64.791,17.140
64.777,17.189
64.764,17.240
64.751,17.292
64.739,17.345
64.726,17.398
64.713,17.452
64.699,17.505
64.683,17.558
64.666,17.610
64.647,17.660
64.626,17.709
64.603,17.756
64.577,17.801
64.548,17.843
64.516,17.882
64.482,17.919
64.446,17.952
64.408,17.982
64.368,18.009
64.326,18.033
64.284,18.053
64.241,18.071
64.198,18.086
64.158,18.102
64.120,18.119
64.086,18.138
64.057,18.162
64.035,18.192
64.018,18.227
64.005,18.266
63.995,18.308
63.985,18.352
63.973,18.398
63.959,18.442
63.940,18.486
63.917,18.527
63.890,18.566
63.862,18.603
63.832,18.637
63.803,18.668
63.776,18.695
63.750,18.719
63.727,18.740
63.703,18.758
63.679,18.775
63.652,18.791
63.620,18.808
63.585,18.825
63.548,18.844
63.509,18.865
63.470,18.889
63.433,18.916
63.398,18.947
63.368,18.982
63.340,19.022
