X,Y
333.000,185.667
334.213,183.835
335.520,181.977
336.922,180.119
338.419,178.288
340.006,176.508
341.653,174.778
343.316,173.083
344.952,171.413
346.520,169.755
348.032,168.106
349.544,166.471
351.115,164.855
352.802,163.263
354.610,161.707
356.496,160.208
358.409,158.785
360.303,157.460
362.143,156.234
363.938,155.063
365.700,153.897
367.441,152.685
369.180,151.395
370.940,150.029
372.747,148.596
374.626,147.102
376.592,145.562
378.637,144.012
380.745,142.488
382.903,141.029
385.097,139.671
387.310,138.409
389.520,137.200
391.709,135.997
393.854,134.755
395.941,133.438
397.990,132.055
400.030,130.630
402.089,129.188
404.196,127.753
406.359,126.334
408.557,124.927
410.769,123.523
412.971,122.117
415.144,120.700
417.282,119.283
419.391,117.883
421.476,116.517
423.543,115.203
425.601,113.954
427.679,112.773
429.809,111.660
432.023,110.616
434.345,109.638
436.748,108.709
439.174,107.798
441.563,106.877
443.857,105.916
446.024,104.899
448.110,103.856
450.178,102.821
452.292,101.830
454.504,100.915
456.793,100.066
459.107,99.256
461.395,98.458
463.607,97.649
465.720,96.830
467.746,96.041
469.699,95.324
471.593,94.716
473.464,94.196
475.370,93.684
477.370,93.095
479.513,92.362
481.771,91.516
484.093,90.627
486.424,89.764
488.712,88.995
490.922,88.357
493.043,87.850
495.063,87.471
496.973,87.217
498.821,87.048
500.706,86.887
502.729,86.658
504.958,86.310
507.339,85.888
509.786,85.460
512.217,85.095
514.554,84.854
516.783,84.734
518.937,84.689
521.045,84.673
523.137,84.643
525.242,84.607
527.382,84.597
529.582,84.648
531.861,84.788
534.202,85.004
536.570,85.266
538.932,85.543
541.254,85.806
543.531,86.049
545.780,86.282
548.020,86.520
550.269,86.776
552.537,87.070
554.824,87.429
557.131,87.882
559.456,88.457
561.779,89.170
564.027,90.008
566.124,90.955
567.993,91.995
569.593,93.096
571.049,94.165
572.520,95.093
574.155,95.785
575.945,96.281
577.788,96.701
579.582,97.166
581.227,97.757
582.632,98.484
583.703,99.356
584.306,100.398
584.250,101.660
583.522,103.118
582.472,104.598
581.492,105.910
580.773,106.969
580.065,107.924
579.104,108.942
577.875,110.122
576.437,111.543
574.866,113.262
573.392,115.141
572.332,116.927
572.004,118.368
572.488,119.362
573.003,120.351
572.794,121.708
571.972,123.076
570.854,123.931
569.664,124.278
568.511,124.770
567.514,125.882
566.845,127.493
566.682,129.385
566.961,131.302
567.070,132.907
566.333,133.852
564.705,134.150
563.247,134.443
563.012,135.365
563.554,136.692
563.479,137.659
562.281,138.096
560.555,138.573
558.905,139.608
557.609,141.157
556.823,142.972
556.696,144.806
557.010,146.482
557.131,147.901
556.461,148.985
555.139,149.868
553.819,150.835
553.038,152.104
552.535,153.470
551.742,154.567
550.404,155.260
548.856,155.865
547.496,156.741
546.497,158.029
545.744,159.597
545.104,161.291
544.467,162.994
543.755,164.640
542.891,166.167
541.823,167.535
540.563,168.768
539.135,169.902
537.564,170.966
535.881,171.951
534.117,172.840
532.307,173.613
530.479,174.286
528.660,174.921
526.876,175.583
525.143,176.323
523.431,177.115
521.692,177.904
519.877,178.638
517.981,179.299
516.043,179.917
514.109,180.525
512.217,181.150
510.382,181.804
508.601,182.485
506.874,183.193
505.181,183.931
503.468,184.702
501.675,185.513
499.761,186.360
497.790,187.180
495.873,187.884
494.120,188.383
492.584,188.653
491.162,188.848
489.726,189.148
488.208,189.634
486.619,190.259
484.975,190.970
483.290,191.711
481.580,192.422
479.859,193.047
478.136,193.557
476.409,194.027
474.669,194.552
472.911,195.213
471.117,196.007
469.268,196.890
467.343,197.822
465.342,198.766
463.308,199.702
461.292,200.611
459.346,201.475
457.490,202.282
455.673,203.029
453.835,203.716
451.916,204.343
449.924,204.915
447.919,205.441
445.963,205.927
444.108,206.381
442.326,206.798
440.557,207.169
438.746,207.486
436.883,207.766
435.009,208.045
433.165,208.366
431.369,208.758
429.567,209.230
427.695,209.783
425.690,210.419
423.555,211.104
421.338,211.784
419.086,212.405
416.845,212.914
414.641,213.321
412.475,213.693
410.350,214.101
408.265,214.612
406.203,215.221
404.124,215.856
401.987,216.441
399.757,216.904
397.444,217.244
395.107,217.519
392.802,217.792
390.587,218.123
388.484,218.521
386.461,218.918
384.483,219.240
382.516,219.415
380.547,219.448
378.583,219.400
376.627,219.332
374.683,219.296
372.733,219.294
370.759,219.315
368.740,219.350
366.682,219.364
364.612,219.298
362.560,219.091
360.555,218.687
358.606,218.104
356.716,217.395
354.884,216.616
353.110,215.807
351.387,214.963
349.705,214.067
348.056,213.107
346.425,212.108
344.791,211.130
343.132,210.232
341.433,209.443
339.697,208.703
337.927,207.939
336.132,207.086
334.344,206.204
332.615,205.434
330.996,204.916
329.568,204.618
328.481,204.140
327.864,203.103
327.650,201.613
327.690,199.978
327.867,198.407
328.139,196.895
328.471,195.410
328.866,193.922
329.374,192.402
330.045,190.820
330.891,189.167
331.885,187.447
333.000,185.667
