X	Y
332.500	458.500
333.717	457.853
335.349	457.689
337.287	457.888
339.426	458.331
341.657	458.897
343.874	459.469
345.986	459.945
347.989	460.314
349.899	460.588
351.738	460.783
353.523	460.914
355.273	460.993
357.009	461.036
358.755	461.065
360.540	461.101
362.390	461.169
364.334	461.290
366.399	461.488
368.602	461.781
370.917	462.157
373.302	462.601
375.718	463.094
378.124	463.619
380.479	464.159
382.744	464.696
384.879	465.214
386.879	465.706
388.784	466.181
390.637	466.646
392.478	467.111
394.351	467.584
396.296	468.074
398.341	468.587
400.473	469.120
402.674	469.669
404.925	470.230
407.207	470.799
409.501	471.373
411.790	471.947
414.055	472.518
416.294	473.086
418.504	473.650
420.684	474.211
422.832	474.769
424.949	475.324
427.033	475.875
429.083	476.425
431.106	476.978
433.112	477.542
435.112	478.124
437.115	478.733
439.131	479.375
441.170	480.058
443.240	480.786
445.339	481.548
447.465	482.331
449.614	483.120
451.783	483.903
453.970	484.666
456.172	485.395
458.386	486.080
460.617	486.723
462.870	487.333
465.150	487.916
467.465	488.482
469.820	489.038
472.220	489.593
474.672	490.154
477.173	490.727
479.704	491.312
482.246	491.912
484.777	492.524
487.277	493.151
489.727	493.792
492.107	494.448
494.395	495.119
496.583	495.806
498.686	496.508
500.723	497.224
502.713	497.955
504.675	498.701
506.629	499.461
508.594	500.234
510.577	501.027
512.569	501.853
514.557	502.726
516.529	503.663
518.474	504.677
520.379	505.784
522.233	506.998
524.027	508.312
525.760	509.691
527.429	511.098
529.034	512.495
530.571	513.846
532.040	515.114
533.439	516.267
534.767	517.333
536.025	518.376
537.214	519.465
538.333	520.663
539.385	522.038
540.371	523.606
541.300	525.325
542.179	527.145
543.016	529.016
543.817	530.890
544.592	532.716
545.342	534.463
546.052	536.148
546.705	537.795
547.285	539.429
547.775	541.075
548.156	542.758
548.426	544.489
548.591	546.267
548.660	548.089
548.643	549.953
548.548	551.856
548.383	553.794
548.156	555.752
547.869	557.703
547.528	559.623
547.136	561.488
546.699	563.271
546.220	564.950
545.704	566.539
545.156	568.082
544.580	569.623
543.980	571.207
543.362	572.878
542.727	574.659
542.071	576.524
541.389	578.442
540.675	580.381
539.925	582.311
539.133	584.199
538.296	586.018
537.411	587.772
536.479	589.474
535.500	591.138
534.474	592.777
533.402	594.407
532.283	596.040
531.120	597.678
529.917	599.316
528.679	600.948
527.409	602.567
526.111	604.169
524.790	605.748
523.451	607.299
522.101	608.824
520.750	610.325
519.405	611.803
518.075	613.262
516.768	614.702
515.492	616.126
514.240	617.539
513.003	618.947
511.769	620.355
510.528	621.769
509.270	623.196
507.984	624.639
506.670	626.094
505.330	627.551
503.967	628.999
502.585	630.429
501.185	631.832
499.771	633.198
498.343	634.526
496.903	635.825
495.450	637.105
493.983	638.375
492.503	639.643
491.010	640.919
489.505	642.205
487.992	643.496
486.474	644.783
484.956	646.060
483.442	647.319
481.935	648.553
480.436	649.756
478.935	650.931
477.418	652.080
475.871	653.208
474.282	654.317
472.638	655.411
470.929	656.493
469.170	657.567
467.382	658.635
465.587	659.700
463.806	660.764
462.062	661.831
460.374	662.903
458.745	663.975
457.146	665.029
455.550	666.048
453.927	667.015
452.248	667.912
450.485	668.722
448.626	669.428
446.691	670.020
444.704	670.485
442.687	670.812
440.664	670.990
438.659	671.006
436.690	670.852
434.763	670.532
432.877	670.055
431.031	669.427
429.224	668.659
427.457	667.757
425.728	666.732
424.036	665.601
422.381	664.387
420.761	663.113
419.177	661.802
417.626	660.477
416.109	659.160
414.624	657.867
413.171	656.597
411.749	655.347
410.357	654.115
408.994	652.897
407.661	651.692
406.352	650.495
405.056	649.296
403.760	648.085
402.452	646.853
401.118	645.589
399.748	644.283
398.340	642.939
396.906	641.572
395.455	640.194
393.999	638.821
392.548	637.467
391.113	636.146
389.701	634.862
388.313	633.603
386.952	632.354
385.618	631.099
384.312	629.825
383.035	628.515
381.784	627.163
380.547	625.774
379.314	624.354
378.074	622.908
376.816	621.442
375.528	619.961
374.213	618.469
372.890	616.967
371.577	615.457
370.297	613.938
369.068	612.411
367.911	610.878
366.840	609.337
365.845	607.780
364.912	606.197
364.030	604.579
363.183	602.917
362.360	601.201
361.546	599.428
360.733	597.607
359.911	595.749
359.069	593.868
358.198	591.974
357.288	590.079
356.331	588.195
355.330	586.324
354.296	584.465
353.240	582.615
352.175	580.773
351.110	578.936
350.058	577.102
349.028	575.269
348.022	573.427
347.041	571.565
346.086	569.671
345.156	567.736
344.251	565.748
343.373	563.695
342.522	561.574
341.702	559.395
340.915	557.174
340.165	554.924
339.455	552.660
338.789	550.396
338.170	548.147
337.600	545.927
337.072	543.743
336.569	541.604
336.079	539.516
335.586	537.484
335.077	535.516
334.536	533.618
333.956	531.791
333.360	530.017
332.782	528.268
332.255	526.520
331.813	524.745
331.489	522.918
331.303	521.022
331.234	519.073
331.250	517.098
331.319	515.119
331.411	513.161
331.492	511.249
331.536	509.401
331.546	507.609
331.535	505.853
331.515	504.111
331.500	502.364
331.503	500.591
331.527	498.783
331.560	496.953
331.585	495.115
331.585	493.285
331.545	491.477
331.449	489.707
331.307	487.979
331.153	486.286
331.028	484.620
330.967	482.974
331.010	481.341
331.172	479.706
331.410	478.037
331.665	476.299
331.882	474.457
332.002	472.475
331.971	470.318
331.793	468.010
331.570	465.667
331.416	463.418
331.444	461.389
331.768	459.707
332.500	458.500
