X	Y
261.000	149.000
262.283	148.215
264.143	147.774
266.475	147.622
269.177	147.702
272.145	147.959
275.276	148.336
278.467	148.779
281.618	149.233
284.682	149.669
287.662	150.084
290.567	150.477
293.403	150.844
296.177	151.184
298.895	151.494
301.565	151.772
304.193	152.017
306.787	152.229
309.351	152.426
311.891	152.624
314.413	152.843
316.922	153.100
319.424	153.415
321.925	153.805
324.428	154.288
326.919	154.873
329.365	155.562
331.734	156.355
333.995	157.254
336.113	158.259
338.058	159.371
339.796	160.592
341.290	161.908
342.499	163.296
343.380	164.730
343.891	166.184
343.992	167.634
343.699	169.074
343.096	170.523
342.268	172.002
341.302	173.531
340.282	175.125
339.239	176.768
338.178	178.423
337.106	180.051
336.025	181.615
334.940	183.077
333.850	184.413
332.732	185.646
331.556	186.810
330.296	187.937
328.922	189.061
327.419	190.208
325.809	191.374
324.122	192.552
322.389	193.731
320.639	194.905
318.903	196.065
317.201	197.195
315.514	198.262
313.815	199.225
312.080	200.047
310.281	200.687
308.392	201.107
306.416	201.304
304.402	201.334
302.400	201.258
300.464	201.134
298.646	201.025
296.992	200.986
295.496	201.011
294.106	201.047
292.772	201.043
291.443	200.945
290.075	200.719
288.632	200.354
287.081	199.840
285.386	199.166
283.522	198.326
281.538	197.328
279.514	196.190
277.533	194.930
275.678	193.565
274.030	192.112
272.672	190.590
271.630	189.011
270.834	187.380
270.198	185.702
269.639	183.979
269.073	182.217
268.432	180.420
267.724	178.589
266.988	176.728
266.262	174.840
265.586	172.926
264.997	170.991
264.522	169.041
264.138	167.107
263.808	165.223
263.498	163.425
263.172	161.748
262.796	160.224
262.362	158.831
261.889	157.496
261.395	156.141
260.899	154.691
260.460	153.131
260.225	151.574
260.352	150.153
261.000	149.000
