X	Y
47.019	20.531
47.134	20.409
47.262	20.305
47.403	20.216
47.555	20.141
47.718	20.078
47.889	20.028
48.067	19.987
48.252	19.955
48.443	19.930
48.637	19.912
48.834	19.898
49.033	19.888
49.234	19.880
49.436	19.875
49.639	19.873
49.844	19.873
50.051	19.876
50.261	19.881
50.472	19.889
50.687	19.900
50.904	19.912
51.124	19.928
51.347	19.945
51.573	19.965
51.803	19.988
52.036	20.012
52.273	20.039
52.513	20.067
52.757	20.098
53.004	20.129
53.254	20.162
53.507	20.195
53.762	20.229
54.020	20.264
54.281	20.298
54.543	20.332
54.808	20.366
55.074	20.399
55.342	20.431
55.612	20.462
55.882	20.492
56.154	20.519
56.428	20.545
56.701	20.569
56.976	20.592
57.250	20.616
57.525	20.640
57.800	20.666
58.074	20.696
58.347	20.728
58.619	20.765
58.890	20.808
59.159	20.857
59.427	20.913
59.693	20.977
59.956	21.050
60.217	21.133
60.475	21.226
60.730	21.331
60.981	21.448
61.229	21.578
61.473	21.722
61.712	21.876
61.946	22.041
62.173	22.214
62.395	22.395
62.609	22.582
62.815	22.774
63.012	22.969
63.201	23.167
63.380	23.366
63.549	23.565
63.706	23.762
63.852	23.956
63.986	24.147
64.108	24.331
64.215	24.509
64.309	24.679
64.388	24.842
64.453	24.998
64.503	25.148
64.538	25.295
64.558	25.440
64.562	25.583
64.551	25.726
64.524	25.871
64.480	26.018
64.421	26.169
64.347	26.324
64.260	26.482
64.162	26.644
64.054	26.808
63.940	26.974
63.820	27.142
63.697	27.311
63.573	27.480
63.449	27.651
63.328	27.821
63.212	27.990
63.102	28.158
62.999	28.325
62.905	28.490
62.817	28.654
62.734	28.815
62.655	28.975
62.579	29.132
62.504	29.288
62.429	29.441
62.352	29.593
62.274	29.741
62.191	29.888
62.103	30.032
62.010	30.173
61.911	30.311
61.807	30.445
61.700	30.575
61.589	30.700
61.475	30.820
61.359	30.935
61.241	31.043
61.122	31.144
61.004	31.238
60.885	31.324
60.767	31.403
60.648	31.476
60.528	31.544
60.406	31.609
60.282	31.672
60.155	31.734
60.025	31.797
59.890	31.862
59.750	31.930
59.605	32.001
59.455	32.077
59.299	32.154
59.139	32.234
58.973	32.315
58.803	32.397
58.628	32.479
58.448	32.560
58.263	32.639
58.073	32.716
57.880	32.791
57.681	32.862
57.478	32.929
57.272	32.992
57.063	33.050
56.851	33.104
56.638	33.154
56.424	33.199
56.211	33.240
55.997	33.277
55.786	33.309
55.576	33.337
55.370	33.360
55.167	33.379
54.969	33.393
54.776	33.403
54.588	33.408
54.406	33.407
54.229	33.398
54.056	33.382
53.887	33.355
53.721	33.318
53.559	33.267
53.398	33.204
53.240	33.125
53.083	33.029
52.926	32.916
52.771	32.785
52.615	32.635
52.460	32.468
52.306	32.287
52.152	32.092
52.000	31.886
51.848	31.671
51.698	31.448
51.550	31.219
51.403	30.986
51.258	30.750
51.115	30.514
50.974	30.278
50.836	30.046
50.700	29.818
50.567	29.596
50.437	29.382
50.309	29.178
50.185	28.983
50.062	28.796
49.942	28.616
49.822	28.441
49.704	28.270
49.586	28.103
49.467	27.938
49.349	27.774
49.229	27.610
49.108	27.444
48.985	27.276
48.859	27.104
48.731	26.928
48.600	26.746
48.466	26.558
48.331	26.364
48.195	26.165
48.059	25.962
47.924	25.753
47.791	25.540
47.660	25.323
47.534	25.102
47.412	24.877
47.295	24.649
47.185	24.418
47.082	24.184
46.987	23.947
46.901	23.708
46.824	23.467
46.759	23.224
46.704	22.981
46.661	22.738
46.630	22.497
46.610	22.260
46.603	22.028
46.608	21.803
46.626	21.586
46.657	21.378
46.702	21.181
46.760	20.996
46.832	20.825
46.918	20.670
47.019	20.531
