X	Y
349.000	192.000
349.667	190.802
350.452	189.830
351.352	189.048
352.362	188.419
353.475	187.909
354.688	187.480
355.995	187.097
357.391	186.725
358.871	186.327
360.430	185.867
362.065	185.324
363.774	184.700
365.556	183.999
367.409	183.228
369.333	182.391
371.326	181.494
373.387	180.542
375.514	179.540
377.707	178.493
379.964	177.406
382.284	176.286
384.666	175.136
387.109	173.962
389.611	172.770
392.171	171.564
394.788	170.349
397.461	169.132
400.188	167.917
402.969	166.708
405.798	165.505
408.672	164.308
411.587	163.116
414.539	161.928
417.523	160.745
420.536	159.564
423.573	158.386
426.631	157.209
429.706	156.034
432.792	154.860
435.887	153.685
438.986	152.510
442.085	151.333
445.179	150.155
448.266	148.974
451.340	147.790
454.398	146.601
457.436	145.409
460.449	144.211
463.433	143.008
466.385	141.798
469.300	140.581
472.174	139.357
475.003	138.125
477.786	136.888
480.523	135.651
483.212	134.421
485.854	133.202
488.449	131.999
490.995	130.819
493.494	129.665
495.944	128.544
498.345	127.461
500.697	126.421
502.999	125.429
505.252	124.492
507.455	123.613
509.607	122.798
511.708	122.054
513.759	121.384
515.758	120.795
517.706	120.291
519.601	119.878
521.445	119.554
523.237	119.306
524.977	119.120
526.667	118.982
528.306	118.878
529.895	118.793
531.434	118.714
532.923	118.627
534.363	118.517
535.755	118.371
537.098	118.174
538.392	117.912
539.646	117.583
540.872	117.199
542.089	116.777
543.311	116.331
544.557	115.878
545.842	115.433
547.182	115.010
548.593	114.627
550.093	114.298
551.698	114.038
553.420	113.862
555.247	113.764
557.157	113.736
559.126	113.766
561.132	113.845
563.152	113.961
565.164	114.105
567.144	114.266
569.069	114.433
570.918	114.596
572.667	114.745
574.294	114.869
575.775	114.958
577.088	115.001
578.227	114.995
579.236	114.952
580.173	114.892
581.093	114.833
582.052	114.793
583.107	114.790
584.314	114.843
585.729	114.969
587.399	115.185
589.300	115.491
591.383	115.878
593.596	116.341
595.889	116.871
598.212	117.463
600.513	118.107
602.742	118.798
604.849	119.529
606.782	120.291
608.491	121.078
609.925	121.883
611.033	122.699
611.765	123.518
612.072	124.334
611.982	125.141
611.617	125.939
611.107	126.728
610.581	127.505
610.169	128.271
610.000	129.024
610.169	129.767
610.648	130.516
611.382	131.289
612.314	132.104
613.390	132.980
614.553	133.936
615.747	134.990
616.916	136.160
618.005	137.466
618.958	138.924
619.727	140.548
620.304	142.318
620.693	144.206
620.896	146.184
620.916	148.223
620.757	150.296
620.421	152.374
619.912	154.430
619.232	156.434
618.386	158.359
617.375	160.177
616.203	161.860
614.874	163.379
613.389	164.706
611.757	165.817
610.027	166.723
608.267	167.452
606.548	168.031
604.938	168.490
603.507	168.855
602.324	169.156
601.458	169.421
600.980	169.677
600.958	169.953
601.441	170.275
602.345	170.646
603.532	171.064
604.866	171.527
606.210	172.031
607.425	172.574
608.377	173.152
608.926	173.763
608.946	174.404
608.451	175.073
607.556	175.768
606.377	176.490
605.032	177.236
603.638	178.006
602.312	178.797
601.170	179.610
600.331	180.443
599.908	181.295
599.938	182.165
600.334	183.056
600.998	183.968
601.834	184.902
602.746	185.861
603.635	186.845
604.406	187.857
604.961	188.897
605.219	189.962
605.182	191.021
604.877	192.036
604.334	192.968
603.582	193.777
602.649	194.424
601.564	194.869
600.357	195.077
599.072	195.063
597.769	194.889
596.508	194.624
595.349	194.331
594.351	194.078
593.575	193.930
593.080	193.953
592.919	194.209
593.060	194.709
593.426	195.436
593.940	196.377
594.524	197.513
595.101	198.830
595.593	200.311
595.923	201.940
596.013	203.702
595.796	205.580
595.265	207.559
594.442	209.627
593.348	211.769
592.003	213.971
590.427	216.220
588.641	218.501
586.665	220.800
584.521	223.104
582.228	225.399
579.808	227.671
577.280	229.906
574.666	232.089
571.985	234.208
569.259	236.248
566.508	238.196
563.752	240.037
561.013	241.757
558.310	243.344
555.664	244.782
553.097	246.057
550.627	247.157
548.269	248.074
546.015	248.819
543.857	249.404
541.785	249.843
539.789	250.149
537.860	250.336
535.989	250.417
534.166	250.404
532.382	250.312
530.627	250.154
528.892	249.942
527.167	249.690
525.444	249.412
523.711	249.120
521.961	248.827
520.187	248.540
518.385	248.257
516.551	247.980
514.682	247.708
512.773	247.441
510.820	247.179
508.820	246.922
506.769	246.671
504.663	246.424
502.498	246.183
500.270	245.947
497.975	245.716
495.610	245.490
493.171	245.270
490.653	245.054
488.053	244.843
485.375	244.636
482.622	244.431
479.800	244.225
476.915	244.016
473.971	243.802
470.974	243.582
467.929	243.352
464.841	243.112
461.715	242.859
458.557	242.590
455.371	242.304
452.163	241.998
448.939	241.671
445.702	241.321
442.460	240.945
439.216	240.541
435.975	240.108
432.744	239.642
429.528	239.143
426.330	238.607
423.158	238.034
420.015	237.420
416.907	236.763
413.839	236.066
410.812	235.335
407.830	234.575
404.894	233.795
402.007	233.000
399.172	232.197
396.390	231.394
393.665	230.596
390.999	229.811
388.393	229.045
385.852	228.305
383.376	227.598
380.969	226.930
378.633	226.309
376.370	225.740
374.183	225.231
372.074	224.789
370.046	224.419
368.100	224.130
366.241	223.926
364.468	223.798
362.781	223.712
361.181	223.635
359.668	223.532
358.240	223.369
356.899	223.114
355.643	222.731
354.473	222.186
353.389	221.447
352.390	220.478
351.476	219.248
350.648	217.763
349.911	216.059
349.265	214.174
348.713	212.144
348.259	210.005
347.906	207.796
347.655	205.553
347.509	203.313
347.471	201.112
347.545	198.988
347.732	196.978
348.035	195.119
348.457	193.447
349.000	192.000
