X	Y
355.000	181.000
356.063	179.986
357.226	179.055
358.462	178.184
359.748	177.351
361.059	176.532
362.371	175.704
363.659	174.845
364.898	173.932
366.065	172.941
367.143	171.856
368.147	170.680
369.097	169.423
370.015	168.091
370.921	166.693
371.836	165.238
372.781	163.733
373.776	162.186
374.842	160.606
376.000	159.000
377.266	157.377
378.636	155.741
380.103	154.097
381.659	152.449
383.295	150.803
385.004	149.161
386.777	147.530
388.608	145.913
390.486	144.315
392.406	142.740
394.358	141.194
396.334	139.680
398.327	138.203
400.329	136.767
402.336	135.374
404.353	134.015
406.387	132.680
408.446	131.361
410.538	130.046
412.669	128.727
414.846	127.394
417.077	126.038
419.369	124.648
421.729	123.215
424.164	121.730
426.683	120.182
429.291	118.563
431.996	116.862
434.806	115.071
437.727	113.178
440.764	111.179
443.902	109.086
447.119	106.918
450.397	104.693
453.713	102.432
457.048	100.152
460.381	97.874
463.692	95.615
466.959	93.394
470.162	91.232
473.282	89.146
476.296	87.155
479.184	85.279
481.927	83.537
484.503	81.947
486.892	80.528
489.073	79.300
491.025	78.281
492.729	77.490
494.163	76.946
495.333	76.644
496.317	76.510
497.203	76.458
498.082	76.402
499.044	76.258
500.177	75.940
501.543	75.390
503.126	74.623
504.899	73.665
506.833	72.542
508.900	71.281
511.074	69.908
513.326	68.448
515.629	66.929
517.955	65.376
520.276	63.816
522.564	62.275
524.792	60.779
526.933	59.355
528.957	58.028
530.846	56.818
532.614	55.717
534.284	54.709
535.881	53.777
537.427	52.904
538.945	52.076
540.460	51.275
541.995	50.485
543.574	49.691
545.219	48.875
546.955	48.022
548.799	47.120
550.743	46.178
552.771	45.209
554.869	44.228
557.020	43.248
559.211	42.283
561.425	41.347
563.648	40.455
565.864	39.619
568.058	38.855
570.215	38.175
572.319	37.594
574.356	37.125
576.313	36.782
578.193	36.557
580.016	36.434
581.799	36.395
583.560	36.423
585.316	36.499
587.085	36.606
588.886	36.727
590.736	36.844
592.653	36.939
594.654	36.996
596.751	36.999
598.913	36.966
601.091	36.922
603.237	36.896
605.300	36.914
607.233	37.003
608.987	37.190
610.512	37.503
611.761	37.968
612.683	38.613
613.234	39.463
613.427	40.514
613.333	41.732
613.028	43.083
612.585	44.530
612.079	46.040
611.583	47.578
611.173	49.108
610.921	50.596
610.866	52.026
610.998	53.406
611.307	54.744
611.782	56.051
612.412	57.335
613.185	58.604
614.091	59.870
615.118	61.140
616.239	62.417
617.376	63.690
618.444	64.940
619.358	66.151
620.031	67.308
620.379	68.392
620.316	69.389
619.757	70.281
618.710	71.067
617.326	71.766
615.769	72.400
614.202	72.991
612.789	73.560
611.692	74.129
611.077	74.720
611.096	75.354
611.744	76.040
612.871	76.775
614.322	77.557
615.943	78.383
617.579	79.250
619.077	80.157
620.282	81.100
621.039	82.077
621.247	83.087
620.971	84.140
620.309	85.246
619.359	86.413
618.220	87.653
616.990	88.976
615.767	90.390
614.649	91.908
613.733	93.537
613.069	95.275
612.630	97.093
612.379	98.963
612.283	100.854
612.306	102.739
612.415	104.588
612.573	106.371
612.747	108.059
612.902	109.624
613.002	111.035
613.021	112.279
612.961	113.391
612.833	114.421
612.645	115.419
612.407	116.433
612.128	117.513
611.816	118.706
611.474	120.022
611.093	121.438
610.668	122.934
610.191	124.487
609.656	126.075
609.056	127.676
608.385	129.269
607.635	130.831
606.800	132.341
605.883	133.788
604.906	135.186
603.893	136.550
602.867	137.898
601.854	139.245
600.877	140.609
599.961	142.004
599.129	143.448
598.407	144.957
597.817	146.547
597.364	148.218
597.021	149.945
596.758	151.704
596.546	153.467
596.356	155.208
596.157	156.901
595.920	158.519
595.617	160.037
595.217	161.428
594.692	162.668
594.036	163.760
593.262	164.736
592.383	165.625
591.413	166.459
590.365	167.268
589.252	168.083
588.089	168.934
586.886	169.846
585.647	170.811
584.374	171.810
583.068	172.824
581.728	173.835
580.357	174.824
578.955	175.773
577.524	176.663
576.063	177.476
574.575	178.193
573.062	178.807
571.532	179.335
569.991	179.792
568.448	180.195
566.910	180.563
565.384	180.912
563.878	181.258
562.399	181.619
560.955	182.013
559.550	182.451
558.171	182.932
556.804	183.450
555.435	183.998
554.048	184.570
552.629	185.162
551.162	185.766
549.634	186.377
548.030	186.989
546.337	187.597
544.558	188.202
542.697	188.805
540.760	189.407
538.751	190.011
536.676	190.618
534.540	191.229
532.348	191.846
530.105	192.471
527.816	193.105
525.486	193.749
523.120	194.406
520.724	195.078
518.301	195.764
515.852	196.464
513.376	197.177
510.874	197.902
508.345	198.637
505.790	199.381
503.208	200.134
500.599	200.893
497.963	201.658
495.300	202.427
492.610	203.200
489.892	203.974
487.147	204.750
484.375	205.525
481.575	206.298
478.747	207.068
475.893	207.835
473.014	208.593
470.116	209.342
467.202	210.076
464.276	210.794
461.342	211.492
458.404	212.167
455.464	212.815
452.529	213.434
449.600	214.021
446.682	214.571
443.779	215.083
440.895	215.553
438.033	215.977
435.197	216.353
432.392	216.677
429.620	216.947
426.886	217.159
424.190	217.313
421.530	217.408
418.905	217.444
416.315	217.422
413.757	217.342
411.230	217.203
408.734	217.006
406.266	216.751
403.826	216.438
401.413	216.066
399.025	215.637
396.660	215.149
394.318	214.603
391.998	213.999
389.698	213.338
387.421	212.624
385.170	211.859
382.947	211.049
380.756	210.198
378.599	209.309
376.478	208.388
374.398	207.437
372.360	206.462
370.367	205.466
368.422	204.454
366.528	203.429
364.688	202.396
362.905	201.359
361.191	200.316
359.563	199.263
358.039	198.195
356.636	197.108
355.373	195.996
354.266	194.856
353.335	193.681
352.595	192.468
352.066	191.212
351.761	189.910
351.676	188.576
351.796	187.229
352.108	185.890
352.598	184.578
353.253	183.312
354.058	182.113
355.000	181.000
