X	Y
66.293	141.523
66.345	141.499
66.401	141.485
66.463	141.479
66.528	141.481
66.596	141.489
66.667	141.502
66.739	141.518
66.813	141.537
66.888	141.558
66.962	141.579
67.036	141.599
67.108	141.618
67.180	141.634
67.251	141.650
67.321	141.663
67.390	141.676
67.459	141.688
67.529	141.699
67.598	141.710
67.668	141.720
67.738	141.730
67.808	141.740
67.880	141.750
67.953	141.760
68.026	141.771
68.101	141.781
68.176	141.793
68.252	141.804
68.329	141.816
68.406	141.828
68.484	141.840
68.563	141.853
68.643	141.866
68.723	141.879
68.804	141.893
68.885	141.907
68.967	141.922
69.049	141.937
69.131	141.953
69.213	141.969
69.295	141.985
69.376	142.002
69.457	142.019
69.538	142.036
69.617	142.054
69.696	142.073
69.774	142.091
69.851	142.110
69.926	142.130
70.000	142.150
70.074	142.170
70.146	142.191
70.218	142.211
70.290	142.233
70.361	142.254
70.433	142.276
70.504	142.298
70.576	142.320
70.648	142.342
70.721	142.364
70.795	142.387
70.869	142.410
70.944	142.433
71.020	142.457
71.096	142.481
71.173	142.505
71.250	142.530
71.327	142.556
71.404	142.582
71.482	142.609
71.560	142.637
71.638	142.666
71.715	142.696
71.793	142.727
71.870	142.758
71.947	142.791
72.023	142.824
72.100	142.858
72.176	142.892
72.251	142.926
72.326	142.961
72.400	142.995
72.474	143.029
72.547	143.063
72.620	143.097
72.692	143.130
72.763	143.162
72.833	143.193
72.903	143.224
72.972	143.255
73.041	143.285
73.110	143.315
73.179	143.344
73.248	143.374
73.316	143.403
73.386	143.433
73.455	143.462
73.525	143.492
73.595	143.523
73.666	143.553
73.737	143.584
73.808	143.616
73.879	143.648
73.950	143.680
74.020	143.713
74.089	143.746
74.157	143.780
74.224	143.814
74.290	143.849
74.354	143.885
74.417	143.921
74.478	143.958
74.537	143.995
74.595	144.033
74.651	144.072
74.707	144.111
74.762	144.151
74.816	144.192
74.870	144.233
74.924	144.275
74.979	144.318
75.033	144.362
75.088	144.406
75.143	144.451
75.199	144.496
75.255	144.542
75.311	144.589
75.367	144.636
75.424	144.683
75.481	144.731
75.538	144.780
75.595	144.829
75.652	144.878
75.709	144.927
75.766	144.976
75.823	145.026
75.879	145.077
75.935	145.127
75.991	145.178
76.046	145.230
76.101	145.282
76.154	145.334
76.207	145.387
76.259	145.441
76.310	145.495
76.360	145.550
76.409	145.606
76.457	145.662
76.504	145.718
76.550	145.775
76.596	145.832
76.642	145.889
76.688	145.945
76.734	146.002
76.780	146.058
76.826	146.114
76.873	146.169
76.921	146.224
76.970	146.278
77.018	146.332
77.067	146.386
77.116	146.440
77.164	146.494
77.212	146.550
77.259	146.606
77.305	146.663
77.349	146.722
77.393	146.783
77.435	146.845
77.474	146.909
77.512	146.975
77.548	147.042
77.582	147.111
77.614	147.180
77.643	147.250
77.669	147.320
77.693	147.390
77.715	147.460
77.733	147.529
77.749	147.597
77.761	147.663
77.771	147.729
77.778	147.793
77.783	147.857
77.787	147.920
77.789	147.982
77.790	148.045
77.791	148.109
77.791	148.173
77.792	148.237
77.794	148.304
77.797	148.371
77.800	148.440
77.803	148.510
77.806	148.581
77.807	148.652
77.807	148.724
77.805	148.796
77.800	148.868
77.792	148.940
77.780	149.012
77.763	149.083
77.742	149.154
77.716	149.223
77.685	149.292
77.651	149.360
77.612	149.426
77.571	149.492
77.527	149.558
77.481	149.622
77.432	149.685
77.382	149.748
77.332	149.809
77.280	149.870
77.228	149.930
77.176	149.988
77.124	150.046
77.071	150.103
77.019	150.159
76.966	150.215
76.912	150.269
76.859	150.322
76.804	150.374
76.749	150.426
76.694	150.476
76.637	150.526
76.580	150.574
76.522	150.622
76.463	150.669
76.403	150.715
76.342	150.760
76.281	150.805
76.218	150.849
76.155	150.893
76.092	150.937
76.027	150.980
75.962	151.023
75.897	151.067
75.830	151.110
75.764	151.153
75.696	151.197
75.629	151.240
75.561	151.283
75.493	151.326
75.425	151.368
75.357	151.410
75.290	151.451
75.223	151.491
75.156	151.530
75.090	151.568
75.025	151.604
74.960	151.639
74.897	151.673
74.834	151.705
74.773	151.737
74.711	151.767
74.651	151.797
74.591	151.826
74.531	151.855
74.472	151.884
74.413	151.913
74.353	151.942
74.294	151.972
74.235	152.002
74.176	152.033
74.116	152.064
74.056	152.094
73.994	152.125
73.932	152.156
73.869	152.186
73.805	152.215
73.739	152.243
73.672	152.271
73.603	152.297
73.532	152.322
73.460	152.346
73.386	152.369
73.312	152.391
73.236	152.412
73.161	152.432
73.085	152.452
73.009	152.471
72.933	152.490
72.859	152.508
72.785	152.527
72.712	152.545
72.640	152.564
72.569	152.583
72.500	152.601
72.431	152.619
72.362	152.637
72.294	152.654
72.225	152.670
72.156	152.686
72.086	152.700
72.015	152.713
71.943	152.724
71.870	152.734
71.795	152.743
71.718	152.750
71.640	152.755
71.561	152.759
71.482	152.763
71.402	152.765
71.322	152.767
71.242	152.768
71.162	152.768
71.082	152.768
71.004	152.768
70.926	152.768
70.849	152.767
70.773	152.767
70.699	152.766
70.625	152.766
70.553	152.764
70.482	152.762
70.412	152.759
70.343	152.755
70.274	152.750
70.207	152.744
70.141	152.736
70.076	152.727
70.012	152.716
69.949	152.704
69.886	152.690
69.823	152.676
69.761	152.661
69.698	152.645
69.636	152.630
69.572	152.614
69.508	152.599
69.443	152.584
69.378	152.570
69.311	152.557
69.244	152.543
69.176	152.529
69.109	152.513
69.041	152.496
68.974	152.476
68.908	152.454
68.843	152.429
68.778	152.400
68.715	152.367
68.654	152.330
68.595	152.289
68.537	152.243
68.480	152.195
68.425	152.143
68.372	152.089
68.321	152.033
68.271	151.976
68.222	151.917
68.175	151.858
68.130	151.799
68.086	151.740
68.044	151.681
68.003	151.623
67.963	151.566
67.925	151.508
67.888	151.452
67.851	151.395
67.816	151.339
67.781	151.282
67.747	151.225
67.714	151.169
67.681	151.112
67.648	151.054
67.616	150.996
67.585	150.938
67.554	150.880
67.525	150.821
67.496	150.761
67.470	150.702
67.444	150.641
67.421	150.581
67.399	150.519
67.380	150.458
67.362	150.395
67.347	150.333
67.332	150.269
67.319	150.205
67.306	150.140
67.294	150.075
67.283	150.008
67.271	149.941
67.259	149.873
67.246	149.804
67.233	149.734
67.218	149.663
67.203	149.591
67.187	149.519
67.170	149.445
67.153	149.371
67.134	149.296
67.115	149.220
67.096	149.144
67.075	149.067
67.055	148.989
67.033	148.911
67.011	148.833
66.989	148.754
66.966	148.675
66.943	148.595
66.919	148.516
66.896	148.436
66.873	148.357
66.850	148.278
66.827	148.199
66.805	148.121
66.783	148.044
66.762	147.967
66.741	147.891
66.721	147.815
66.702	147.741
66.684	147.668
66.666	147.595
66.648	147.523
66.631	147.452
66.613	147.381
66.595	147.311
66.577	147.241
66.558	147.171
66.538	147.102
66.518	147.033
66.496	146.964
66.474	146.895
66.450	146.826
66.426	146.758
66.401	146.689
66.375	146.620
66.350	146.552
66.323	146.483
66.297	146.414
66.271	146.346
66.245	146.277
66.219	146.208
66.193	146.139
66.168	146.070
66.143	146.001
66.119	145.932
66.096	145.862
66.073	145.793
66.051	145.724
66.030	145.654
66.010	145.585
65.991	145.516
65.974	145.447
65.957	145.378
65.942	145.309
65.927	145.239
65.914	145.170
65.901	145.101
65.889	145.031
65.877	144.961
65.865	144.891
65.853	144.820
65.842	144.749
65.830	144.677
65.818	144.604
65.805	144.530
65.792	144.456
65.779	144.381
65.766	144.305
65.754	144.229
65.743	144.152
65.732	144.074
65.723	143.997
65.716	143.919
65.711	143.840
65.707	143.762
65.707	143.683
65.709	143.604
65.713	143.526
65.721	143.447
65.730	143.369
65.741	143.292
65.754	143.216
65.768	143.141
65.783	143.068
65.798	142.996
65.815	142.926
65.831	142.859
65.847	142.794
65.863	142.732
65.879	142.672
65.894	142.614
65.908	142.557
65.923	142.500
65.937	142.443
65.952	142.385
65.967	142.325
65.981	142.264
65.996	142.199
66.012	142.131
66.028	142.060
