X	Y
13.817	5.995
13.838	5.957
13.863	5.922
13.893	5.891
13.928	5.864
13.966	5.838
14.008	5.815
14.054	5.794
14.103	5.774
14.155	5.755
14.209	5.736
14.266	5.717
14.325	5.698
14.385	5.677
14.447	5.655
14.510	5.631
14.574	5.606
14.639	5.579
14.706	5.551
14.773	5.521
14.842	5.491
14.911	5.459
14.982	5.427
15.053	5.393
15.126	5.359
15.199	5.325
15.273	5.289
15.348	5.254
15.424	5.217
15.500	5.181
15.577	5.145
15.655	5.108
15.733	5.072
15.812	5.036
15.892	5.000
15.972	4.965
16.052	4.930
16.133	4.895
16.215	4.861
16.296	4.827
16.377	4.794
16.459	4.760
16.541	4.727
16.622	4.695
16.703	4.662
16.784	4.630
16.864	4.597
16.944	4.565
17.023	4.533
17.101	4.500
17.179	4.468
17.255	4.436
17.331	4.403
17.406	4.370
17.479	4.338
17.551	4.305
17.622	4.271
17.691	4.238
17.759	4.204
17.826	4.170
17.891	4.135
17.954	4.100
18.017	4.066
18.078	4.030
18.139	3.995
18.199	3.959
18.258	3.924
18.316	3.888
18.374	3.852
18.431	3.816
18.488	3.780
18.545	3.744
18.601	3.707
18.658	3.671
18.714	3.635
18.771	3.599
18.828	3.563
18.886	3.527
18.944	3.491
19.002	3.456
19.061	3.420
19.121	3.384
19.180	3.348
19.241	3.312
19.302	3.276
19.364	3.240
19.426	3.203
19.490	3.167
19.553	3.130
19.618	3.093
19.684	3.055
19.750	3.018
19.817	2.980
19.886	2.941
19.955	2.902
20.025	2.863
20.096	2.823
20.168	2.783
20.241	2.742
20.314	2.701
20.388	2.661
20.462	2.620
20.536	2.578
20.611	2.538
20.685	2.497
20.759	2.456
20.832	2.416
20.905	2.377
20.977	2.338
21.048	2.299
21.118	2.261
21.186	2.224
21.254	2.188
21.319	2.153
21.384	2.119
21.446	2.086
21.506	2.054
21.564	2.024
21.620	1.995
21.674	1.967
21.727	1.941
21.777	1.916
21.827	1.892
21.875	1.870
21.922	1.848
21.968	1.828
22.014	1.810
22.059	1.792
22.105	1.776
22.150	1.760
22.195	1.746
22.241	1.733
22.288	1.722
22.335	1.711
22.382	1.701
22.429	1.692
22.477	1.684
22.525	1.677
22.572	1.671
22.620	1.665
22.667	1.660
22.714	1.656
22.761	1.652
22.808	1.648
22.853	1.645
22.899	1.642
22.944	1.640
22.989	1.638
23.034	1.637
23.079	1.636
23.125	1.635
23.171	1.636
23.219	1.636
23.268	1.638
23.318	1.640
23.369	1.643
23.422	1.646
23.477	1.651
23.534	1.656
23.592	1.662
23.651	1.668
23.710	1.676
23.770	1.685
23.830	1.695
23.890	1.705
23.949	1.717
24.007	1.731
24.064	1.745
24.120	1.761
24.173	1.778
24.225	1.796
24.273	1.816
24.319	1.838
24.363	1.860
24.403	1.885
24.441	1.910
24.478	1.937
24.512	1.966
24.545	1.996
24.577	2.027
24.607	2.059
24.637	2.092
24.667	2.127
24.697	2.163
24.727	2.200
24.757	2.238
24.787	2.277
24.817	2.317
24.847	2.357
24.877	2.399
24.907	2.441
24.936	2.484
24.965	2.527
24.994	2.570
25.022	2.614
25.049	2.658
25.075	2.702
25.100	2.747
25.124	2.791
25.147	2.835
25.167	2.880
25.185	2.924
25.200	2.969
25.211	3.014
25.219	3.060
25.222	3.106
25.219	3.153
25.212	3.200
25.198	3.248
25.178	3.297
25.150	3.347
25.117	3.397
25.077	3.448
25.034	3.497
24.987	3.545
24.940	3.590
24.891	3.632
24.844	3.670
24.800	3.703
24.758	3.731
24.722	3.752
24.692	3.767
24.669	3.774
24.655	3.772
24.651	3.762
24.655	3.743
24.667	3.716
24.685	3.684
24.709	3.645
