X	Y
18.000	4.833
18.026	4.806
18.058	4.783
18.093	4.763
18.132	4.747
18.174	4.733
18.217	4.720
18.261	4.710
18.305	4.700
18.348	4.690
18.389	4.680
18.428	4.669
18.464	4.656
18.498	4.643
18.531	4.629
18.562	4.614
18.592	4.599
18.623	4.582
18.654	4.565
18.687	4.547
18.721	4.529
18.756	4.511
18.794	4.492
18.833	4.474
18.874	4.455
18.916	4.436
18.958	4.418
19.002	4.399
19.047	4.382
19.092	4.365
19.138	4.348
19.184	4.333
19.230	4.318
19.277	4.304
19.324	4.290
19.370	4.277
19.417	4.265
19.464	4.253
19.511	4.240
19.558	4.228
19.604	4.216
19.651	4.203
19.698	4.190
19.744	4.176
19.791	4.162
19.837	4.146
19.884	4.131
19.930	4.115
19.977	4.098
20.023	4.082
20.070	4.065
20.117	4.048
20.165	4.031
20.212	4.014
20.260	3.997
20.309	3.980
20.358	3.964
20.408	3.948
20.458	3.933
20.509	3.917
20.560	3.902
20.611	3.887
20.662	3.873
20.714	3.858
20.765	3.843
20.817	3.828
20.869	3.813
20.920	3.797
20.971	3.781
21.022	3.765
21.073	3.749
21.123	3.732
21.173	3.715
21.223	3.697
21.273	3.679
21.323	3.661
21.373	3.642
21.423	3.623
21.473	3.604
21.524	3.585
21.575	3.565
21.626	3.546
21.678	3.526
21.730	3.505
21.783	3.485
21.836	3.465
21.890	3.444
21.943	3.423
21.997	3.403
22.051	3.382
22.105	3.361
22.158	3.340
22.211	3.319
22.264	3.298
22.316	3.277
22.367	3.256
22.418	3.235
22.467	3.214
22.516	3.193
22.564	3.173
22.611	3.152
22.658	3.131
22.704	3.110
22.750	3.090
22.797	3.069
22.843	3.048
22.890	3.027
22.937	3.005
22.984	2.984
23.033	2.963
23.082	2.941
23.132	2.919
23.184	2.897
23.236	2.875
23.289	2.853
23.342	2.830
23.396	2.808
23.451	2.786
23.506	2.764
23.562	2.742
23.618	2.721
23.674	2.699
23.730	2.678
23.786	2.657
23.842	2.637
23.898	2.616
23.954	2.597
24.009	2.577
24.064	2.558
24.118	2.539
24.171	2.520
24.223	2.500
24.274	2.481
24.324	2.461
24.372	2.441
24.419	2.421
24.463	2.399
24.506	2.378
24.547	2.355
24.586	2.332
24.622	2.308
24.657	2.285
24.691	2.261
24.724	2.239
24.757	2.217
24.789	2.198
24.821	2.180
24.854	2.164
24.888	2.151
24.923	2.141
24.959	2.133
24.995	2.128
25.033	2.124
25.071	2.121
25.110	2.118
25.149	2.116
25.189	2.113
25.228	2.109
25.268	2.103
25.308	2.096
25.348	2.087
25.388	2.077
25.427	2.065
25.467	2.051
25.506	2.037
25.545	2.021
25.584	2.005
25.623	1.987
25.661	1.969
25.699	1.950
25.737	1.930
25.775	1.910
25.813	1.891
25.852	1.871
25.892	1.852
25.932	1.833
25.974	1.815
26.017	1.798
26.061	1.782
26.107	1.767
26.156	1.754
26.206	1.742
26.257	1.732
26.311	1.723
26.365	1.715
