X	Y
31.628	21.860
31.725	21.773
31.848	21.698
31.992	21.632
32.156	21.577
32.338	21.529
32.534	21.490
32.741	21.456
32.959	21.429
33.183	21.406
33.412	21.387
33.643	21.371
33.873	21.357
34.099	21.343
34.320	21.330
34.533	21.315
34.735	21.299
34.929	21.282
35.114	21.263
35.291	21.243
35.462	21.224
35.628	21.203
35.790	21.183
35.948	21.163
36.104	21.144
36.258	21.126
36.412	21.109
36.566	21.094
36.722	21.081
36.880	21.069
37.040	21.060
37.202	21.052
37.366	21.045
37.531	21.039
37.698	21.034
37.866	21.030
38.035	21.026
38.206	21.022
38.378	21.018
38.551	21.014
38.725	21.009
38.899	21.003
39.074	20.997
39.250	20.992
39.425	20.987
39.600	20.983
39.775	20.982
39.950	20.983
40.124	20.988
40.296	20.996
40.468	21.008
40.638	21.026
40.806	21.049
40.972	21.078
41.136	21.114
41.298	21.157
41.458	21.206
41.616	21.262
41.772	21.324
41.926	21.392
42.078	21.465
42.228	21.545
42.377	21.630
42.524	21.721
42.669	21.816
42.812	21.917
42.955	22.022
43.095	22.132
43.234	22.247
43.372	22.365
43.507	22.486
43.640	22.611
43.771	22.738
43.899	22.867
44.025	22.998
44.148	23.131
44.267	23.264
44.384	23.398
44.497	23.532
44.607	23.666
44.713	23.799
44.815	23.931
44.912	24.063
45.005	24.195
45.091	24.327
45.172	24.459
45.247	24.592
45.314	24.726
45.374	24.862
45.426	24.999
45.470	25.137
45.505	25.278
45.531	25.421
45.548	25.565
45.558	25.711
45.560	25.858
45.555	26.004
45.544	26.150
45.527	26.295
45.506	26.439
45.480	26.580
45.451	26.718
45.419	26.853
45.384	26.984
45.348	27.113
45.311	27.238
45.275	27.360
45.239	27.481
45.205	27.600
45.174	27.718
45.146	27.835
45.122	27.951
45.103	28.068
45.089	28.185
45.077	28.304
45.067	28.424
45.057	28.547
45.046	28.674
45.032	28.804
45.014	28.939
44.991	29.080
44.961	29.227
44.923	29.381
44.878	29.539
44.825	29.701
44.765	29.865
44.699	30.028
44.626	30.190
44.548	30.349
44.465	30.502
44.376	30.649
44.282	30.788
44.185	30.916
44.083	31.032
43.978	31.135
43.870	31.225
43.761	31.305
43.653	31.377
43.546	31.444
43.442	31.508
43.343	31.573
43.251	31.641
43.166	31.714
43.090	31.795
43.024	31.887
42.966	31.986
42.912	32.091
42.861	32.200
42.809	32.311
42.754	32.421
42.694	32.528
42.625	32.631
42.546	32.726
42.455	32.813
42.352	32.892
42.239	32.964
42.117	33.029
41.989	33.089
41.854	33.143
41.716	33.192
41.574	33.238
41.431	33.280
41.287	33.320
41.145	33.359
41.005	33.396
40.865	33.433
40.727	33.470
40.588	33.507
40.450	33.546
40.311	33.586
40.172	33.629
40.031	33.675
39.888	33.724
39.744	33.778
39.597	33.836
39.448	33.898
39.298	33.964
39.147	34.032
38.995	34.102
38.843	34.172
38.693	34.242
38.543	34.310
38.396	34.376
38.251	34.439
38.109	34.497
37.970	34.551
37.836	34.598
37.706	34.638
37.580	34.671
37.458	34.695
37.338	34.711
37.221	34.716
37.106	34.712
36.992	34.697
36.880	34.670
36.768	34.631
36.657	34.580
36.546	34.517
36.437	34.444
36.329	34.361
36.223	34.270
36.119	34.170
36.017	34.063
35.917	33.950
35.820	33.831
35.727	33.707
35.636	33.580
35.548	33.449
35.463	33.314
35.380	33.176
35.299	33.035
35.219	32.891
35.141	32.745
35.063	32.597
34.986	32.447
34.909	32.294
34.831	32.141
34.753	31.986
34.674	31.830
34.594	31.674
34.513	31.517
34.430	31.359
34.347	31.202
34.262	31.044
34.176	30.886
34.089	30.729
34.001	30.573
33.911	30.417
33.821	30.262
33.729	30.108
33.635	29.956
33.541	29.805
33.445	29.656
33.349	29.508
33.253	29.361
33.157	29.213
33.062	29.066
32.968	28.918
32.877	28.769
32.788	28.618
32.703	28.465
32.620	28.310
32.543	28.152
32.469	27.990
32.401	27.825
32.339	27.655
32.281	27.483
32.227	27.308
32.177	27.133
32.128	26.957
32.081	26.782
32.034	26.609
31.986	26.439
31.937	26.273
31.886	26.112
31.832	25.957
31.774	25.809
31.710	25.669
31.642	25.538
31.569	25.414
31.496	25.297
31.424	25.185
31.356	25.077
31.294	24.970
31.241	24.863
31.200	24.755
31.172	24.645
31.161	24.531
31.166	24.412
31.185	24.288
31.215	24.161
31.253	24.029
31.295	23.894
31.339	23.756
31.382	23.615
31.421	23.472
31.452	23.326
31.473	23.179
31.481	23.031
31.481	22.882
31.475	22.736
31.468	22.591
31.463	22.451
31.466	22.317
31.480	22.189
31.509	22.069
31.557	21.959
31.628	21.860
