X	Y
1122.000	579.000
1125.892	573.115
1130.219	568.300
1134.858	564.403
1139.686	561.268
1144.581	558.743
1149.418	556.672
1154.077	554.902
1158.434	553.278
1162.365	551.647
1165.749	549.855
1168.472	547.753
1170.594	545.292
1172.315	542.505
1173.840	539.425
1175.375	536.089
1177.124	532.531
1179.294	528.786
1182.088	524.890
1185.667	520.870
1190.021	516.733
1195.103	512.482
1200.865	508.117
1207.258	503.640
1214.235	499.052
1221.749	494.354
1229.751	489.549
1238.194	484.637
1247.029	479.620
1256.209	474.499
1265.687	469.277
1275.414	463.953
1285.342	458.530
1295.425	453.009
1305.613	447.391
1315.859	441.679
1326.115	435.873
1336.334	429.974
1346.472	423.986
1356.512	417.917
1366.451	411.780
1376.283	405.586
1386.004	399.347
1395.610	393.076
1405.094	386.783
1414.454	380.482
1423.684	374.184
1432.779	367.901
1441.735	361.644
1450.547	355.427
1459.211	349.261
1467.721	343.157
1476.073	337.128
1484.262	331.186
1492.285	325.343
1500.135	319.610
1507.809	314.000
1515.301	308.524
1522.607	303.195
1529.723	298.024
1536.657	293.012
1543.434	288.145
1550.080	283.409
1556.623	278.788
1563.089	274.269
1569.504	269.835
1575.896	265.473
1582.290	261.167
1588.712	256.903
1595.191	252.667
1601.752	248.442
1608.421	244.214
1615.226	239.970
1622.193	235.693
1629.348	231.369
1636.719	226.983
1644.314	222.529
1652.115	218.014
1660.094	213.449
1668.228	208.845
1676.491	204.211
1684.858	199.558
1693.304	194.896
1701.804	190.237
1710.332	185.589
1718.864	180.964
1727.374	176.371
1735.837	171.821
1744.229	167.325
1752.523	162.893
1760.695	158.535
1768.720	154.261
1776.572	150.082
1784.227	146.009
1791.660	142.051
1798.866	138.218
1805.859	134.520
1812.654	130.967
1819.267	127.569
1825.712	124.333
1832.004	121.272
1838.158	118.393
1844.190	115.706
1850.114	113.222
1855.945	110.949
1861.699	108.897
1867.391	107.075
1873.035	105.494
1878.646	104.162
1884.224	103.073
1889.762	102.215
1895.253	101.573
1900.688	101.133
1906.059	100.882
1911.359	100.805
1916.581	100.889
1921.715	101.120
1926.755	101.484
1931.693	101.966
1936.509	102.564
1941.124	103.324
1945.444	104.308
1949.371	105.577
1952.811	107.193
1955.668	109.219
1957.845	111.716
1959.249	114.744
1959.854	118.307
1959.782	122.280
1959.174	126.527
1958.169	130.910
1956.907	135.292
1955.529	139.535
1954.174	143.502
1952.982	147.056
1952.083	150.103
1951.569	152.723
1951.520	155.035
1952.020	157.160
1953.150	159.216
1954.943	161.308
1957.284	163.495
1960.032	165.829
1963.047	168.361
1966.189	171.143
1969.317	174.225
1972.289	177.660
1974.966	181.496
1977.234	185.693
1979.016	190.090
1980.235	194.515
1980.818	198.797
1980.688	202.765
1979.772	206.247
1977.994	209.073
1975.290	211.085
1971.791	212.360
1967.777	213.153
1963.533	213.726
1959.344	214.343
1955.495	215.265
1952.270	216.755
1949.954	219.073
1948.754	222.383
1948.587	226.479
1949.303	231.071
1950.754	235.868
1952.789	240.579
1955.259	244.913
1958.015	248.579
1960.906	251.288
1963.787	252.782
1966.551	253.278
1969.123	253.335
1971.426	253.520
1973.386	254.398
1974.930	256.499
1976.004	259.873
1976.576	264.236
1976.610	269.295
1976.071	274.759
1974.924	280.335
1973.136	285.732
1970.670	290.658
1967.493	294.820
1963.573	297.931
1959.007	299.897
1954.095	300.924
1949.152	301.240
1944.494	301.075
1940.434	300.657
1937.289	300.215
1935.374	299.979
1934.985	300.172
1936.092	300.913
1938.382	302.234
1941.533	304.161
1945.223	306.723
1949.130	309.946
1952.931	313.859
1956.305	318.490
1959.003	323.818
1960.992	329.682
1962.282	335.894
1962.882	342.269
1962.800	348.617
1962.045	354.753
1960.625	360.488
1958.550	365.635
1955.828	370.007
1952.468	373.417
1948.481	375.680
1944.011	376.799
1939.389	377.042
1934.963	376.694
1931.078	376.044
1928.082	375.380
1926.320	374.988
1926.130	375.152
1927.514	376.005
1930.058	377.490
1933.325	379.539
1936.873	382.087
1940.264	385.065
1943.059	388.406
1944.833	392.038
1945.457	395.832
1945.051	399.602
1943.749	403.161
1941.682	406.324
1938.981	408.905
1935.778	410.717
1932.214	411.612
1928.504	411.749
1924.902	411.434
1921.660	410.975
1919.031	410.679
1917.268	410.853
1916.588	411.778
1916.918	413.504
1918.036	415.968
1919.722	419.105
1921.753	422.850
1923.907	427.137
1925.962	431.903
1927.720	437.059
1929.082	442.422
1929.971	447.785
1930.316	452.939
1930.043	457.675
1929.077	461.786
1927.345	465.063
1924.773	467.298
1921.292	468.290
1916.996	468.063
1912.155	466.890
1907.049	465.058
1901.959	462.854
1897.167	460.565
1892.952	458.478
1889.595	456.878
1887.376	456.053
1886.542	456.267
1887.012	457.561
1888.521	459.857
1890.804	463.073
1893.596	467.128
1896.631	471.941
1899.643	477.431
1902.367	483.515
1904.537	490.114
1905.909	497.144
1906.432	504.495
1906.160	512.047
1905.151	519.678
1903.462	527.266
1901.150	534.688
1898.270	541.823
1894.881	548.550
1891.037	554.746
1886.798	560.290
1882.218	565.059
1877.355	568.932
1872.266	571.788
1867.009	573.507
1861.695	574.129
1856.512	573.914
1851.653	573.136
1847.311	572.070
1843.678	570.991
1840.947	570.175
1839.310	569.895
1838.945	570.416
1839.769	571.821
1841.500	574.049
1843.846	577.039
1846.517	580.726
1849.225	585.048
1851.679	589.940
1853.588	595.341
1854.687	601.175
1854.950	607.260
1854.488	613.347
1853.414	619.190
1851.842	624.542
1849.885	629.153
1847.657	632.778
1845.270	635.169
1842.839	636.078
1840.467	635.287
1838.155	632.960
1835.829	629.513
1833.416	625.368
1830.842	620.946
1828.034	616.669
1824.917	612.959
1821.420	610.237
1817.467	608.925
1813.051	609.282
1808.348	611.123
1803.562	614.186
1798.899	618.212
1794.564	622.939
1790.762	628.106
1787.698	633.454
1785.578	638.721
1784.608	643.647
1784.991	647.970
1786.829	651.497
1789.786	654.305
1793.417	656.540
1797.278	658.349
1800.923	659.879
1803.908	661.276
1805.787	662.687
1806.167	664.242
1805.053	665.952
1802.636	667.771
1799.106	669.652
1794.653	671.548
1789.468	673.413
1783.742	675.200
1777.665	676.864
1771.427	678.357
1765.159	679.652
1758.875	680.757
1752.577	681.685
1746.263	682.447
1739.938	683.057
1733.599	683.526
1727.250	683.868
1720.891	684.093
1714.524	684.215
1708.148	684.245
1701.765	684.198
1695.377	684.083
1688.983	683.914
1682.571	683.700
1676.112	683.443
1669.578	683.146
1662.940	682.815
1656.169	682.452
1649.237	682.061
1642.115	681.644
1634.774	681.207
1627.186	680.751
1619.321	680.282
1611.151	679.802
1602.647	679.314
1593.781	678.823
1584.524	678.332
1574.847	677.844
1564.748	677.364
1554.263	676.895
1543.432	676.444
1532.297	676.016
1520.898	675.614
1509.276	675.244
1497.470	674.911
1485.522	674.620
1473.473	674.376
1461.362	674.184
1449.231	674.049
1437.119	673.975
1425.068	673.967
1413.119	674.032
1401.311	674.172
1389.685	674.394
1378.282	674.703
1367.142	675.102
1356.307	675.598
1345.815	676.195
1335.709	676.898
1326.029	677.713
1316.812	678.640
1308.053	679.658
1299.726	680.726
1291.800	681.804
1284.247	682.852
1277.038	683.830
1270.143	684.697
1263.534	685.413
1257.182	685.939
1251.057	686.233
1245.131	686.256
1239.375	685.968
1233.759	685.329
1228.255	684.297
1222.835	682.849
1217.487	681.077
1212.204	679.133
1206.982	677.171
1201.814	675.343
1196.694	673.801
1191.617	672.697
1186.578	672.184
1181.569	672.416
1176.586	673.543
1171.623	675.717
1166.684	678.947
1161.793	682.986
1156.975	687.559
1152.254	692.393
1147.657	697.213
1143.207	701.747
1138.929	705.719
1134.850	708.855
1130.994	710.883
1127.385	711.527
1124.050	710.516
1121.009	707.737
1118.280	703.352
1115.880	697.549
1113.824	690.517
1112.129	682.445
1110.812	673.522
1109.888	663.937
1109.375	653.877
1109.288	643.533
1109.644	633.092
1110.460	622.744
1111.751	612.678
1113.534	603.081
1115.826	594.144
1118.642	586.054
1122.000	579.000
