X	Y
270.000	167.000
271.684	165.994
273.752	165.391
276.155	165.147
278.846	165.221
281.777	165.568
284.900	166.145
288.167	166.911
291.530	167.821
294.942	168.833
298.356	169.904
301.722	170.990
304.993	172.049
308.122	173.038
311.076	173.925
313.875	174.720
316.551	175.442
319.137	176.111
321.665	176.746
324.167	177.365
326.675	177.987
329.221	178.632
331.838	179.319
334.558	180.067
337.413	180.894
340.436	181.821
343.650	182.863
347.032	184.016
350.536	185.267
354.115	186.604
357.723	188.014
361.314	189.484
364.843	191.001
368.262	192.554
371.526	194.128
374.589	195.712
377.405	197.292
379.928	198.857
382.111	200.392
383.908	201.886
385.274	203.326
386.214	204.713
386.834	206.076
387.255	207.447
387.596	208.859
387.979	210.344
388.523	211.935
389.346	213.662
390.448	215.495
391.665	217.314
392.822	218.996
393.745	220.414
394.257	221.445
394.184	221.963
393.369	221.859
391.892	221.212
389.980	220.220
387.864	219.083
385.774	218.000
383.940	217.173
382.594	216.801
381.965	217.084
382.178	218.128
383.071	219.789
384.437	221.882
386.067	224.220
387.753	226.618
389.288	228.888
390.463	230.847
391.071	232.307
390.902	233.083
389.885	233.106
388.258	232.581
386.306	231.752
384.314	230.862
382.567	230.155
381.348	229.876
380.937	230.261
381.395	231.361
382.531	233.004
384.135	235.003
385.999	237.172
387.914	239.324
389.672	241.273
391.064	242.832
391.882	243.815
391.931	244.049
391.208	243.553
389.853	242.490
388.008	241.022
385.816	239.316
383.421	237.536
380.965	235.846
378.590	234.411
376.441	233.396
374.659	232.965
373.346	233.203
372.517	234.025
372.175	235.323
372.322	236.989
372.962	238.915
374.076	240.996
375.549	243.136
377.239	245.241
379.001	247.218
380.694	248.973
382.175	250.413
383.300	251.444
383.928	251.972
383.917	251.907
383.230	251.245
381.988	250.125
380.327	248.696
378.384	247.105
376.292	245.504
374.189	244.040
372.210	242.864
370.489	242.124
369.158	241.957
368.274	242.364
367.848	243.258
367.893	244.550
368.409	246.149
369.274	247.935
370.296	249.775
371.284	251.531
372.044	253.068
372.384	254.251
372.110	254.945
371.076	255.043
369.413	254.638
367.368	253.900
365.186	252.996
363.113	252.098
361.395	251.374
360.278	250.995
360.001	251.125
360.595	251.802
361.832	252.900
363.462	254.284
365.240	255.817
366.918	257.365
368.249	258.791
368.986	259.959
368.938	260.760
368.172	261.202
366.827	261.326
365.041	261.175
362.956	260.790
360.708	260.212
358.434	259.486
356.224	258.684
354.143	257.895
352.253	257.208
350.620	256.712
349.305	256.498
348.374	256.653
347.887	257.265
347.814	258.326
347.983	259.678
348.208	261.155
348.305	262.588
348.090	263.809
347.402	264.670
346.247	265.169
344.707	265.368
342.860	265.327
340.787	265.109
338.568	264.775
336.283	264.385
334.011	264.002
331.819	263.676
329.716	263.414
327.695	263.212
325.750	263.067
323.876	262.975
322.067	262.931
320.316	262.932
318.618	262.975
316.966	263.054
315.347	263.164
313.743	263.298
312.135	263.447
310.506	263.604
308.837	263.762
307.111	263.913
305.308	264.049
303.443	264.144
301.566	264.147
299.735	264.006
298.004	263.669
296.430	263.084
295.067	262.197
293.972	260.957
293.175	259.345
292.616	257.463
292.213	255.442
291.885	253.412
291.550	251.504
291.128	249.849
290.537	248.577
289.696	247.817
288.588	247.578
287.297	247.680
285.915	247.926
284.533	248.118
283.244	248.060
282.128	247.579
281.179	246.673
280.350	245.425
279.594	243.913
278.865	242.220
278.116	240.425
277.301	238.608
276.376	236.845
275.351	235.154
274.267	233.514
273.165	231.902
272.089	230.296
271.079	228.676
270.178	227.018
269.428	225.302
268.871	223.506
268.522	221.613
268.352	219.619
268.322	217.520
268.398	215.311
268.542	212.989
268.719	210.549
268.892	207.988
269.025	205.302
269.081	202.486
269.025	199.537
268.827	196.456
268.515	193.278
268.138	190.051
267.745	186.826
267.387	183.652
267.112	180.578
266.971	177.653
267.012	174.927
267.286	172.450
267.843	170.270
268.731	168.437
270.000	167.000
