X	Y
280.333	184.667
281.787	183.656
283.709	183.193
285.979	183.001
288.477	182.854
291.088	182.729
293.694	182.658
296.180	182.671
298.477	182.787
300.666	182.985
302.858	183.236
305.154	183.511
307.549	183.793
309.958	184.069
312.297	184.329
314.513	184.571
316.683	184.830
318.921	185.152
321.334	185.581
323.938	186.127
326.665	186.768
329.443	187.482
332.204	188.247
334.898	189.032
337.513	189.798
340.040	190.504
342.469	191.109
344.808	191.601
347.097	192.034
349.382	192.471
351.705	192.972
354.073	193.574
356.461	194.292
358.846	195.141
361.204	196.135
363.534	197.275
365.841	198.558
368.132	199.981
370.414	201.533
372.691	203.160
374.967	204.782
377.246	206.320
379.531	207.699
381.809	208.923
384.052	210.073
386.234	211.231
388.329	212.475
390.342	213.812
392.302	215.201
394.239	216.599
396.166	217.983
398.023	219.409
399.731	220.958
401.211	222.710
402.466	224.671
403.602	226.754
404.735	228.866
405.964	230.921
407.270	232.921
408.580	234.908
409.816	236.923
410.932	239.009
411.965	241.208
412.963	243.567
413.974	246.126
414.884	248.775
415.306	251.144
414.830	252.838
413.201	253.587
411.133	253.894
409.709	254.556
409.643	256.099
410.378	258.130
411.087	260.055
411.241	261.550
411.018	262.919
410.626	264.442
409.923	265.833
408.680	266.659
406.984	266.764
405.162	266.208
403.538	265.235
402.404	264.708
401.989	265.488
402.080	267.381
402.258	269.693
402.170	271.802
401.679	273.319
400.696	273.919
399.236	273.695
397.424	273.161
395.445	272.782
393.623	272.864
392.298	273.680
391.613	275.249
391.455	277.265
391.678	279.399
391.888	281.324
391.535	282.709
390.213	283.308
388.204	283.223
385.982	282.663
383.944	281.922
382.272	281.548
381.109	282.120
380.445	283.683
380.070	285.583
379.748	287.182
379.142	288.370
377.887	289.288
375.975	289.917
373.656	290.124
371.190	289.782
368.908	289.151
367.226	288.959
366.535	289.920
366.586	291.926
366.512	294.070
365.475	295.461
363.471	295.932
361.124	295.865
359.059	295.644
357.450	295.400
356.012	295.004
354.494	294.414
352.873	293.994
351.191	294.199
349.479	295.045
347.764	296.090
346.073	296.879
344.411	297.191
342.767	297.005
341.123	296.365
339.441	295.554
337.676	294.913
335.811	294.668
333.892	294.766
331.974	295.116
330.063	295.597
328.073	296.038
325.911	296.263
323.566	296.168
321.247	295.834
319.200	295.374
317.614	294.903
316.214	294.567
314.487	294.529
312.283	294.797
309.923	295.187
307.756	295.499
306.071	295.517
304.906	294.941
304.203	293.543
303.667	291.716
302.902	290.120
301.649	289.206
300.045	288.811
298.298	288.664
296.523	288.543
294.787	288.259
293.159	287.648
291.747	286.639
290.665	285.192
289.942	283.365
289.477	281.362
289.158	279.399
288.809	277.618
288.146	276.044
286.912	274.678
285.314	273.390
283.901	271.950
283.198	270.146
283.193	268.109
283.441	266.243
283.496	264.916
282.991	263.991
281.780	263.073
280.367	261.974
279.403	260.562
279.153	258.880
279.448	257.162
280.069	255.610
280.631	254.184
280.710	252.763
280.284	251.261
279.710	249.620
279.273	247.808
278.967	245.860
278.731	243.826
278.521	241.742
278.353	239.613
278.258	237.432
278.257	235.201
278.332	232.975
278.441	230.828
278.548	228.835
278.637	227.001
278.723	225.262
278.818	223.550
278.915	221.787
278.995	219.889
279.044	217.801
279.053	215.614
279.021	213.460
278.947	211.463
278.850	209.595
278.765	207.730
278.723	205.754
278.721	203.664
278.740	201.510
278.760	199.349
278.768	197.260
278.761	195.352
278.734	193.719
278.714	192.237
278.759	190.555
278.949	188.491
279.423	186.384
280.333	184.667
