X	Y
788.000	473.000
789.518	471.874
792.137	471.114
795.511	470.540
799.293	469.972
803.136	469.228
806.693	468.128
809.681	466.531
812.148	464.509
814.256	462.201
816.165	459.749
818.034	457.293
820.024	454.975
822.263	452.903
824.753	451.062
827.468	449.408
830.381	447.897
833.464	446.485
836.689	445.127
840.033	443.782
843.482	442.427
847.027	441.044
850.660	439.618
854.370	438.131
858.151	436.565
861.991	434.903
865.883	433.130
869.806	431.248
873.729	429.282
877.620	427.256
881.448	425.195
885.181	423.124
888.787	421.068
892.234	419.052
895.494	417.100
898.580	415.227
901.555	413.435
904.485	411.729
907.436	410.109
910.473	408.579
913.662	407.142
917.055	405.798
920.621	404.542
924.303	403.364
928.044	402.255
931.787	401.207
935.475	400.209
939.051	399.254
942.465	398.332
945.738	397.430
948.929	396.532
952.098	395.623
955.304	394.689
958.606	393.713
962.065	392.682
965.700	391.592
969.468	390.466
973.320	389.328
977.207	388.199
981.079	387.103
984.886	386.064
988.578	385.106
992.118	384.242
995.526	383.439
998.845	382.648
1002.119	381.816
1005.389	380.894
1008.698	379.832
1012.090	378.578
1015.583	377.122
1019.157	375.515
1022.789	373.815
1026.456	372.078
1030.136	370.361
1033.806	368.722
1037.441	367.217
1041.023	365.895
1044.545	364.736
1048.011	363.698
1051.421	362.738
1054.778	361.813
1058.082	360.879
1061.336	359.894
1064.537	358.828
1067.670	357.696
1070.717	356.518
1073.659	355.317
1076.480	354.113
1079.162	352.927
1081.705	351.782
1084.169	350.700
1086.626	349.702
1089.149	348.810
1091.810	348.047
1094.666	347.426
1097.697	346.915
1100.857	346.468
1104.104	346.040
1107.392	345.585
1110.678	345.057
1113.923	344.421
1117.119	343.682
1120.265	342.865
1123.365	341.993
1126.418	341.089
1129.427	340.175
1132.396	339.269
1135.361	338.351
1138.369	337.382
1141.468	336.323
1144.705	335.136
1148.128	333.783
1151.780	332.230
1155.601	330.551
1159.417	328.937
1163.051	327.585
1166.326	326.690
1169.065	326.449
1171.089	327.058
1172.346	328.560
1173.212	330.481
1174.150	332.236
1175.621	333.247
1177.829	333.258
1180.609	332.474
1183.770	331.137
1187.120	329.489
1190.467	327.771
1193.625	326.217
1196.540	324.931
1199.278	323.890
1201.912	323.069
1204.514	322.440
1207.156	321.977
1209.894	321.652
1212.725	321.433
1215.635	321.283
1218.610	321.170
1221.637	321.058
1224.700	320.915
1227.778	320.735
1230.842	320.536
1233.864	320.337
1236.815	320.157
1239.667	320.014
1242.398	319.924
1245.035	319.885
1247.619	319.890
1250.193	319.929
1252.798	319.994
1255.470	320.075
1258.214	320.150
1261.022	320.192
1263.891	320.174
1266.814	320.071
1269.783	319.860
1272.776	319.570
1275.756	319.271
