X,Y
35.964,19.313
36.025,19.279
36.089,19.252
36.157,19.233
36.229,19.220
36.304,19.213
36.382,19.210
36.463,19.212
36.547,19.217
36.633,19.226
36.721,19.237
36.811,19.250
36.903,19.263
36.996,19.278
37.091,19.292
37.187,19.305
37.283,19.316
37.380,19.326
37.478,19.334
37.576,19.340
37.675,19.345
37.776,19.348
37.877,19.350
37.979,19.351
38.082,19.350
38.186,19.349
38.292,19.347
38.398,19.345
38.506,19.342
38.616,19.338
38.727,19.334
38.839,19.330
38.953,19.326
39.069,19.323
39.186,19.319
39.305,19.316
39.426,19.313
39.549,19.311
39.674,19.309
39.800,19.308
39.927,19.308
40.056,19.308
40.185,19.309
40.315,19.310
40.445,19.312
40.575,19.314
40.705,19.317
40.835,19.320
40.964,19.324
41.093,19.328
41.220,19.333
41.346,19.338
41.471,19.344
41.594,19.350
41.715,19.356
41.834,19.363
41.950,19.370
42.064,19.377
42.175,19.385
42.283,19.392
42.388,19.401
42.489,19.409
42.587,19.418
42.682,19.428
42.774,19.439
42.865,19.450
42.953,19.462
43.039,19.476
43.123,19.491
43.206,19.508
43.288,19.526
43.369,19.546
43.450,19.568
43.530,19.592
43.610,19.619
43.690,19.648
43.771,19.679
43.852,19.713
43.934,19.750
44.017,19.790
44.100,19.832
44.184,19.876
44.268,19.923
44.352,19.972
44.436,20.022
44.520,20.075
44.605,20.129
44.689,20.184
44.772,20.241
44.856,20.299
44.939,20.359
45.021,20.419
45.102,20.480
45.182,20.542
45.262,20.605
45.340,20.667
45.418,20.731
45.494,20.794
45.568,20.858
45.641,20.922
45.713,20.986
45.782,21.051
45.850,21.116
45.917,21.182
45.981,21.248
46.043,21.315
46.102,21.382
46.160,21.450
46.215,21.518
46.267,21.587
46.317,21.657
46.364,21.727
46.409,21.798
46.450,21.870
46.489,21.942
46.524,22.015
46.558,22.089
46.588,22.164
46.617,22.239
46.644,22.315
46.668,22.392
46.691,22.470
46.713,22.548
46.733,22.627
46.752,22.706
46.770,22.787
46.787,22.868
46.803,22.949
46.820,23.032
46.835,23.115
46.850,23.198
46.865,23.282
46.877,23.364
46.888,23.447
46.897,23.528
46.903,23.607
46.906,23.685
46.905,23.761
46.901,23.834
46.892,23.904
46.879,23.970
46.860,24.033
46.836,24.092
46.806,24.147
46.771,24.197
46.731,24.243
46.687,24.287
46.641,24.328
46.594,24.367
46.547,24.406
46.500,24.443
46.455,24.481
46.414,24.519
46.376,24.559
46.343,24.601
46.316,24.645
46.294,24.692
46.276,24.740
46.261,24.791
46.248,24.843
46.237,24.898
46.225,24.954
46.213,25.011
46.200,25.069
46.184,25.129
46.165,25.190
46.143,25.252
46.118,25.315
46.090,25.378
46.059,25.442
46.026,25.507
45.991,25.572
45.955,25.637
45.917,25.703
45.878,25.769
45.838,25.835
45.798,25.901
45.757,25.967
45.717,26.033
45.677,26.099
45.637,26.164
45.598,26.228
45.558,26.292
45.518,26.354
45.477,26.415
45.435,26.474
45.393,26.532
45.349,26.587
45.303,26.641
45.256,26.691
45.207,26.739
45.156,26.784
45.102,26.826
45.046,26.864
44.987,26.899
44.926,26.932
44.863,26.962
44.799,26.990
44.732,27.017
44.664,27.042
44.594,27.067
44.523,27.090
44.450,27.114
44.377,27.137
44.303,27.162
44.228,27.186
44.153,27.212
44.077,27.240
44.001,27.268
43.924,27.298
43.847,27.329
43.769,27.360
43.690,27.392
43.611,27.425
43.530,27.457
43.449,27.490
43.366,27.523
43.282,27.555
43.198,27.587
43.111,27.618
43.024,27.649
42.935,27.679
42.845,27.707
42.753,27.735
42.660,27.761
42.566,27.786
42.472,27.811
42.379,27.835
42.287,27.860
42.198,27.886
42.111,27.913
42.028,27.942
41.949,27.972
41.874,28.005
41.806,28.040
41.743,28.079
41.688,28.121
41.640,28.167
41.600,28.217
41.570,28.272
41.547,28.331
41.531,28.393
41.520,28.457
41.513,28.521
41.506,28.585
41.500,28.648
41.491,28.707
41.479,28.763
41.461,28.813
41.437,28.857
41.404,28.893
41.361,28.922
41.309,28.943
41.249,28.958
41.181,28.966
41.107,28.970
41.026,28.969
40.940,28.964
40.850,28.957
40.755,28.947
40.658,28.936
40.558,28.925
40.456,28.913
40.353,28.902
40.251,28.893
40.148,28.886
40.047,28.882
39.947,28.881
39.850,28.883
39.754,28.887
39.660,28.892
39.567,28.898
39.477,28.904
39.389,28.910
39.303,28.914
39.219,28.917
39.138,28.917
39.059,28.915
38.982,28.909
38.907,28.898
38.835,28.883
38.766,28.862
38.699,28.835
38.635,28.801
38.574,28.762
38.515,28.717
38.458,28.666
38.403,28.611
38.350,28.552
38.299,28.489
38.250,28.423
38.202,28.353
38.156,28.281
38.111,28.208
38.067,28.132
38.025,28.056
37.983,27.979
37.942,27.902
37.902,27.826
37.862,27.749
37.823,27.673
37.784,27.596
37.746,27.520
37.709,27.444
37.672,27.367
37.635,27.291
37.599,27.213
37.563,27.136
37.528,27.057
37.493,26.978
37.458,26.899
37.424,26.818
37.390,26.737
37.356,26.654
37.323,26.571
37.289,26.486
37.256,26.400
37.223,26.313
37.190,26.224
37.158,26.135
37.125,26.044
37.093,25.952
37.061,25.859
37.030,25.765
36.998,25.670
36.967,25.574
36.936,25.476
36.905,25.378
36.875,25.278
36.844,25.177
36.814,25.075
36.784,24.972
36.754,24.868
36.725,24.763
36.696,24.657
36.667,24.550
36.638,24.443
36.610,24.335
36.583,24.227
36.557,24.119
36.531,24.011
36.506,23.904
36.482,23.798
36.459,23.693
36.437,23.589
36.416,23.486
36.396,23.385
36.378,23.286
36.362,23.189
36.347,23.094
36.333,23.002
36.321,22.912
36.311,22.825
36.303,22.742
36.297,22.661
36.292,22.584
36.287,22.508
36.283,22.435
36.279,22.364
36.274,22.294
36.268,22.225
36.260,22.157
36.251,22.089
36.239,22.022
36.224,21.954
36.206,21.886
36.184,21.817
36.158,21.747
36.129,21.675
36.096,21.603
36.060,21.529
36.022,21.454
35.983,21.377
35.943,21.300
35.902,21.221
35.862,21.141
35.822,21.059
35.784,20.977
35.748,20.893
35.715,20.808
35.684,20.721
35.658,20.634
35.635,20.545
35.618,20.454
35.606,20.363
35.600,20.271
35.598,20.179
35.602,20.088
35.611,19.998
35.625,19.911
35.644,19.825
35.667,19.743
35.696,19.665
35.729,19.592
35.767,19.523
35.810,19.460
35.857,19.404
35.908,19.354
35.964,19.313
