X,Y
62.172,40.175
62.373,40.048
62.690,39.971
63.084,39.912
63.516,39.837
63.950,39.717
64.379,39.556
64.810,39.373
65.251,39.189
65.708,39.024
66.190,38.899
66.699,38.827
67.231,38.802
67.776,38.809
68.327,38.836
68.873,38.869
69.408,38.896
69.922,38.905
70.413,38.896
70.883,38.880
71.335,38.869
71.769,38.873
72.188,38.905
72.594,38.971
72.992,39.066
73.387,39.184
73.784,39.316
74.187,39.454
74.600,39.592
75.018,39.730
75.438,39.868
75.854,40.006
76.261,40.144
76.656,40.284
77.042,40.425
77.427,40.567
77.820,40.712
78.228,40.859
78.659,41.009
79.109,41.157
79.570,41.299
80.031,41.430
80.485,41.543
80.921,41.634
81.334,41.702
81.726,41.760
82.103,41.825
82.471,41.913
82.833,42.041
83.196,42.213
83.564,42.419
83.942,42.645
84.336,42.877
84.751,43.103
85.186,43.314
85.626,43.520
86.050,43.733
86.438,43.965
86.772,44.230
87.034,44.537
87.224,44.890
87.364,45.279
87.473,45.696
87.571,46.134
87.678,46.583
87.794,47.034
87.900,47.477
87.976,47.902
88.004,48.297
87.963,48.653
87.846,48.964
87.664,49.239
87.430,49.484
87.155,49.706
86.854,49.909
86.541,50.090
86.232,50.245
85.942,50.373
85.678,50.477
85.422,50.573
85.156,50.683
84.861,50.824
84.538,50.991
84.201,51.168
83.859,51.339
83.527,51.485
83.209,51.600
82.896,51.690
82.579,51.764
82.251,51.829
81.908,51.894
81.558,51.968
81.213,52.060
80.882,52.179
80.570,52.327
80.267,52.483
79.961,52.621
79.638,52.716
79.288,52.749
78.926,52.740
78.570,52.719
78.240,52.714
77.950,52.751
77.688,52.817
77.424,52.879
77.129,52.906
76.800,52.886
76.461,52.832
76.138,52.759
75.857,52.681
75.616,52.609
75.385,52.555
75.137,52.528
74.875,52.547
74.636,52.635
74.459,52.817
74.337,53.051
74.219,53.233
74.052,53.264
73.829,53.152
73.571,52.979
73.295,52.826
73.011,52.731
72.711,52.694
72.392,52.713
72.055,52.785
71.744,52.913
71.518,53.099
71.436,53.345
71.497,53.635
71.597,53.924
71.627,54.165
71.498,54.317
71.239,54.379
70.914,54.358
70.574,54.263
70.236,54.112
69.906,53.926
69.588,53.724
69.289,53.525
69.007,53.338
68.736,53.158
68.472,52.981
68.208,52.802
67.940,52.620
67.666,52.437
67.385,52.252
67.095,52.069
66.796,51.888
66.492,51.712
66.184,51.546
65.877,51.391
65.576,51.240
65.292,51.074
65.036,50.871
64.819,50.609
64.642,50.286
64.492,49.924
64.352,49.546
64.210,49.175
64.052,48.832
63.879,48.518
63.700,48.225
63.523,47.941
63.357,47.658
63.204,47.372
63.065,47.086
62.935,46.803
62.815,46.525
62.706,46.245
62.612,45.953
62.537,45.636
62.482,45.288
62.442,44.912
62.411,44.515
62.380,44.107
62.341,43.694
62.294,43.284
62.246,42.883
62.204,42.497
62.176,42.134
62.172,41.800
62.182,41.491
62.188,41.198
62.173,40.913
62.129,40.632
62.106,40.376
62.172,40.175
