X,Y
344.000,120.000
344.840,120.599
345.647,120.794
346.431,120.628
347.202,120.144
347.971,119.386
348.748,118.397
349.543,117.222
350.367,115.903
351.230,114.483
352.142,113.007
353.114,111.518
354.156,110.060
355.279,108.675
356.487,107.392
357.777,106.207
359.142,105.114
360.578,104.107
362.077,103.179
363.636,102.324
365.248,101.534
366.907,100.804
368.608,100.126
370.345,99.495
372.113,98.903
373.905,98.344
375.717,97.812
377.543,97.299
379.376,96.800
381.212,96.308
383.044,95.816
384.867,95.318
386.676,94.806
388.468,94.279
390.245,93.736
392.010,93.179
393.764,92.608
395.510,92.025
397.250,91.431
398.988,90.827
400.724,90.214
402.462,89.593
404.203,88.965
405.951,88.332
407.706,87.694
409.473,87.053
411.253,86.409
413.048,85.764
414.860,85.119
416.693,84.474
418.548,83.832
420.428,83.192
422.334,82.557
424.266,81.925
426.222,81.298
428.199,80.672
430.194,80.050
432.205,79.428
434.229,78.808
436.264,78.188
438.307,77.567
440.356,76.946
442.408,76.323
444.460,75.698
446.511,75.071
448.557,74.439
450.596,73.804
452.626,73.165
454.644,72.520
456.647,71.869
458.632,71.211
460.599,70.547
462.543,69.875
464.462,69.194
466.354,68.505
468.220,67.806
470.060,67.099
471.876,66.384
473.670,65.660
475.444,64.928
477.199,64.189
478.936,63.442
480.658,62.689
482.365,61.928
484.059,61.161
485.742,60.387
487.416,59.608
489.082,58.822
490.741,58.031
492.395,57.235
494.046,56.434
495.696,55.628
497.345,54.817
498.996,54.002
500.649,53.184
502.306,52.362
503.968,51.540
505.634,50.718
507.306,49.899
508.984,49.082
510.670,48.271
512.363,47.465
514.064,46.668
515.774,45.880
517.494,45.102
519.224,44.337
520.964,43.585
522.717,42.849
524.481,42.129
526.259,41.428
528.050,40.746
529.855,40.085
531.676,39.446
533.511,38.832
535.363,38.242
537.229,37.677
539.109,37.136
541.001,36.618
542.906,36.123
544.822,35.650
546.747,35.199
548.682,34.769
550.624,34.360
552.574,33.971
554.530,33.602
556.491,33.252
558.456,32.920
560.424,32.607
562.395,32.312
564.366,32.033
566.339,31.771
568.310,31.525
570.280,31.294
572.248,31.079
574.211,30.878
576.169,30.693
578.118,30.528
580.054,30.385
581.975,30.269
583.877,30.182
585.757,30.127
587.611,30.108
589.437,30.128
591.230,30.190
592.989,30.297
594.709,30.454
596.387,30.662
598.021,30.925
599.607,31.247
601.141,31.631
602.620,32.079
604.042,32.596
605.402,33.184
606.697,33.844
607.921,34.571
609.068,35.361
610.132,36.207
611.107,37.106
611.988,38.053
612.768,39.042
613.442,40.068
614.004,41.127
614.447,42.214
614.767,43.322
614.957,44.449
615.011,45.588
614.929,46.736
614.717,47.888
614.380,49.041
613.923,50.191
613.351,51.334
612.670,52.467
611.886,53.586
611.002,54.688
610.026,55.767
608.961,56.822
607.814,57.847
606.590,58.839
605.294,59.795
603.931,60.712
602.507,61.590
601.027,62.433
599.497,63.244
597.921,64.027
596.306,64.786
594.656,65.523
592.978,66.241
591.276,66.946
589.555,67.639
587.822,68.324
586.081,69.005
584.339,69.685
582.599,70.368
580.868,71.056
579.152,71.754
577.454,72.464
575.782,73.190
574.139,73.935
572.531,74.702
570.955,75.489
569.406,76.293
567.880,77.109
566.371,77.935
