X	Y
46.349	42.857
46.367	42.683
46.395	42.509
46.431	42.336
46.475	42.163
46.526	41.991
46.585	41.821
46.651	41.653
46.722	41.486
46.800	41.322
46.882	41.160
46.969	41.001
47.060	40.844
47.153	40.689
47.249	40.537
47.345	40.386
47.442	40.236
47.539	40.088
47.634	39.941
47.727	39.796
47.818	39.651
47.907	39.507
47.996	39.366
48.085	39.226
48.174	39.089
48.266	38.954
48.360	38.822
48.457	38.694
48.559	38.570
48.665	38.449
48.774	38.330
48.886	38.212
48.999	38.095
49.113	37.977
49.228	37.857
49.341	37.735
49.453	37.609
49.563	37.479
49.671	37.346
49.777	37.211
49.883	37.074
49.988	36.938
50.093	36.802
50.198	36.668
50.304	36.538
50.412	36.412
50.521	36.290
50.632	36.173
50.746	36.059
50.863	35.949
50.983	35.841
51.107	35.734
51.235	35.628
51.368	35.523
51.506	35.417
51.649	35.310
51.796	35.203
51.945	35.095
52.096	34.987
52.249	34.879
52.401	34.772
52.553	34.664
52.703	34.557
52.850	34.450
52.994	34.344
53.135	34.239
53.274	34.136
53.412	34.034
53.550	33.936
53.690	33.840
53.830	33.747
53.974	33.659
54.121	33.575
54.273	33.495
54.428	33.419
54.587	33.345
54.749	33.273
54.912	33.201
55.077	33.127
55.242	33.052
55.407	32.974
55.571	32.891
55.734	32.802
55.896	32.709
56.055	32.611
56.214	32.510
56.370	32.407
56.526	32.304
56.680	32.202
56.833	32.101
56.984	32.003
57.134	31.910
57.284	31.822
57.432	31.738
57.579	31.659
57.726	31.584
57.873	31.512
58.019	31.444
58.166	31.377
58.312	31.313
58.459	31.250
58.607	31.188
58.755	31.126
58.903	31.064
59.052	31.001
59.202	30.937
59.351	30.870
59.501	30.801
59.652	30.730
59.802	30.654
59.953	30.576
60.105	30.495
60.259	30.413
60.413	30.332
60.570	30.251
60.728	30.172
60.889	30.096
61.052	30.024
61.219	29.957
61.388	29.894
61.559	29.835
61.731	29.778
61.903	29.722
62.074	29.667
62.245	29.611
62.413	29.553
62.578	29.492
62.740	29.427
62.897	29.358
63.052	29.286
63.204	29.211
63.354	29.136
63.504	29.060
63.654	28.986
63.805	28.915
63.957	28.847
64.113	28.784
64.271	28.726
64.431	28.673
64.594	28.624
64.757	28.579
64.921	28.537
65.085	28.498
65.249	28.462
65.412	28.426
65.573	28.392
65.733	28.359
65.891	28.328
66.049	28.297
66.207	28.269
66.365	28.242
66.524	28.216
66.684	28.193
66.846	28.172
67.010	28.153
67.176	28.137
67.344	28.123
67.513	28.112
67.684	28.103
67.855	28.097
68.027	28.094
68.200	28.093
68.374	28.096
68.547	28.102
68.719	28.112
68.888	28.128
69.054	28.149
69.214	28.178
69.368	28.215
69.514	28.262
69.651	28.318
69.778	28.386
69.895	28.464
70.005	28.553
70.107	28.652
70.205	28.761
70.300	28.879
70.392	29.005
70.484	29.139
70.577	29.281
70.668	29.429
70.757	29.583
70.840	29.741
70.916	29.902
70.984	30.066
71.040	30.231
71.083	30.397
71.112	30.562
71.125	30.725
71.123	30.887
71.110	31.048
71.088	31.208
71.060	31.367
71.029	31.525
70.996	31.683
70.964	31.841
70.936	32.000
70.913	32.158
70.893	32.316
70.875	32.474
70.859	32.630
70.843	32.784
70.825	32.937
70.806	33.087
70.784	33.235
70.758	33.380
70.728	33.523
70.694	33.664
70.654	33.805
70.608	33.946
70.557	34.088
70.499	34.232
70.435	34.378
70.365	34.526
70.294	34.675
70.224	34.827
70.158	34.979
70.099	35.131
70.051	35.283
70.016	35.435
69.998	35.585
69.997	35.735
70.007	35.882
70.023	36.029
70.039	36.175
70.047	36.319
70.042	36.463
70.018	36.605
69.969	36.747
69.896	36.888
69.806	37.027
69.708	37.166
69.610	37.302
69.518	37.437
69.440	37.569
69.385	37.698
69.359	37.825
69.365	37.950
69.394	38.073
69.438	38.197
69.490	38.322
69.543	38.450
69.587	38.582
69.615	38.719
69.624	38.862
69.616	39.009
69.593	39.159
69.558	39.312
69.512	39.465
