X	Y
47.302	44.127
47.402	44.035
47.508	43.951
47.620	43.874
47.737	43.801
47.861	43.731
47.990	43.663
48.125	43.596
48.264	43.527
48.410	43.458
48.560	43.387
48.715	43.316
48.876	43.245
49.042	43.175
49.212	43.106
49.388	43.039
49.568	42.975
49.754	42.913
49.944	42.855
50.138	42.801
50.337	42.751
50.538	42.705
50.743	42.664
50.951	42.628
51.160	42.598
51.372	42.573
51.585	42.555
51.799	42.543
52.014	42.538
52.229	42.540
52.443	42.548
52.657	42.561
52.868	42.580
53.078	42.603
53.284	42.630
53.487	42.661
53.686	42.694
53.880	42.729
54.069	42.766
54.253	42.804
54.431	42.843
54.605	42.883
54.777	42.924
54.948	42.965
55.119	43.007
55.292	43.051
55.468	43.094
55.648	43.139
55.835	43.185
56.027	43.231
56.225	43.278
56.427	43.327
56.633	43.379
56.840	43.432
57.048	43.489
57.255	43.548
57.461	43.611
57.664	43.678
57.863	43.750
58.057	43.826
58.245	43.908
58.428	43.993
58.606	44.082
58.779	44.175
58.949	44.270
59.116	44.367
59.280	44.465
59.443	44.565
59.603	44.664
59.763	44.763
59.923	44.861
60.082	44.958
60.241	45.055
60.398	45.152
60.555	45.249
60.711	45.347
60.866	45.445
61.019	45.545
61.171	45.647
61.321	45.750
61.470	45.855
61.617	45.962
61.763	46.068
61.908	46.174
62.052	46.279
62.196	46.382
62.339	46.482
62.482	46.579
62.625	46.671
62.769	46.758
62.911	46.842
63.052	46.924
63.190	47.005
63.325	47.087
63.455	47.172
63.580	47.260
63.699	47.354
63.811	47.455
63.916	47.562
64.016	47.675
64.112	47.793
64.207	47.914
64.300	48.038
64.395	48.164
64.491	48.291
64.591	48.418
64.695	48.545
64.801	48.671
64.910	48.798
65.020	48.924
65.132	49.051
65.244	49.178
65.356	49.306
65.467	49.433
65.576	49.562
65.684	49.692
65.790	49.823
65.893	49.955
65.993	50.089
66.090	50.226
66.184	50.365
66.274	50.507
66.359	50.653
66.441	50.802
66.518	50.954
66.590	51.109
66.657	51.266
66.718	51.427
66.775	51.590
66.826	51.755
66.871	51.922
66.911	52.091
66.944	52.261
66.972	52.434
66.993	52.607
67.008	52.783
67.017	52.961
67.019	53.141
67.015	53.323
67.005	53.508
66.988	53.695
66.965	53.884
66.935	54.076
66.900	54.267
66.859	54.459
66.813	54.648
66.762	54.835
66.706	55.019
66.647	55.197
66.583	55.370
66.517	55.535
66.447	55.693
66.375	55.844
66.301	55.990
66.226	56.133
66.150	56.275
66.074	56.418
66.000	56.562
65.927	56.710
65.855	56.865
65.787	57.026
65.721	57.192
65.657	57.362
65.596	57.535
65.537	57.709
65.480	57.883
65.426	58.056
65.374	58.225
65.324	58.391
65.276	58.551
65.228	58.705
65.178	58.851
65.125	58.991
65.065	59.122
64.996	59.244
64.918	59.357
64.827	59.459
64.722	59.552
64.606	59.635
64.481	59.712
64.350	59.782
64.216	59.848
64.081	59.911
63.947	59.972
63.818	60.034
63.694	60.098
63.576	60.164
63.462	60.236
63.354	60.314
63.250	60.400
63.150	60.496
63.055	60.603
62.963	60.722
62.875	60.849
62.789	60.984
62.705	61.123
62.622	61.264
62.539	61.406
62.456	61.546
62.371	61.682
62.286	61.811
62.199	61.934
62.111	62.051
62.024	62.160
61.936	62.263
61.848	62.358
61.762	62.445
61.676	62.525
61.591	62.598
61.503	62.665
61.411	62.729
61.314	62.789
61.209	62.848
61.094	62.906
60.970	62.964
60.840	63.023
60.704	63.084
60.565	63.145
60.424	63.208
60.282	63.274
60.142	63.342
60.004	63.413
59.870	63.487
59.740	63.564
59.614	63.645
59.494	63.729
59.379	63.817
59.270	63.909
59.169	64.005
59.073	64.105
58.981	64.206
58.889	64.308
58.796	64.409
58.698	64.508
58.594	64.602
58.479	64.692
58.354	64.774
58.218	64.849
58.074	64.915
57.924	64.971
57.770	65.017
57.614	65.050
57.457	65.072
57.302	65.079
57.149	65.073
57.000	65.055
56.852	65.027
56.704	64.993
56.557	64.955
56.409	64.915
56.260	64.876
56.107	64.840
55.952	64.811
55.794	64.785
55.634	64.762
55.473	64.740
55.311	64.716
55.150	64.690
54.990	64.659
54.832	64.622
54.676	64.577
54.523	64.524
54.372	64.464
54.223	64.399
54.075	64.330
53.928	64.258
53.781	64.186
53.635	64.115
53.487	64.045
53.339	63.979
53.191	63.914
53.044	63.851
52.901	63.786
52.762	63.720
52.628	63.650
52.502	63.575
52.384	63.495
52.276	63.407
52.175	63.312
52.080	63.211
51.989	63.105
51.899	62.994
51.809	62.879
51.716	62.760
51.618	62.639
51.515	62.515
51.409	62.390
51.301	62.265
51.192	62.140
51.085	62.016
50.981	61.894
50.881	61.774
50.787	61.658
50.700	61.545
50.618	61.435
50.541	61.327
50.467	61.218
50.393	61.108
50.318	60.995
50.242	60.878
50.161	60.756
50.077	60.630
49.991	60.501
49.902	60.370
49.812	60.240
49.720	60.110
49.629	59.983
49.538	59.860
49.447	59.741
49.358	59.627
49.271	59.515
49.185	59.403
49.102	59.290
49.020	59.174
48.941	59.053
48.864	58.925
48.790	58.790
48.718	58.650
48.649	58.505
48.582	58.357
48.517	58.209
48.454	58.061
48.392	57.915
48.331	57.773
48.272	57.636
48.214	57.503
48.158	57.373
48.103	57.246
48.051	57.120
48.000	56.993
47.951	56.866
47.905	56.737
47.861	56.606
47.818	56.474
47.776	56.341
47.734	56.209
47.690	56.077
47.645	55.946
47.598	55.818
47.549	55.691
47.497	55.567
47.442	55.444
47.385	55.322
47.326	55.200
47.264	55.079
47.200	54.958
47.134	54.837
47.067	54.715
46.999	54.593
46.932	54.472
46.865	54.351
46.801	54.231
46.738	54.112
46.678	53.993
46.620	53.874
46.562	53.753
46.501	53.629
46.438	53.500
46.370	53.366
46.297	53.224
46.215	53.075
46.128	52.918
46.037	52.754
45.946	52.586
45.858	52.415
45.774	52.243
45.699	52.070
45.635	51.899
45.586	51.732
45.553	51.569
45.538	51.412
45.539	51.261
45.550	51.113
45.569	50.969
45.591	50.828
45.612	50.688
45.629	50.549
45.638	50.410
45.637	50.271
45.632	50.132
45.624	49.994
45.618	49.859
45.617	49.726
45.625	49.597
45.645	49.473
45.677	49.353
45.720	49.236
45.771	49.120
45.826	49.004
45.882	48.886
45.938	48.765
45.989	48.639
46.037	48.509
46.082	48.376
46.124	48.241
46.165	48.107
46.206	47.974
46.247	47.845
46.290	47.720
46.334	47.599
46.378	47.481
46.419	47.363
46.455	47.245
46.485	47.124
46.506	46.999
46.518	46.868
46.521	46.732
46.519	46.592
46.514	46.449
46.508	46.305
46.505	46.161
46.505	46.018
46.513	45.878
46.529	45.741
46.552	45.606
46.582	45.474
46.619	45.342
46.663	45.212
46.712	45.083
46.766	44.953
46.826	44.824
46.891	44.697
46.962	44.572
47.038	44.451
47.120	44.336
47.208	44.227
47.302	44.127
