X	Y
349.000	178.000
349.407	176.253
350.454	174.557
351.982	172.918
353.834	171.339
355.852	169.823
357.880	168.374
359.847	166.988
361.777	165.653
363.701	164.356
365.650	163.082
367.654	161.820
369.745	160.556
371.930	159.287
374.186	158.024
376.489	156.779
378.813	155.565
381.131	154.394
383.418	153.278
385.650	152.226
387.817	151.224
389.915	150.243
391.941	149.256
393.892	148.233
395.764	147.146
397.560	145.973
399.317	144.714
401.081	143.381
402.903	141.987
404.830	140.543
406.912	139.061
409.183	137.552
411.630	136.024
414.219	134.485
416.920	132.942
419.701	131.403
422.532	129.877
425.380	128.369
428.216	126.888
431.014	125.437
433.780	124.003
436.520	122.571
439.244	121.126
441.960	119.653
444.677	118.136
447.402	116.561
450.144	114.911
452.909	113.180
455.688	111.385
458.471	109.549
461.248	107.695
464.009	105.846
466.744	104.027
469.442	102.259
472.093	100.565
474.689	98.969
477.230	97.467
479.729	96.043
482.194	94.681
484.635	93.364
487.065	92.074
489.492	90.795
491.926	89.511
494.375	88.215
496.841	86.918
499.325	85.630
501.831	84.363
504.359	83.126
506.911	81.931
509.490	80.788
512.092	79.703
514.704	78.667
517.309	77.669
519.892	76.700
522.436	75.750
524.926	74.807
527.346	73.862
529.686	72.914
531.948	71.982
534.137	71.091
536.259	70.266
538.320	69.530
540.323	68.907
542.279	68.407
544.211	68.000
546.140	67.651
548.092	67.324
550.090	66.984
552.150	66.607
554.264	66.209
556.419	65.816
558.602	65.450
560.799	65.139
562.996	64.905
565.186	64.760
567.363	64.700
569.526	64.720
571.670	64.815
573.792	64.980
575.891	65.210
577.983	65.501
580.091	65.846
582.235	66.239
584.437	66.676
586.718	67.151
589.075	67.655
591.468	68.174
593.851	68.692
596.180	69.196
598.410	69.671
600.496	70.101
602.417	70.489
604.196	70.874
605.863	71.295
607.448	71.795
608.971	72.411
610.348	73.162
611.417	74.045
612.019	75.063
612.051	76.183
611.605	77.269
610.813	78.163
609.819	78.813
608.781	79.402
607.864	80.141
607.214	81.140
606.931	82.258
607.111	83.316
607.713	84.256
608.486	85.209
609.156	86.326
609.574	87.664
609.808	89.110
609.953	90.533
610.092	91.810
610.170	92.915
610.039	93.886
609.583	94.774
608.892	95.694
608.125	96.788
607.431	98.170
606.857	99.784
606.411	101.505
606.101	103.206
605.933	104.767
605.889	106.172
605.925	107.515
605.994	108.889
606.057	110.370
606.090	111.925
606.076	113.489
606.000	114.994
605.842	116.384
605.568	117.637
605.140	118.740
604.530	119.682
603.778	120.447
602.963	121.022
602.236	121.469
602.017	122.117
602.534	123.192
603.357	124.488
603.950	125.730
603.858	126.682
603.314	127.456
602.905	128.343
602.881	129.485
602.999	130.805
602.977	132.208
602.636	133.615
602.061	134.988
601.384	136.294
600.730	137.502
600.126	138.584
599.472	139.513
598.667	140.269
597.696	140.893
596.662	141.519
595.676	142.284
594.779	143.216
593.900	144.181
592.961	145.029
591.965	145.691
591.202	146.388
591.023	147.397
591.446	148.789
591.983	150.310
592.109	151.684
591.356	152.659
589.852	153.249
588.049	153.610
586.404	153.900
585.343	154.275
584.990	154.845
585.248	155.680
585.750	156.738
586.004	157.922
585.617	159.125
584.690	160.172
583.470	160.870
582.199	161.055
581.042	160.930
580.108	160.957
579.485	161.517
579.123	162.459
578.923	163.435
578.873	164.309
579.058	165.172
579.468	166.117
579.869	167.196
579.999	168.458
579.742	169.900
579.204	171.438
578.507	172.982
577.773	174.444
577.062	175.786
576.326	177.053
575.510	178.297
574.559	179.569
573.442	180.858
572.155	182.080
570.696	183.148
569.063	183.975
567.301	184.519
565.659	184.935
564.446	185.436
563.966	186.232
564.251	187.396
564.788	188.726
565.002	189.987
564.450	190.980
563.254	191.649
561.679	191.972
559.978	191.937
558.260	191.642
556.516	191.267
554.736	190.995
552.911	191.010
551.041	191.434
549.164	192.180
547.329	193.114
545.583	194.103
543.973	195.015
542.527	195.746
541.195	196.310
539.910	196.747
538.605	197.098
537.226	197.392
535.745	197.643
534.136	197.865
532.373	198.069
530.442	198.263
528.349	198.447
526.101	198.621
523.705	198.784
521.167	198.936
518.496	199.077
515.707	199.208
512.826	199.333
509.876	199.456
506.884	199.581
503.873	199.712
500.869	199.852
497.896	200.006
494.973	200.174
492.091	200.349
489.241	200.522
486.409	200.682
483.583	200.820
480.751	200.926
477.901	200.990
475.024	201.004
472.129	200.978
469.240	200.931
466.381	200.883
463.576	200.855
460.849	200.867
458.224	200.938
455.722	201.089
453.345	201.322
451.069	201.628
448.872	201.994
446.730	202.409
444.621	202.861
442.523	203.337
440.433	203.812
438.360	204.252
436.313	204.624
434.298	204.894
432.325	205.030
430.387	205.036
428.456	204.975
426.504	204.914
424.500	204.918
422.415	205.054
420.240	205.346
418.001	205.738
415.726	206.168
413.447	206.573
411.191	206.889
408.989	207.055
406.850	207.053
404.766	206.911
402.725	206.658
400.717	206.327
398.731	205.947
396.751	205.545
394.739	205.143
392.656	204.757
390.465	204.407
388.124	204.112
385.599	203.887
382.905	203.719
380.105	203.568
377.263	203.391
374.442	203.148
371.707	202.796
369.123	202.294
366.751	201.601
364.626	200.710
362.756	199.642
361.147	198.419
359.807	197.064
358.742	195.598
357.913	194.041
357.197	192.405
356.461	190.702
355.573	188.944
354.407	187.142
352.993	185.310
351.535	183.465
350.244	181.621
349.328	179.794
349.000	178.000
