X,Y
276.333,120.667
277.314,119.899
278.505,119.516
279.844,119.409
281.273,119.471
282.731,119.592
284.158,119.666
285.504,119.599
286.773,119.389
287.990,119.065
289.179,118.656
290.366,118.192
291.574,117.704
292.826,117.214
294.118,116.722
295.445,116.217
296.799,115.688
298.171,115.127
299.555,114.523
300.943,113.864
302.329,113.151
303.712,112.398
305.093,111.626
306.470,110.851
307.844,110.094
309.213,109.374
310.578,108.707
311.942,108.109
313.328,107.559
314.765,107.030
316.282,106.494
317.906,105.924
319.668,105.291
321.596,104.567
323.719,103.725
326.064,102.738
328.632,101.604
331.402,100.336
334.355,98.951
337.469,97.465
340.724,95.892
344.098,94.250
347.572,92.552
351.124,90.817
354.734,89.058
358.381,87.291
362.045,85.533
365.704,83.799
369.338,82.104
372.926,80.464
376.448,78.896
379.882,77.414
383.209,76.035
386.423,74.762
389.534,73.590
392.553,72.513
395.491,71.524
398.359,70.616
401.167,69.783
403.927,69.018
406.650,68.315
409.347,67.667
412.027,67.067
414.704,66.510
417.386,65.987
420.086,65.494
422.813,65.023
425.566,64.575
428.335,64.155
431.112,63.765
433.888,63.410
436.653,63.095
439.399,62.824
442.116,62.601
444.795,62.429
447.428,62.314
450.005,62.259
452.516,62.268
454.954,62.346
457.313,62.496
459.596,62.713
461.811,62.994
463.964,63.335
466.062,63.733
468.110,64.182
470.116,64.680
472.085,65.222
474.025,65.805
475.941,66.424
477.830,67.078
479.661,67.770
481.401,68.504
483.014,69.285
484.468,70.116
485.726,71.003
486.755,71.949
487.521,72.959
488.013,74.037
488.260,75.190
488.297,76.424
488.157,77.745
487.875,79.160
487.485,80.674
487.001,82.285
486.418,83.984
485.728,85.757
484.924,87.594
483.999,89.483
482.945,91.413
481.754,93.371
480.421,95.347
478.936,97.329
477.296,99.305
475.518,101.267
473.627,103.206
471.649,105.115
469.610,106.986
467.535,108.810
465.449,110.579
463.379,112.286
461.350,113.922
459.388,115.479
457.518,116.950
455.766,118.326
454.154,119.600
452.682,120.777
451.335,121.864
450.098,122.873
448.959,123.811
447.901,124.689
446.911,125.516
445.975,126.300
445.076,127.033
444.198,127.678
443.323,128.200
442.435,128.561
441.516,128.730
440.565,128.759
439.596,128.779
438.624,128.926
437.663,129.336
436.722,130.111
435.795,131.231
434.869,132.643
433.933,134.294
432.976,136.131
431.984,138.102
430.947,140.154
429.853,142.236
428.691,144.293
427.451,146.281
426.143,148.181
424.779,149.983
423.372,151.677
421.934,153.254
420.479,154.702
419.018,156.011
417.565,157.172
416.131,158.174
414.730,159.007
413.362,159.669
412.012,160.167
410.666,160.510
409.309,160.705
407.927,160.760
406.504,160.684
405.027,160.486
403.490,160.188
401.888,159.816
400.217,159.398
398.474,158.958
396.653,158.523
394.752,158.121
392.766,157.776
390.691,157.513
388.533,157.338
386.301,157.239
384.007,157.207
381.660,157.231
379.272,157.300
376.852,157.404
374.412,157.533
371.962,157.675
369.513,157.821
367.075,157.960
364.658,158.083
362.265,158.189
359.897,158.284
357.551,158.374
355.229,158.464
352.928,158.560
350.648,158.667
348.390,158.792
346.151,158.940
343.932,159.116
341.731,159.327
339.553,159.572
337.420,159.831
335.359,160.076
333.398,160.281
331.565,160.416
329.886,160.456
328.391,160.372
327.105,160.138
326.053,159.731
325.201,159.202
324.472,158.655
323.787,158.198
323.069,157.935
322.266,157.897
321.358,158.006
320.333,158.176
319.176,158.320
317.878,158.362
316.468,158.290
314.987,158.115
313.478,157.849
311.984,157.503
310.545,157.088
309.205,156.617
307.988,156.104
306.871,155.575
305.819,155.055
304.800,154.573
303.779,154.154
302.724,153.823
301.614,153.575
300.434,153.380
299.173,153.205
297.818,153.019
296.358,152.791
294.780,152.489
293.096,152.087
291.336,151.562
289.533,150.894
287.717,150.059
285.919,149.036
284.171,147.803
282.505,146.338
280.950,144.620
279.540,142.626
278.296,140.372
277.231,137.929
276.354,135.373
275.675,132.779
275.204,130.223
274.953,127.781
274.929,125.529
275.145,123.542
275.610,121.896
276.333,120.667
