X,Y
280.333,142.667
281.370,142.540
282.529,143.138
283.817,144.258
285.236,145.698
286.794,147.255
288.493,148.729
290.333,149.993
292.296,151.061
294.368,151.961
296.530,152.719
298.767,153.363
301.062,153.919
303.398,154.415
305.758,154.877
308.131,155.320
310.508,155.742
312.881,156.141
315.243,156.517
317.586,156.867
319.901,157.191
322.182,157.487
324.420,157.754
326.616,157.991
328.782,158.201
330.932,158.389
333.080,158.558
335.239,158.710
337.422,158.850
339.644,158.980
341.913,159.103
344.212,159.210
346.511,159.291
348.780,159.335
350.991,159.330
353.114,159.266
355.119,159.130
356.979,158.913
358.687,158.635
360.277,158.367
361.781,158.179
363.234,158.144
364.670,158.334
366.115,158.800
367.570,159.505
369.025,160.394
370.474,161.407
371.908,162.489
373.321,163.581
374.714,164.655
376.115,165.738
377.552,166.864
379.056,168.067
380.656,169.381
382.380,170.840
384.254,172.477
386.206,174.245
388.061,176.024
389.639,177.685
390.761,179.103
391.246,180.150
390.916,180.700
389.733,180.711
388.068,180.382
386.363,179.954
385.061,179.670
384.596,179.768
385.080,180.337
386.231,181.285
387.743,182.510
389.312,183.909
390.633,185.379
391.536,186.854
392.106,188.330
392.458,189.812
392.705,191.306
392.963,192.816
393.319,194.344
393.716,195.868
394.045,197.360
394.195,198.790
394.056,200.130
393.537,201.358
392.663,202.502
391.508,203.610
390.145,204.732
388.649,205.915
387.093,207.208
385.530,208.624
383.967,210.091
382.400,211.519
380.825,212.822
379.242,213.913
377.645,214.703
376.035,215.109
374.443,215.164
372.946,215.063
371.627,215.010
370.567,215.209
369.828,215.838
369.304,216.839
368.794,218.021
368.096,219.193
367.017,220.171
365.519,220.891
363.699,221.401
361.658,221.749
359.499,221.984
357.321,222.156
355.228,222.314
353.304,222.498
351.542,222.695
349.903,222.872
348.348,222.999
346.837,223.043
345.332,222.973
343.795,222.787
342.198,222.546
340.512,222.317
338.708,222.168
336.757,222.169
334.632,222.388
332.319,222.855
329.844,223.511
327.240,224.286
324.537,225.106
321.768,225.900
318.965,226.595
316.158,227.118
313.381,227.398
310.665,227.363
308.039,226.954
305.518,226.195
303.111,225.139
300.828,223.838
298.678,222.346
296.670,220.716
294.814,219.001
293.119,217.253
291.594,215.525
290.236,213.843
289.014,212.181
287.900,210.509
286.861,208.795
285.867,207.011
284.887,205.124
283.889,203.105
282.856,200.941
281.805,198.664
280.759,196.319
279.743,193.949
278.780,191.596
277.895,189.303
277.112,187.115
276.454,185.073
275.942,183.210
275.572,181.469
275.330,179.752
275.199,177.963
275.165,176.004
275.211,173.777
275.324,171.186
275.490,168.166
275.712,164.808
275.997,161.253
276.352,157.642
276.784,154.116
277.299,150.814
277.904,147.878
278.607,145.448
279.415,143.664
280.333,142.667
