X,Y
1.737,1.302
1.741,1.299
1.745,1.299
1.750,1.299
1.755,1.299
1.759,1.298
1.764,1.297
1.769,1.294
1.775,1.292
1.782,1.289
1.788,1.286
1.795,1.284
1.802,1.281
1.809,1.279
1.816,1.277
1.822,1.276
1.828,1.275
1.833,1.274
1.839,1.273
1.845,1.272
1.851,1.271
1.857,1.269
1.863,1.268
1.868,1.267
1.874,1.267
1.879,1.266
1.884,1.265
1.890,1.263
1.896,1.261
1.902,1.258
1.908,1.254
1.914,1.252
1.921,1.249
1.926,1.249
1.932,1.249
1.936,1.249
1.940,1.248
1.942,1.245
1.944,1.242
1.946,1.240
1.949,1.240
1.953,1.241
1.957,1.241
1.962,1.241
1.966,1.240
1.971,1.239
1.977,1.237
1.982,1.236
1.988,1.235
1.994,1.234
1.998,1.231
2.001,1.228
2.004,1.224
2.007,1.221
2.011,1.220
2.016,1.221
2.021,1.223
2.027,1.224
2.032,1.225
2.038,1.223
2.043,1.221
2.050,1.218
2.056,1.215
2.064,1.213
2.073,1.212
2.082,1.212
2.091,1.212
2.100,1.212
2.108,1.212
2.115,1.212
2.120,1.211
2.125,1.209
2.129,1.207
2.133,1.205
2.139,1.204
2.146,1.204
2.153,1.204
2.161,1.205
2.169,1.205
2.177,1.205
2.183,1.204
2.190,1.204
2.196,1.202
2.203,1.201
2.210,1.200
2.217,1.198
2.225,1.197
2.233,1.196
2.242,1.196
2.250,1.195
2.259,1.194
2.267,1.194
2.275,1.194
2.283,1.194
2.290,1.194
2.297,1.195
2.304,1.196
2.310,1.197
2.316,1.198
2.322,1.200
2.328,1.202
2.333,1.204
2.338,1.207
2.344,1.209
2.349,1.211
2.355,1.213
2.361,1.214
2.366,1.214
2.372,1.214
2.378,1.215
2.382,1.216
2.386,1.218
2.389,1.222
2.391,1.227
2.394,1.233
2.398,1.240
2.403,1.248
2.408,1.254
2.412,1.259
2.415,1.262
2.416,1.261
2.416,1.262
2.418,1.266
2.420,1.273
2.421,1.282
2.421,1.291
2.417,1.298
2.410,1.302
2.400,1.305
2.390,1.305
2.381,1.305
2.374,1.305
2.371,1.305
2.373,1.306
2.379,1.309
2.387,1.312
2.397,1.317
2.406,1.321
2.412,1.327
2.416,1.333
2.417,1.338
2.415,1.344
2.412,1.350
2.409,1.356
2.405,1.362
2.402,1.367
2.399,1.372
2.395,1.377
2.391,1.382
2.387,1.386
2.382,1.389
2.378,1.393
2.374,1.397
2.371,1.401
2.368,1.405
2.367,1.410
2.365,1.415
2.363,1.420
2.360,1.425
2.357,1.429
2.354,1.433
2.350,1.437
2.347,1.439
2.343,1.441
2.338,1.442
2.332,1.442
2.326,1.442
2.319,1.442
2.313,1.441
2.306,1.441
2.301,1.441
2.295,1.441
2.290,1.441
2.285,1.441
2.279,1.440
2.273,1.438
2.267,1.436
2.261,1.433
2.256,1.430
2.252,1.427
2.249,1.424
2.246,1.421
2.241,1.420
2.235,1.419
2.228,1.419
2.220,1.419
2.213,1.420
2.205,1.421
2.199,1.421
2.193,1.421
2.187,1.421
2.182,1.421
2.176,1.421
2.170,1.421
2.164,1.421
2.158,1.421
2.152,1.421
2.146,1.421
2.141,1.421
2.136,1.421
2.131,1.421
2.124,1.421
2.116,1.421
2.107,1.421
2.097,1.421
2.086,1.421
2.075,1.421
2.064,1.421
2.054,1.421
2.045,1.421
2.036,1.421
2.029,1.421
2.021,1.421
2.015,1.421
2.008,1.421
2.001,1.421
1.993,1.421
1.986,1.420
1.978,1.419
1.970,1.419
1.962,1.418
1.954,1.418
1.946,1.417
1.939,1.417
1.931,1.416
1.923,1.415
1.915,1.414
1.907,1.413
1.899,1.412
1.890,1.410
1.882,1.408
1.874,1.407
1.866,1.405
1.859,1.403
1.852,1.401
1.846,1.400
1.840,1.399
1.834,1.398
1.827,1.397
1.818,1.395
1.809,1.394
1.798,1.392
1.787,1.390
1.776,1.387
1.765,1.383
1.755,1.377
1.746,1.371
1.739,1.363
1.734,1.354
1.731,1.344
1.730,1.333
1.730,1.323
1.731,1.314
1.734,1.307
1.737,1.302
