X	Y
267.000	121.500
268.088	119.758
269.412	118.093
270.916	116.509
272.543	115.010
274.237	113.600
275.944	112.281
277.647	111.041
279.364	109.853
281.113	108.689
282.911	107.521
284.776	106.323
286.718	105.080
288.726	103.810
290.785	102.537
292.881	101.284
294.999	100.076
297.125	98.935
299.250	97.875
301.390	96.871
303.565	95.888
305.794	94.894
308.098	93.856
310.497	92.740
313.005	91.519
315.606	90.205
318.266	88.829
320.953	87.422
323.633	86.015
326.274	84.640
328.843	83.326
331.308	82.105
333.663	80.987
335.948	79.950
338.204	78.968
340.473	78.018
342.798	77.073
345.220	76.110
347.776	75.107
350.462	74.060
353.261	72.973
356.158	71.849
359.135	70.691
362.178	69.501
365.269	68.285
368.392	67.043
371.530	65.781
374.662	64.508
377.766	63.233
380.819	61.966
383.800	60.717
386.686	59.497
389.456	58.314
392.086	57.180
394.561	56.101
396.895	55.073
399.117	54.087
401.257	53.130
403.342	52.194
405.403	51.268
407.465	50.344
409.533	49.434
411.601	48.564
413.659	47.759
415.700	47.043
417.716	46.441
419.705	45.974
421.676	45.645
423.642	45.457
425.615	45.411
427.609	45.509
429.618	45.758
431.574	46.185
433.397	46.820
435.005	47.693
436.319	48.834
437.308	50.238
438.030	51.831
438.556	53.537
438.954	55.274
439.286	56.978
439.564	58.655
439.785	60.343
439.944	62.076
440.036	63.890
440.069	65.780
440.061	67.703
440.034	69.614
440.006	71.466
439.995	73.220
440.000	74.901
440.010	76.572
440.010	78.296
439.990	80.134
439.929	82.090
439.799	84.077
439.571	86.001
439.215	87.766
438.708	89.284
438.132	90.586
437.668	91.808
437.502	93.091
437.736	94.531
438.210	96.076
438.708	97.643
439.017	99.150
438.994	100.556
438.717	101.944
438.299	103.418
437.856	105.082
437.461	106.965
437.122	108.988
436.841	111.059
436.621	113.088
436.465	114.984
436.339	116.683
436.146	118.172
435.782	119.443
435.147	120.493
434.261	121.383
433.265	122.247
432.307	123.222
431.460	124.383
430.642	125.674
429.751	127.024
428.686	128.360
427.406	129.637
425.982	130.850
424.497	132.004
423.031	133.100
421.662	134.141
420.371	135.109
419.072	135.978
417.679	136.718
416.108	137.303
414.380	137.759
412.602	138.156
410.886	138.566
409.341	139.061
408.017	139.680
406.783	140.373
405.478	141.071
403.939	141.706
402.103	142.241
400.048	142.680
397.864	143.030
395.643	143.302
393.476	143.502
391.431	143.642
389.486	143.740
387.597	143.820
385.722	143.904
383.818	144.012
381.856	144.160
379.856	144.343
377.848	144.552
375.861	144.777
373.922	145.009
372.049	145.240
370.210	145.464
368.368	145.675
366.481	145.869
364.510	146.039
362.443	146.190
360.321	146.339
358.192	146.507
356.104	146.715
354.105	146.983
352.226	147.326
350.422	147.728
348.625	148.164
346.768	148.611
344.783	149.044
342.635	149.447
340.389	149.822
338.124	150.176
335.923	150.516
333.866	150.849
332.028	151.182
330.377	151.518
328.782	151.857
327.109	152.200
325.226	152.548
323.056	152.898
320.680	153.248
318.203	153.592
315.729	153.925
313.364	154.243
311.212	154.541
309.328	154.814
307.633	155.061
306.026	155.277
304.407	155.461
302.689	155.605
300.898	155.667
299.122	155.586
297.444	155.301
295.949	154.754
294.649	153.938
293.460	152.922
292.291	151.776
291.049	150.574
289.695	149.375
288.262	148.218
286.788	147.142
285.311	146.185
283.866	145.374
282.463	144.660
281.097	143.956
279.766	143.175
278.468	142.250
277.223	141.246
276.060	140.289
275.009	139.506
274.071	138.985
273.139	138.657
272.080	138.410
270.862	138.125
269.598	137.674
268.410	136.926
267.397	135.796
266.579	134.347
265.963	132.667
265.553	130.845
265.356	128.965
265.386	127.068
265.659	125.176
266.192	123.313
267.000	121.500
