X	Y
40.270	16.835
40.267	16.745
40.281	16.657
40.308	16.570
40.346	16.485
40.393	16.401
40.447	16.317
40.505	16.234
40.565	16.152
40.626	16.070
40.684	15.988
40.741	15.906
40.796	15.824
40.851	15.742
40.905	15.660
40.959	15.579
41.014	15.499
41.071	15.419
41.129	15.340
41.189	15.263
41.252	15.185
41.317	15.109
41.383	15.032
41.450	14.956
41.518	14.879
41.585	14.801
41.652	14.723
41.719	14.643
41.783	14.561
41.846	14.477
41.908	14.392
41.968	14.304
42.028	14.216
42.088	14.126
42.148	14.035
42.209	13.944
42.271	13.852
42.335	13.760
42.401	13.668
42.470	13.576
42.543	13.485
42.618	13.394
42.696	13.303
42.777	13.213
42.860	13.123
42.945	13.034
43.032	12.944
43.121	12.855
43.212	12.767
43.304	12.678
43.398	12.590
43.493	12.502
43.588	12.414
43.685	12.326
43.781	12.239
43.878	12.152
43.975	12.065
44.072	11.978
44.168	11.892
44.264	11.807
44.359	11.722
44.452	11.637
44.544	11.554
44.635	11.470
44.723	11.388
44.811	11.305
44.897	11.224
44.981	11.144
45.066	11.064
45.149	10.985
45.233	10.907
45.316	10.829
45.400	10.753
45.485	10.678
45.570	10.603
45.657	10.530
45.744	10.457
45.833	10.386
45.923	10.315
46.013	10.245
46.104	10.176
46.196	10.107
46.289	10.039
46.382	9.971
46.476	9.904
46.570	9.838
46.664	9.771
46.759	9.705
46.855	9.639
46.950	9.573
47.047	9.507
47.144	9.440
47.242	9.373
47.341	9.306
47.440	9.238
47.541	9.169
47.643	9.100
47.746	9.029
47.849	8.958
47.954	8.886
48.060	8.813
48.165	8.740
48.272	8.667
48.378	8.594
48.485	8.521
48.591	8.448
48.698	8.375
48.803	8.304
48.908	8.233
49.012	8.163
49.116	8.094
49.218	8.026
49.320	7.959
49.422	7.892
49.523	7.827
49.624	7.761
49.725	7.697
49.826	7.632
49.927	7.568
50.028	7.504
50.130	7.440
50.233	7.375
50.336	7.311
50.440	7.246
50.545	7.180
50.651	7.115
50.759	7.049
50.868	6.982
50.978	6.915
51.091	6.848
51.205	6.779
51.320	6.710
51.438	6.640
51.559	6.570
51.681	6.498
51.805	6.426
51.931	6.354
52.059	6.281
52.188	6.208
52.317	6.135
52.448	6.063
52.579	5.991
52.711	5.920
52.842	5.849
52.973	5.780
53.104	5.711
53.234	5.644
53.363	5.579
53.492	5.515
53.619	5.453
53.746	5.393
53.873	5.334
54.000	5.276
54.127	5.219
54.255	5.164
54.384	5.109
54.514	5.056
54.646	5.003
54.779	4.951
54.915	4.899
55.052	4.848
55.193	4.797
55.336	4.747
55.481	4.698
55.628	4.649
55.776	4.602
55.925	4.556
56.075	4.512
56.224	4.469
56.373	4.429
56.521	4.391
56.668	4.355
56.813	4.322
56.956	4.292
57.096	4.266
57.234	4.242
57.368	4.223
57.499	4.206
57.628	4.193
57.755	4.183
57.880	4.175
58.004	4.171
58.127	4.168
58.250	4.167
58.373	4.169
58.497	4.172
58.621	4.176
58.747	4.182
58.875	4.189
59.004	4.197
59.133	4.207
59.261	4.219
59.387	4.233
59.511	4.251
59.632	4.271
59.748	4.296
59.859	4.324
59.963	4.356
60.061	4.394
60.150	4.436
60.232	4.484
60.306	4.537
60.374	4.594
60.435	4.656
60.492	4.722
60.545	4.792
60.594	4.866
60.641	4.943
60.685	5.023
60.728	5.106
60.768	5.191
60.805	5.278
60.840	5.366
60.871	5.454
60.898	5.543
60.921	5.631
60.940	5.718
60.955	5.805
60.965	5.890
60.973	5.975
60.979	6.061
60.983	6.149
60.987	6.238
60.991	6.331
60.996	6.426
61.004	6.526
61.013	6.631
61.024	6.739
61.037	6.851
61.049	6.966
61.062	7.084
61.075	7.205
61.086	7.329
61.097	7.454
61.105	7.581
61.110	7.710
61.113	7.840
61.112	7.971
61.109	8.102
61.102	8.234
61.094	8.365
61.084	8.496
61.072	8.627
61.060	8.757
61.048	8.885
61.035	9.012
61.023	9.137
61.012	9.260
61.003	9.381
60.995	9.499
60.989	9.615
60.984	9.729
60.980	9.841
60.976	9.951
60.973	10.060
