X	Y
413.000	222.500
415.242	222.369
417.786	222.432
420.411	222.706
422.898	223.207
425.024	223.953
426.577	224.957
427.591	226.150
428.400	227.356
429.357	228.394
430.762	229.112
432.602	229.517
434.756	229.673
437.100	229.646
439.511	229.499
441.885	229.296
444.192	229.090
446.419	228.931
448.554	228.870
450.584	228.957
452.503	229.232
454.350	229.632
456.184	230.049
458.065	230.378
460.051	230.511
462.151	230.437
464.276	230.319
466.326	230.339
468.203	230.677
469.814	231.507
471.187	232.802
472.459	234.351
473.775	235.935
475.278	237.338
477.086	238.375
479.179	239.061
481.484	239.484
483.927	239.734
486.436	239.900
488.937	240.070
491.373	240.301
493.704	240.607
495.895	240.999
497.909	241.486
499.710	242.079
501.236	242.798
502.365	243.683
502.960	244.780
502.928	246.122
502.464	247.661
501.883	249.314
501.500	250.998
501.534	252.643
501.805	254.244
502.032	255.808
501.936	257.345
501.362	258.856
500.406	260.332
499.199	261.760
497.869	263.130
496.513	264.434
495.121	265.681
493.669	266.883
492.129	268.051
490.480	269.197
488.749	270.332
487.006	271.468
485.321	272.615
483.762	273.785
482.386	274.984
481.145	276.178
479.952	277.314
478.718	278.341
477.363	279.215
475.862	279.929
474.216	280.494
472.425	280.921
470.494	281.225
468.481	281.441
466.465	281.618
464.529	281.801
462.752	282.040
461.164	282.364
459.664	282.756
458.125	283.192
456.426	283.648
454.520	284.094
452.483	284.491
450.404	284.798
448.369	284.974
446.462	284.984
444.708	284.885
443.078	284.811
441.543	284.900
440.071	285.279
438.604	285.934
437.067	286.749
435.382	287.607
433.476	288.396
431.343	289.068
429.041	289.641
426.631	290.135
424.174	290.569
421.730	290.964
419.354	291.338
417.071	291.706
414.897	292.079
412.845	292.471
410.931	292.894
409.162	293.360
407.483	293.878
405.808	294.457
404.051	295.104
402.129	295.828
400.036	296.584
397.864	297.272
395.706	297.789
393.657	298.032
391.811	297.898
390.190	297.375
388.721	296.572
387.326	295.605
385.926	294.587
384.489	293.571
383.042	292.532
381.614	291.439
380.235	290.261
378.916	288.986
377.617	287.642
376.297	286.263
374.910	284.885
373.418	283.542
371.809	282.266
370.090	281.086
368.267	280.033
366.347	279.139
364.338	278.420
362.270	277.818
360.180	277.239
358.102	276.591
356.075	275.780
354.132	274.721
352.289	273.419
350.550	271.927
348.917	270.298
347.395	268.588
345.988	266.851
344.694	265.116
343.512	263.383
342.437	261.648
341.465	259.907
340.592	258.156
339.801	256.387
339.063	254.589
338.350	252.747
337.632	250.849
336.884	248.887
336.108	246.869
335.317	244.817
334.528	242.749
333.753	240.686
333.017	238.649
332.441	236.688
332.215	234.871
332.529	233.267
333.566	231.942
335.337	230.915
337.658	230.151
340.332	229.611
343.165	229.257
345.960	229.049
348.533	228.951
350.853	228.927
353.009	228.949
355.090	228.985
357.186	229.007
359.387	228.984
361.728	228.909
364.179	228.802
366.704	228.685
369.265	228.582
371.827	228.513
374.354	228.502
376.825	228.549
379.232	228.638
381.566	228.754
383.819	228.880
385.984	228.999
388.061	229.092
390.084	229.121
392.099	229.049
394.148	228.835
396.277	228.438
398.498	227.844
400.742	227.103
402.926	226.275
404.967	225.421
406.780	224.603
408.315	223.877
409.718	223.272
411.207	222.807
413.000	222.500
