X	Y
22.907	28.118
23.015	28.043
23.135	27.983
23.267	27.937
23.410	27.903
23.562	27.880
23.722	27.866
23.890	27.859
24.064	27.858
24.244	27.861
24.427	27.867
24.613	27.874
24.801	27.880
24.990	27.884
25.179	27.886
25.368	27.886
25.557	27.886
25.745	27.884
25.933	27.881
26.119	27.879
26.304	27.876
26.487	27.874
26.668	27.872
26.846	27.872
27.022	27.873
27.194	27.876
27.363	27.881
27.529	27.888
27.691	27.898
27.851	27.911
28.007	27.928
28.162	27.948
28.314	27.972
28.465	27.999
28.615	28.032
28.764	28.069
28.913	28.110
29.061	28.158
29.210	28.210
29.359	28.268
29.509	28.332
29.658	28.401
29.807	28.475
29.954	28.555
30.101	28.640
30.246	28.729
30.389	28.824
30.530	28.924
30.669	29.028
30.805	29.137
30.937	29.251
31.066	29.369
31.191	29.491
31.312	29.617
31.428	29.747
31.539	29.880
31.644	30.017
31.743	30.156
31.836	30.297
31.922	30.441
32.000	30.587
32.070	30.734
32.132	30.883
32.185	31.033
32.229	31.183
32.264	31.334
32.290	31.487
32.308	31.640
32.318	31.795
32.321	31.952
32.316	32.110
32.305	32.270
32.287	32.432
32.263	32.596
32.233	32.763
32.198	32.932
32.157	33.104
32.112	33.279
32.061	33.455
32.006	33.632
31.945	33.809
31.880	33.986
31.809	34.162
31.734	34.336
31.654	34.508
31.569	34.678
31.478	34.844
31.383	35.005
31.284	35.162
31.179	35.314
31.069	35.459
30.955	35.599
30.838	35.735
30.718	35.866
30.596	35.995
30.472	36.121
30.348	36.246
30.224	36.370
30.101	36.495
29.980	36.620
29.860	36.748
29.744	36.878
29.632	37.011
29.524	37.149
29.421	37.291
29.320	37.435
29.221	37.580
29.122	37.724
29.023	37.866
28.921	38.003
28.815	38.135
28.704	38.260
28.587	38.376
28.462	38.481
28.328	38.575
28.184	38.654
28.028	38.719
27.862	38.768
27.687	38.805
27.507	38.830
27.322	38.844
27.135	38.849
26.949	38.847
26.764	38.839
26.585	38.826
26.412	38.809
26.247	38.791
26.094	38.773
25.954	38.756
25.828	38.740
25.717	38.725
25.618	38.708
25.530	38.684
25.451	38.651
25.380	38.605
25.313	38.544
25.251	38.463
25.191	38.364
25.132	38.247
25.076	38.114
25.020	37.966
24.964	37.807
24.908	37.636
24.852	37.457
24.793	37.270
24.733	37.077
24.670	36.881
24.605	36.682
24.535	36.482
24.461	36.283
24.383	36.087
24.301	35.893
24.216	35.700
24.129	35.511
24.040	35.324
23.950	35.139
23.859	34.957
23.769	34.778
23.679	34.601
23.591	34.428
23.505	34.257
23.422	34.090
23.343	33.926
23.267	33.766
23.196	33.608
23.130	33.455
23.068	33.305
23.010	33.160
22.956	33.019
22.905	32.882
22.857	32.751
22.811	32.625
22.768	32.505
22.725	32.390
22.684	32.282
22.643	32.180
22.604	32.083
22.566	31.991
22.530	31.900
22.498	31.809
22.470	31.717
22.447	31.622
22.430	31.521
22.418	31.415
22.412	31.303
22.410	31.188
22.412	31.069
22.415	30.949
22.420	30.827
22.425	30.706
22.429	30.587
22.431	30.470
22.431	30.356
22.430	30.244
22.427	30.133
22.425	30.021
22.423	29.908
22.422	29.791
22.423	29.671
22.427	29.545
22.435	29.412
22.447	29.273
22.464	29.130
22.487	28.985
22.518	28.840
22.557	28.699
22.605	28.563
22.663	28.434
22.732	28.316
22.813	28.210
22.907	28.118
