X,Y
4.804,3.055
4.811,3.046
4.819,3.035
4.827,3.025
4.836,3.013
4.846,3.002
4.856,2.989
4.867,2.977
4.879,2.964
4.890,2.950
4.903,2.936
4.915,2.922
4.928,2.908
4.942,2.893
4.956,2.878
4.970,2.863
4.984,2.847
4.998,2.832
5.013,2.816
5.028,2.800
5.043,2.784
5.058,2.768
5.073,2.752
5.089,2.736
5.104,2.720
5.119,2.704
5.135,2.688
5.150,2.672
5.166,2.656
5.181,2.640
5.197,2.624
5.213,2.609
5.228,2.593
5.244,2.577
5.260,2.561
5.276,2.546
5.292,2.530
5.308,2.515
5.324,2.500
5.340,2.485
5.356,2.470
5.372,2.455
5.389,2.440
5.405,2.426
5.421,2.412
5.438,2.397
5.454,2.383
5.471,2.370
5.487,2.356
5.504,2.343
5.521,2.329
5.537,2.316
5.554,2.304
5.571,2.291
5.588,2.278
5.605,2.265
5.622,2.253
5.639,2.240
5.657,2.228
5.674,2.215
5.692,2.203
5.710,2.190
5.727,2.178
5.745,2.165
5.764,2.152
5.782,2.139
5.800,2.126
5.819,2.113
5.838,2.099
5.856,2.085
5.876,2.071
5.895,2.057
5.914,2.043
5.934,2.028
5.954,2.013
5.974,1.997
5.994,1.981
6.014,1.965
6.035,1.949
6.055,1.933
6.076,1.917
6.096,1.900
6.116,1.884
6.136,1.868
6.156,1.853
6.176,1.837
6.195,1.822
6.214,1.807
6.232,1.793
6.250,1.780
6.268,1.767
6.285,1.755
6.302,1.743
6.317,1.733
6.333,1.723
6.347,1.714
6.361,1.706
6.374,1.700
6.386,1.694
6.397,1.690
6.407,1.687
6.416,1.685
6.425,1.684
6.433,1.684
6.440,1.684
6.448,1.685
6.455,1.685
6.463,1.685
6.472,1.683
6.481,1.681
6.491,1.678
6.501,1.673
6.513,1.667
6.526,1.659
6.539,1.651
6.552,1.641
6.567,1.631
6.581,1.619
6.597,1.607
6.612,1.594
6.627,1.581
6.643,1.567
6.659,1.553
6.675,1.539
6.690,1.524
6.706,1.510
6.721,1.495
6.735,1.481
6.750,1.466
6.764,1.453
6.777,1.439
6.789,1.426
6.801,1.414
6.812,1.403
6.822,1.392
6.832,1.381
6.842,1.371
6.851,1.361
6.860,1.352
6.868,1.343
6.877,1.335
6.886,1.326
6.895,1.318
6.904,1.309
6.914,1.301
6.924,1.293
6.935,1.285
6.947,1.276
6.959,1.268
6.972,1.259
6.985,1.250
6.999,1.241
7.014,1.233
7.028,1.225
7.042,1.217
7.056,1.210
7.070,1.204
7.083,1.199
7.095,1.194
7.107,1.191
7.117,1.189
7.127,1.188
7.135,1.189
7.141,1.191
7.146,1.194
7.150,1.199
7.152,1.205
7.155,1.210
7.158,1.216
7.161,1.220
7.166,1.224
7.172,1.225
7.179,1.225
7.188,1.224
7.197,1.221
7.208,1.217
7.220,1.212
7.233,1.206
7.247,1.199
7.261,1.192
7.276,1.184
7.291,1.176
7.307,1.168
7.323,1.160
7.339,1.152
7.355,1.144
7.371,1.137
7.388,1.130
7.403,1.124
7.419,1.119
7.435,1.114
7.450,1.109
7.466,1.105
7.481,1.102
7.496,1.099
7.511,1.096
7.526,1.093
7.541,1.091
7.556,1.089
7.570,1.087
7.585,1.085
7.599,1.083
7.614,1.081
7.629,1.079
7.643,1.076
7.658,1.074
7.672,1.071
7.687,1.069
7.702,1.066
7.716,1.063
7.731,1.060
7.746,1.057
7.760,1.054
7.775,1.052
7.790,1.049
7.805,1.047
7.819,1.045
7.834,1.043
7.849,1.042
7.863,1.041
7.878,1.040
7.893,1.040
7.908,1.041
7.922,1.042
7.937,1.044
7.952,1.047
7.966,1.050
7.981,1.054
7.995,1.058
8.009,1.063
8.023,1.068
8.037,1.074
8.051,1.081
8.065,1.087
8.078,1.095
8.091,1.103
8.104,1.111
8.117,1.120
8.129,1.130
8.141,1.140
8.153,1.150
8.164,1.161
8.175,1.172
8.186,1.183
8.196,1.195
8.206,1.208
8.215,1.220
8.224,1.233
8.233,1.246
8.241,1.260
8.249,1.274
8.257,1.288
8.264,1.302
8.271,1.316
8.277,1.331
8.283,1.346
8.289,1.361
8.294,1.376
8.299,1.391
8.304,1.407
8.308,1.422
8.311,1.437
8.315,1.453
8.318,1.469
8.320,1.485
8.322,1.500
8.325,1.517
8.326,1.533
8.328,1.549
8.329,1.565
8.330,1.582
8.331,1.599
8.332,1.616
8.333,1.633
8.333,1.650
8.334,1.667
8.334,1.685
8.334,1.703
8.334,1.721
8.334,1.739
8.334,1.757
8.335,1.775
8.334,1.794
8.334,1.813
8.334,1.832
8.334,1.851
8.333,1.870
8.333,1.889
8.332,1.909
8.331,1.928
8.330,1.948
8.329,1.968
8.327,1.987
8.325,2.007
8.323,2.027
8.321,2.047
8.319,2.067
8.316,2.087
8.313,2.107
8.309,2.127
8.305,2.147
8.301,2.167
8.297,2.188
8.292,2.208
8.287,2.228
8.282,2.248
8.276,2.268
8.270,2.287
8.263,2.307
8.257,2.327
8.250,2.346
8.242,2.366
8.235,2.385
8.227,2.404
8.219,2.422
