X,Y
319.000,229.000
319.540,227.486
320.192,225.905
320.950,224.268
321.810,222.583
322.767,220.858
323.816,219.103
324.952,217.327
326.171,215.539
327.468,213.747
328.837,211.961
330.275,210.189
331.776,208.441
333.335,206.726
334.949,205.052
336.612,203.426
338.322,201.848
340.079,200.313
341.881,198.819
343.728,197.362
345.618,195.938
347.549,194.544
349.522,193.176
351.534,191.832
353.584,190.507
355.672,189.198
357.796,187.901
359.954,186.614
362.147,185.332
364.372,184.053
366.629,182.772
368.916,181.486
371.233,180.193
373.579,178.893
375.953,177.583
378.356,176.264
380.787,174.935
383.245,173.595
385.730,172.243
388.242,170.879
390.781,169.501
393.345,168.110
395.935,166.703
398.549,165.281
401.189,163.843
403.853,162.388
406.540,160.915
409.252,159.423
411.986,157.912
414.743,156.381
417.522,154.829
420.323,153.256
423.145,151.662
425.985,150.050
428.842,148.424
431.713,146.786
434.597,145.140
437.490,143.489
440.392,141.835
443.299,140.182
446.210,138.532
449.123,136.889
452.035,135.256
454.945,133.635
457.850,132.030
460.748,130.444
463.638,128.880
466.516,127.340
469.381,125.828
472.231,124.347
475.064,122.901
477.877,121.490
480.668,120.120
483.436,118.793
486.177,117.512
488.888,116.278
491.566,115.095
494.205,113.964
496.802,112.887
499.354,111.866
501.855,110.904
504.303,110.003
506.693,109.164
509.022,108.391
511.285,107.684
513.478,107.046
515.598,106.479
517.640,105.986
519.601,105.568
521.477,105.227
523.263,104.966
524.960,104.783
526.577,104.670
528.127,104.616
529.620,104.610
531.069,104.642
532.484,104.701
533.878,104.777
535.262,104.860
536.647,104.938
538.045,105.002
539.466,105.046
540.912,105.084
542.386,105.134
543.887,105.214
545.419,105.344
546.982,105.539
548.577,105.820
550.206,106.204
551.871,106.708
553.572,107.353
555.311,108.154
557.083,109.120
558.869,110.231
560.646,111.462
562.392,112.791
564.085,114.192
565.702,115.644
567.223,117.120
568.624,118.599
569.884,120.056
570.980,121.468
571.890,122.810
572.593,124.059
573.066,125.191
573.309,126.197
573.372,127.101
573.313,127.931
573.190,128.716
573.061,129.484
572.983,130.265
572.979,131.079
573.022,131.935
573.080,132.841
573.118,133.803
573.106,134.829
573.010,135.927
572.803,137.102
572.486,138.344
572.066,139.640
571.552,140.975
570.953,142.337
570.275,143.712
569.529,145.085
568.720,146.444
567.859,147.775
566.953,149.064
566.012,150.303
565.048,151.503
564.075,152.679
563.108,153.846
562.160,155.019
561.245,156.213
560.377,157.443
559.570,158.723
558.838,160.070
558.195,161.497
557.653,163.018
557.214,164.629
556.871,166.312
556.617,168.052
556.446,169.830
556.350,171.631
556.324,173.437
556.360,175.231
556.452,176.997
556.592,178.718
556.775,180.376
556.993,181.956
557.242,183.444
557.523,184.850
557.841,186.188
558.202,187.473
558.608,188.718
559.065,189.939
559.576,191.150
560.147,192.365
560.782,193.598
561.483,194.863
562.231,196.155
562.994,197.457
563.736,198.755
564.427,200.032
565.031,201.272
565.517,202.459
565.851,203.577
566.000,204.612
565.932,205.547
565.641,206.400
565.141,207.211
564.446,208.017
563.570,208.861
562.528,209.781
561.333,210.818
560.000,212.011
558.543,213.401
556.975,215.027
555.312,216.917
553.561,219.056
551.734,221.416
549.840,223.971
547.888,226.695
545.887,229.560
543.849,232.540
541.781,235.609
539.693,238.739
537.596,241.904
535.499,245.076
533.410,248.231
531.340,251.339
529.299,254.376
527.295,257.315
525.339,260.128
523.440,262.788
521.607,265.270
519.850,267.547
518.179,269.591
516.603,271.376
515.131,272.876
513.770,274.072
512.506,274.990
511.317,275.670
510.182,276.154
509.082,276.481
507.994,276.692
506.899,276.829
505.776,276.931
504.603,277.039
503.370,277.171
502.078,277.314
500.732,277.449
499.335,277.561
497.891,277.631
496.403,277.643
494.875,277.580
493.312,277.423
491.716,277.157
490.090,276.765
488.441,276.248
486.772,275.622
485.088,274.904
483.394,274.110
481.695,273.258
479.996,272.363
478.301,271.442
476.616,270.512
474.945,269.589
473.293,268.691
471.666,267.833
470.067,267.032
468.500,266.302
466.960,265.642
465.439,265.046
463.930,264.510
462.425,264.029
460.917,263.598
459.398,263.211
457.862,262.864
456.299,262.551
454.703,262.268
453.066,262.010
451.383,261.772
449.656,261.556
447.891,261.362
446.092,261.192
444.264,261.049
442.412,260.935
440.541,260.849
438.657,260.796
436.764,260.775
434.867,260.790
432.971,260.841
431.082,260.930
429.204,261.060
427.339,261.228
425.486,261.429
423.643,261.657
421.809,261.907
419.983,262.171
418.163,262.446
416.347,262.724
414.535,263.000
412.724,263.269
410.913,263.524
409.101,263.759
407.286,263.970
405.467,264.149
403.639,264.298
401.798,264.416
399.939,264.505
398.059,264.565
396.151,264.597
394.213,264.602
392.238,264.582
390.223,264.535
388.164,264.465
386.054,264.371
383.891,264.254
381.669,264.115
379.383,263.955
377.034,263.775
374.630,263.574
372.180,263.351
369.692,263.107
367.176,262.840
364.641,262.550
362.095,262.238
359.548,261.902
357.009,261.541
354.486,261.157
351.988,260.747
349.525,260.312
347.105,259.851
344.738,259.364
342.432,258.850
340.197,258.309
338.041,257.741
335.971,257.144
333.994,256.517
332.113,255.858
330.336,255.166
328.667,254.440
327.111,253.677
325.674,252.877
324.361,252.038
323.177,251.158
322.129,250.235
321.221,249.269
320.457,248.258
319.828,247.206
319.320,246.118
318.917,245.002
318.602,243.863
318.361,242.708
318.179,241.542
318.038,240.371
317.926,239.202
317.844,238.030
317.801,236.847
317.810,235.643
317.881,234.410
318.024,233.138
318.252,231.819
318.573,230.442
319.000,229.000
