X,Y
5.339,1.451
5.353,1.447
5.367,1.444
5.382,1.442
5.398,1.441
5.414,1.441
5.430,1.442
5.448,1.443
5.466,1.446
5.484,1.449
5.504,1.453
5.524,1.457
5.544,1.462
5.565,1.468
5.587,1.474
5.609,1.480
5.632,1.487
5.655,1.494
5.679,1.501
5.703,1.509
5.727,1.516
5.751,1.524
5.776,1.532
5.800,1.540
5.824,1.547
5.848,1.555
5.872,1.563
5.895,1.570
5.918,1.577
5.941,1.584
5.963,1.590
5.984,1.596
6.005,1.601
6.025,1.606
6.044,1.611
6.063,1.615
6.081,1.619
6.100,1.622
6.117,1.625
6.135,1.628
6.153,1.631
6.171,1.634
6.189,1.636
6.208,1.639
6.226,1.641
6.246,1.643
6.266,1.646
6.287,1.649
6.308,1.651
6.331,1.654
6.354,1.657
6.377,1.660
6.402,1.663
6.427,1.667
6.452,1.670
6.478,1.674
6.505,1.677
6.532,1.681
6.559,1.685
6.587,1.689
6.616,1.692
6.645,1.697
6.674,1.701
6.703,1.705
6.733,1.709
6.763,1.714
6.793,1.718
6.824,1.723
6.855,1.728
6.886,1.733
6.916,1.738
6.947,1.743
6.978,1.748
7.008,1.753
7.038,1.758
7.068,1.763
7.097,1.768
7.125,1.773
7.153,1.778
7.180,1.783
7.207,1.788
7.232,1.793
7.257,1.798
7.280,1.803
7.303,1.808
7.324,1.813
7.344,1.817
7.362,1.822
7.379,1.826
7.395,1.831
7.410,1.835
7.424,1.840
7.437,1.844
7.450,1.849
7.463,1.854
7.475,1.859
7.489,1.864
7.502,1.870
7.517,1.876
7.532,1.882
7.549,1.889
7.566,1.896
7.585,1.903
7.604,1.911
7.623,1.919
7.644,1.928
7.664,1.936
7.685,1.945
7.706,1.954
7.727,1.963
7.748,1.973
7.768,1.982
7.788,1.992
7.808,2.001
7.827,2.011
7.846,2.021
7.863,2.030
7.880,2.040
7.897,2.049
7.912,2.059
7.928,2.068
7.942,2.077
7.957,2.086
7.971,2.094
7.985,2.102
7.998,2.110
8.012,2.118
8.026,2.125
8.039,2.131
8.053,2.137
8.066,2.143
8.080,2.148
8.095,2.154
8.109,2.158
8.123,2.163
8.138,2.167
8.154,2.171
8.169,2.175
8.185,2.179
8.202,2.183
8.219,2.187
8.236,2.191
8.254,2.195
8.272,2.199
8.290,2.204
8.309,2.208
8.328,2.213
8.347,2.217
8.366,2.222
8.385,2.228
8.404,2.233
8.423,2.239
8.442,2.245
8.460,2.252
8.478,2.258
8.496,2.266
8.513,2.273
8.530,2.281
8.547,2.290
8.563,2.298
8.578,2.307
8.593,2.317
8.607,2.326
8.621,2.336
8.633,2.346
8.645,2.357
8.656,2.367
8.667,2.378
8.676,2.389
8.685,2.401
8.692,2.412
8.699,2.424
8.705,2.437
8.710,2.449
8.715,2.463
8.718,2.476
8.721,2.491
8.724,2.506
8.725,2.522
8.726,2.538
8.727,2.555
8.726,2.572
8.725,2.590
8.724,2.608
8.721,2.626
8.718,2.643
8.715,2.661
8.710,2.678
8.705,2.694
8.700,2.709
8.694,2.724
8.687,2.737
8.679,2.750
8.671,2.761
8.662,2.772
8.654,2.781
8.646,2.791
8.637,2.799
8.629,2.808
8.622,2.817
8.615,2.825
8.610,2.834
8.605,2.843
8.600,2.852
8.596,2.862
8.591,2.871
8.586,2.881
8.581,2.892
8.574,2.902
8.566,2.913
8.556,2.924
8.545,2.936
8.533,2.947
8.521,2.958
8.507,2.970
8.494,2.980
8.480,2.991
8.466,3.001
8.453,3.010
8.440,3.019
8.428,3.026
8.417,3.033
8.408,3.039
8.399,3.043
8.391,3.047
8.383,3.049
8.376,3.051
8.368,3.051
8.359,3.051
8.349,3.049
8.339,3.047
8.327,3.045
8.315,3.042
8.302,3.040
8.288,3.039
8.274,3.038
8.258,3.038
8.242,3.040
8.224,3.044
8.206,3.049
8.187,3.056
8.168,3.064
8.148,3.073
8.127,3.084
8.106,3.095
8.084,3.106
8.062,3.118
8.040,3.131
8.017,3.143
7.994,3.154
7.972,3.166
7.949,3.176
7.926,3.186
7.903,3.195
7.881,3.202
7.858,3.208
7.836,3.212
7.815,3.214
7.793,3.215
7.772,3.214
7.751,3.212
7.730,3.209
7.710,3.205
7.689,3.200
7.668,3.195
7.647,3.188
7.627,3.182
7.606,3.175
7.585,3.168
7.564,3.161
7.543,3.154
7.521,3.148
7.499,3.142
7.477,3.137
7.455,3.132
7.432,3.128
7.410,3.124
7.388,3.121
7.366,3.118
7.344,3.116
7.323,3.115
7.302,3.114
7.282,3.115
7.262,3.115
7.243,3.117
7.226,3.119
7.209,3.121
7.193,3.125
7.178,3.129
7.165,3.134
7.152,3.139
7.140,3.144
7.128,3.149
7.116,3.155
7.104,3.160
7.092,3.164
7.080,3.168
7.066,3.171
7.052,3.173
7.036,3.174
7.020,3.174
7.003,3.174
6.986,3.173
6.968,3.171
6.951,3.169
6.933,3.166
6.916,3.164
6.900,3.161
6.884,3.158
6.869,3.156
6.854,3.153
6.841,3.151
6.829,3.149
6.818,3.147
6.808,3.145
6.797,3.142
6.788,3.139
6.778,3.134
6.768,3.129
6.757,3.122
6.747,3.114
6.735,3.104
6.724,3.093
6.712,3.081
6.700,3.068
6.687,3.054
6.674,3.038
6.661,3.022
6.648,3.005
6.634,2.987
6.620,2.968
6.606,2.948
6.592,2.928
6.577,2.908
6.563,2.886
6.548,2.865
6.533,2.843
6.518,2.820
6.503,2.798
6.488,2.775
6.472,2.752
6.457,2.729
6.441,2.706
6.426,2.683
6.410,2.661
6.395,2.638
6.379,2.616
6.364,2.595
6.348,2.574
6.333,2.553
6.317,2.533
6.302,2.513
6.286,2.495
6.271,2.477
6.256,2.460
6.240,2.444
6.225,2.429
6.210,2.415
6.195,2.401
6.180,2.389
6.166,2.377
6.151,2.366
6.136,2.357
6.122,2.347
6.107,2.339
6.093,2.332
6.078,2.325
6.064,2.319
6.049,2.314
6.035,2.310
6.021,2.306
6.007,2.303
5.992,2.300
5.978,2.299
5.964,2.297
5.951,2.297
5.937,2.296
5.923,2.297
5.910,2.297
5.897,2.298
5.883,2.300
5.870,2.301
5.858,2.301
5.845,2.301
5.832,2.300
5.820,2.297
5.808,2.293
5.796,2.286
5.784,2.278
5.773,2.267
5.762,2.254
5.750,2.238
5.739,2.221
5.728,2.202
5.718,2.182
5.707,2.161
5.697,2.138
5.686,2.115
5.676,2.092
5.665,2.068
5.655,2.044
5.645,2.020
5.634,1.997
5.624,1.974
5.613,1.952
5.603,1.932
5.592,1.912
5.582,1.894
5.571,1.876
5.560,1.860
5.550,1.845
5.539,1.830
5.528,1.816
5.517,1.802
5.506,1.789
5.496,1.776
5.485,1.763
5.474,1.750
5.463,1.737
5.453,1.723
5.442,1.709
5.432,1.695
5.421,1.680
5.411,1.665
5.400,1.651
5.390,1.636
5.380,1.622
5.369,1.609
5.359,1.596
5.349,1.583
5.339,1.572
5.329,1.561
5.319,1.552
5.310,1.544
5.300,1.537
5.292,1.531
5.285,1.525
5.279,1.519
5.275,1.513
5.274,1.506
5.276,1.499
5.279,1.492
5.286,1.484
5.293,1.477
5.303,1.469
5.314,1.463
5.326,1.456
5.339,1.451
