X,Y
34.035,15.291
34.035,15.220
34.042,15.149
34.055,15.078
34.076,15.007
34.103,14.937
34.137,14.867
34.176,14.798
34.222,14.730
34.274,14.662
34.331,14.595
34.394,14.530
34.463,14.465
34.537,14.401
34.615,14.339
34.699,14.278
34.788,14.219
34.881,14.161
34.979,14.104
35.081,14.047
35.187,13.992
35.298,13.938
35.413,13.884
35.531,13.830
35.654,13.777
35.780,13.724
35.910,13.671
36.043,13.617
36.179,13.564
36.319,13.510
36.462,13.456
36.607,13.401
36.756,13.345
36.907,13.288
37.061,13.230
37.218,13.170
37.376,13.110
37.537,13.048
37.700,12.984
37.865,12.918
38.032,12.851
38.201,12.781
38.371,12.710
38.542,12.636
38.715,12.560
38.890,12.483
39.065,12.404
39.241,12.324
39.418,12.242
39.595,12.160
39.773,12.076
39.952,11.992
40.130,11.907
40.309,11.822
40.487,11.737
40.666,11.651
40.843,11.565
41.021,11.480
41.198,11.395
41.374,11.311
41.549,11.227
41.723,11.145
41.895,11.063
42.067,10.983
42.237,10.903
42.405,10.826
42.571,10.750
42.736,10.676
42.899,10.604
43.059,10.534
43.217,10.467
43.372,10.402
43.525,10.340
43.675,10.280
43.823,10.224
43.967,10.171
44.108,10.121
44.246,10.074
44.381,10.031
44.513,9.991
44.643,9.954
44.770,9.921
44.894,9.891
45.016,9.864
45.135,9.840
45.253,9.820
45.368,9.803
45.481,9.789
45.592,9.779
45.702,9.772
45.810,9.768
45.916,9.768
46.020,9.771
46.124,9.777
46.226,9.786
46.326,9.799
46.426,9.815
46.525,9.834
46.622,9.857
46.717,9.883
46.809,9.912
46.899,9.946
46.984,9.983
47.065,10.024
47.141,10.069
47.212,10.118
47.276,10.172
47.333,10.229
47.383,10.292
47.424,10.358
47.457,10.430
47.480,10.506
47.494,10.587
47.497,10.673
47.492,10.763
47.477,10.857
47.454,10.955
47.424,11.056
47.386,11.160
47.341,11.267
47.291,11.377
47.234,11.489
47.173,11.602
47.107,11.717
47.036,11.833
46.963,11.949
46.886,12.066
46.807,12.183
46.726,12.300
46.643,12.417
46.560,12.532
46.476,12.647
46.392,12.759
46.309,12.870
46.227,12.979
46.147,13.086
46.068,13.190
45.989,13.292
45.912,13.392
45.835,13.491
45.759,13.588
45.683,13.683
45.607,13.776
45.532,13.868
45.456,13.959
45.380,14.048
45.303,14.137
45.226,14.224
45.148,14.310
45.069,14.396
44.989,14.481
44.907,14.565
44.824,14.649
44.739,14.732
44.653,14.815
44.565,14.898
44.474,14.980
44.382,15.063
44.287,15.145
44.191,15.227
44.093,15.308
43.994,15.389
43.894,15.469
43.792,15.549
43.690,15.627
43.587,15.704
43.483,15.780
43.380,15.855
43.276,15.928
43.172,16.000
43.068,16.070
42.965,16.138
42.862,16.204
42.760,16.269
42.659,16.331
42.559,16.391
42.460,16.449
42.363,16.504
42.267,16.556
42.173,16.606
42.081,16.653
41.989,16.697
41.899,16.739
41.810,16.777
41.721,16.813
41.632,16.845
41.544,16.875
41.456,16.901
41.367,16.924
41.278,16.945
41.188,16.961
41.097,16.975
41.004,16.985
40.911,16.992
40.815,16.995
40.718,16.995
40.618,16.991
40.517,16.984
40.414,16.974
40.309,16.961
40.202,16.945
40.094,16.926
39.985,16.905
39.874,16.881
39.762,16.855
39.650,16.828
39.537,16.798
39.423,16.767
39.308,16.735
39.193,16.701
39.078,16.666
38.963,16.630
38.848,16.594
38.733,16.557
38.619,16.519
38.505,16.482
38.392,16.444
38.279,16.407
38.167,16.370
38.055,16.333
37.944,16.297
37.834,16.262
37.724,16.228
37.615,16.195
37.506,16.164
37.397,16.134
37.289,16.106
37.181,16.080
37.074,16.056
36.966,16.035
36.859,16.016
36.752,15.999
36.646,15.986
36.539,15.975
36.433,15.968
36.326,15.964
36.220,15.964
36.113,15.967
36.007,15.973
35.901,15.982
35.796,15.992
35.692,16.004
35.589,16.016
35.487,16.028
35.387,16.040
35.288,16.050
35.192,16.059
35.097,16.065
35.006,16.068
34.916,16.067
34.830,16.062
34.747,16.052
34.667,16.036
34.591,16.015
34.518,15.986
34.449,15.951
34.385,15.910
34.325,15.864
34.270,15.813
34.220,15.757
34.176,15.697
34.136,15.635
34.103,15.569
34.076,15.502
34.056,15.432
34.042,15.362
34.035,15.291
