X,Y
648.000,203.000
649.385,202.327
650.909,201.682
652.566,201.063
654.351,200.470
656.257,199.901
658.280,199.356
660.413,198.834
662.651,198.333
664.987,197.853
667.418,197.393
669.936,196.952
672.537,196.529
675.213,196.122
677.961,195.732
680.774,195.356
683.646,194.994
686.572,194.646
689.546,194.309
692.563,193.984
695.616,193.669
698.701,193.363
701.811,193.065
704.940,192.774
708.084,192.490
711.237,192.211
714.392,191.937
717.544,191.666
720.687,191.397
723.817,191.130
726.926,190.863
730.010,190.596
733.063,190.328
736.078,190.057
739.051,189.783
741.976,189.504
744.847,189.221
747.659,188.931
750.408,188.634
753.096,188.332
755.729,188.024
758.307,187.711
760.835,187.394
763.316,187.075
765.753,186.752
768.149,186.428
770.507,186.102
772.831,185.776
775.123,185.450
777.387,185.125
779.627,184.801
781.844,184.480
784.043,184.162
786.227,183.848
788.399,183.538
790.561,183.233
792.718,182.934
794.872,182.641
797.026,182.355
799.185,182.078
801.350,181.809
803.525,181.549
805.714,181.299
807.919,181.060
810.143,180.832
812.391,180.617
814.665,180.414
816.968,180.224
819.303,180.049
821.673,179.889
824.080,179.743
826.521,179.611
828.997,179.493
831.505,179.389
834.046,179.297
836.619,179.217
839.221,179.148
841.853,179.091
844.514,179.045
847.202,179.008
849.917,178.982
852.658,178.964
855.424,178.955
858.214,178.954
861.026,178.960
863.861,178.973
866.718,178.993
869.594,179.019
872.490,179.051
875.405,179.087
878.337,179.128
881.286,179.173
884.250,179.221
887.229,179.273
890.223,179.326
893.229,179.382
896.247,179.439
899.277,179.497
902.317,179.555
905.366,179.613
908.424,179.671
911.489,179.727
914.560,179.782
917.638,179.834
920.720,179.884
923.806,179.930
926.895,179.973
929.986,180.012
933.078,180.046
936.168,180.078
939.255,180.108
942.336,180.139
945.410,180.170
948.474,180.204
951.526,180.242
954.563,180.286
957.585,180.336
960.589,180.394
963.572,180.462
966.533,180.540
969.469,180.630
972.378,180.734
975.259,180.853
978.109,180.987
980.926,181.140
983.708,181.311
986.453,181.502
989.158,181.715
991.822,181.951
994.443,182.212
997.017,182.498
999.545,182.811
1002.022,183.152
1004.447,183.523
1006.819,183.925
1009.134,184.359
1011.391,184.827
1013.587,185.331
1015.721,185.871
1017.791,186.448
1019.794,187.065
1021.728,187.723
1023.591,188.422
1025.381,189.164
1027.095,189.951
1028.727,190.778
1030.270,191.645
1031.719,192.549
1033.067,193.487
1034.309,194.457
1035.438,195.458
1036.447,196.486
1037.331,197.539
1038.084,198.615
1038.699,199.712
1039.171,200.828
1039.492,201.959
1039.658,203.104
1039.661,204.261
1039.496,205.427
1039.157,206.599
1038.637,207.777
1037.942,208.956
1037.083,210.134
1036.069,211.309
1034.912,212.478
1033.624,213.639
1032.214,214.789
1030.694,215.925
1029.074,217.044
1027.365,218.145
1025.579,219.224
1023.727,220.279
1021.818,221.307
1019.864,222.305
1017.876,223.272
1015.864,224.203
1013.840,225.098
1011.815,225.952
1009.798,226.764
1007.802,227.531
1005.837,228.250
1003.914,228.919
1002.044,229.534
