X,Y
641.000,245.000
642.133,244.319
643.362,243.676
644.685,243.069
646.100,242.499
647.604,241.964
649.196,241.463
650.873,240.996
652.634,240.562
654.476,240.160
656.396,239.788
658.393,239.448
660.465,239.136
662.609,238.854
664.823,238.599
667.105,238.372
669.453,238.171
671.865,237.995
674.338,237.844
676.871,237.716
679.461,237.612
682.106,237.530
684.803,237.469
687.552,237.429
690.349,237.408
693.192,237.406
696.079,237.423
699.009,237.457
701.978,237.507
704.986,237.573
708.028,237.654
711.104,237.748
714.211,237.856
717.348,237.977
720.511,238.108
723.699,238.251
726.909,238.404
730.140,238.565
733.389,238.735
736.654,238.913
739.933,239.097
743.223,239.287
746.523,239.482
749.831,239.681
753.144,239.884
756.459,240.089
759.776,240.296
763.091,240.504
766.403,240.712
769.710,240.919
773.008,241.125
776.298,241.330
779.580,241.533
782.853,241.735
786.119,241.936
789.376,242.137
792.625,242.338
795.866,242.540
799.099,242.742
802.325,242.945
805.544,243.149
808.755,243.355
811.959,243.563
815.155,243.774
818.345,243.987
821.528,244.202
824.704,244.422
827.873,244.644
831.036,244.871
834.192,245.102
837.342,245.337
840.486,245.578
843.624,245.823
846.756,246.075
849.882,246.332
853.002,246.595
856.117,246.865
859.226,247.141
862.330,247.425
865.429,247.717
868.522,248.016
871.611,248.323
874.695,248.639
877.774,248.964
880.848,249.297
883.918,249.641
886.983,249.994
890.044,250.357
893.101,250.731
896.154,251.115
899.203,251.511
902.248,251.918
905.289,252.336
908.327,252.767
911.361,253.210
914.392,253.666
917.420,254.135
920.445,254.617
923.467,255.113
926.485,255.624
929.502,256.148
932.515,256.687
935.526,257.241
938.535,257.811
941.541,258.396
944.545,258.997
947.547,259.615
950.547,260.249
953.546,260.900
956.542,261.568
959.535,262.253
962.522,262.955
965.500,263.673
968.467,264.407
971.421,265.156
974.359,265.920
977.278,266.698
980.177,267.490
983.053,268.296
985.903,269.114
988.726,269.946
991.518,270.790
994.277,271.645
997.002,272.512
999.688,273.390
1002.335,274.279
1004.939,275.177
1007.498,276.085
1010.010,277.003
1012.472,277.929
1014.882,278.864
1017.238,279.807
1019.536,280.757
1021.776,281.714
1023.953,282.678
1026.066,283.648
1028.113,284.624
1030.090,285.605
1031.996,286.592
1033.828,287.583
1035.583,288.578
1037.260,289.576
1038.856,290.578
1040.368,291.583
1041.794,292.590
1043.132,293.599
1044.379,294.609
1045.532,295.621
1046.590,296.633
