X,Y
14.481,9.037
14.482,8.937
14.490,8.838
14.506,8.742
14.529,8.647
14.557,8.555
14.592,8.464
14.631,8.376
14.674,8.289
14.721,8.205
14.770,8.123
14.823,8.043
14.876,7.965
14.932,7.889
14.988,7.815
15.045,7.742
15.103,7.671
15.161,7.601
15.219,7.532
15.278,7.463
15.336,7.395
15.393,7.327
15.450,7.260
15.506,7.192
15.561,7.124
15.616,7.055
15.669,6.986
15.722,6.917
15.774,6.847
15.826,6.777
15.877,6.707
15.928,6.636
15.979,6.564
16.030,6.492
16.081,6.419
16.132,6.346
16.183,6.272
16.234,6.198
16.285,6.123
16.336,6.048
16.387,5.973
16.438,5.898
16.488,5.823
16.539,5.747
16.589,5.672
16.639,5.597
16.689,5.522
16.740,5.447
16.791,5.372
16.842,5.298
16.895,5.223
16.948,5.150
17.003,5.077
17.059,5.004
17.118,4.932
17.178,4.860
17.241,4.789
17.305,4.719
17.371,4.649
17.438,4.581
17.506,4.513
17.574,4.446
17.642,4.381
17.709,4.317
17.775,4.254
17.840,4.193
17.903,4.133
17.963,4.075
18.022,4.018
18.078,3.963
18.133,3.908
18.188,3.854
18.241,3.800
18.294,3.746
18.347,3.692
18.401,3.637
18.456,3.581
18.511,3.524
18.568,3.466
18.627,3.407
18.687,3.348
18.749,3.288
18.812,3.227
18.878,3.166
18.945,3.105
19.015,3.044
19.087,2.983
19.161,2.923
19.237,2.863
19.315,2.803
19.394,2.743
19.475,2.684
19.557,2.625
19.639,2.567
19.721,2.508
19.803,2.451
19.885,2.393
19.966,2.336
20.046,2.279
20.125,2.223
20.202,2.167
20.278,2.111
20.353,2.056
20.427,2.001
20.501,1.947
20.573,1.893
20.645,1.840
20.717,1.788
20.789,1.737
20.860,1.686
20.932,1.637
21.004,1.588
21.076,1.541
21.148,1.494
21.221,1.449
21.293,1.405
21.366,1.363
21.438,1.322
21.511,1.283
21.584,1.245
21.657,1.209
21.730,1.175
21.802,1.142
21.874,1.111
21.945,1.082
22.015,1.054
22.084,1.028
22.150,1.003
22.215,0.979
22.277,0.956
22.338,0.935
22.396,0.915
22.454,0.898
22.512,0.882
22.571,0.869
22.631,0.859
22.694,0.853
22.760,0.850
22.827,0.851
22.896,0.857
22.964,0.869
23.031,0.887
23.095,0.913
23.155,0.947
23.210,0.989
23.259,1.040
23.301,1.100
23.336,1.165
23.364,1.233
23.386,1.303
23.400,1.371
23.408,1.437
23.409,1.497
23.403,1.549
23.392,1.595
23.380,1.636
23.371,1.675
23.368,1.715
23.374,1.757
23.392,1.804
23.418,1.854
23.452,1.906
23.491,1.961
23.533,2.018
23.577,2.075
23.619,2.133
23.658,2.190
23.694,2.247
23.726,2.303
23.753,2.358
23.777,2.413
23.795,2.468
23.809,2.522
23.817,2.576
23.821,2.629
23.820,2.681
23.815,2.734
23.806,2.786
23.793,2.837
23.778,2.889
23.760,2.940
23.744,2.989
23.733,3.034
23.729,3.073
23.737,3.105
23.760,3.128
23.794,3.146
23.835,3.162
23.877,3.181
23.915,3.210
23.944,3.251
23.963,3.306
23.974,3.370
23.979,3.441
23.978,3.515
23.975,3.589
23.969,3.660
23.964,3.725
23.961,3.780
23.960,3.827
23.964,3.869
23.974,3.907
23.990,3.944
24.013,3.983
24.043,4.026
24.078,4.072
24.114,4.121
24.149,4.174
24.182,4.230
24.208,4.289
24.226,4.351
24.235,4.416
24.236,4.483
24.231,4.552
24.222,4.622
24.211,4.691
24.200,4.760
24.190,4.828
24.185,4.893
24.184,4.956
24.187,5.017
24.192,5.078
24.197,5.140
24.201,5.203
24.201,5.270
24.195,5.342
24.183,5.419
24.163,5.502
24.139,5.588
24.114,5.674
24.091,5.757
24.075,5.833
24.068,5.900
24.075,5.953
24.098,5.991
24.141,6.010
24.200,6.012
24.267,6.003
24.333,5.988
24.391,5.973
24.431,5.963
24.445,5.965
24.431,5.980
24.395,6.007
24.344,6.045
24.285,6.089
24.226,6.138
24.174,6.189
24.137,6.241
24.117,6.291
24.109,6.339
24.109,6.385
24.112,6.429
24.112,6.471
24.106,6.510
24.094,6.548
24.081,6.585
24.073,6.623
24.074,6.665
24.087,6.709
24.109,6.757
24.134,6.806
24.159,6.856
24.178,6.905
24.186,6.952
24.178,6.997
24.155,7.039
24.121,7.081
24.079,7.124
24.032,7.169
23.986,7.218
23.942,7.273
23.904,7.335
23.873,7.403
23.847,7.475
23.826,7.549
23.808,7.624
23.792,7.697
23.776,7.766
23.760,7.830
