X,Y
14.556,11.537
14.558,11.568
14.568,11.602
14.585,11.638
14.606,11.677
14.633,11.717
14.663,11.760
14.696,11.803
14.731,11.848
14.767,11.894
14.804,11.941
14.841,11.989
14.876,12.037
14.909,12.085
14.939,12.133
14.968,12.181
14.994,12.229
15.019,12.276
15.042,12.323
15.063,12.369
15.083,12.415
15.102,12.460
15.119,12.504
15.136,12.547
15.152,12.589
15.167,12.630
15.181,12.669
15.196,12.708
15.210,12.745
15.225,12.782
15.240,12.818
15.256,12.854
15.273,12.890
15.291,12.926
15.311,12.962
15.332,12.998
15.356,13.035
15.381,13.073
15.407,13.111
15.435,13.150
15.464,13.189
15.494,13.228
15.524,13.268
15.555,13.308
15.586,13.349
15.617,13.390
15.648,13.431
15.678,13.472
15.708,13.513
15.736,13.554
15.765,13.596
15.793,13.638
15.820,13.680
15.848,13.723
15.875,13.767
15.902,13.810
15.930,13.855
15.958,13.901
15.987,13.947
16.017,13.994
16.047,14.042
16.078,14.091
16.110,14.141
16.143,14.192
16.176,14.242
16.209,14.293
16.242,14.344
16.275,14.393
16.307,14.442
16.339,14.490
16.369,14.535
16.399,14.580
16.427,14.621
16.453,14.661
16.477,14.698
16.500,14.731
16.521,14.762
16.540,14.791
16.559,14.819
16.578,14.846
16.598,14.873
16.618,14.901
16.640,14.930
16.665,14.960
16.691,14.993
16.720,15.029
16.751,15.066
16.784,15.105
16.817,15.145
16.852,15.186
16.887,15.228
16.921,15.270
16.956,15.312
16.989,15.353
17.021,15.394
17.052,15.434
17.081,15.472
17.107,15.509
17.132,15.545
17.155,15.579
17.177,15.613
17.197,15.647
17.217,15.680
17.237,15.714
17.257,15.747
17.277,15.782
17.298,15.817
17.319,15.853
17.341,15.891
17.365,15.929
17.389,15.969
17.414,16.008
17.440,16.049
17.467,16.090
17.494,16.132
17.523,16.174
17.553,16.216
17.583,16.258
17.614,16.300
17.646,16.342
17.679,16.385
17.713,16.427
17.747,16.469
17.782,16.511
17.818,16.553
17.854,16.596
17.891,16.638
17.928,16.681
17.965,16.724
18.003,16.767
18.042,16.810
18.080,16.854
18.119,16.898
18.158,16.942
18.197,16.986
18.236,17.031
18.275,17.075
18.315,17.119
18.354,17.162
18.394,17.204
18.433,17.246
18.473,17.286
18.513,17.326
18.552,17.363
18.592,17.399
18.631,17.434
18.670,17.466
18.710,17.496
18.749,17.524
18.789,17.550
18.830,17.574
18.871,17.596
18.914,17.617
18.958,17.635
19.004,17.652
19.052,17.667
19.103,17.680
19.156,17.692
19.212,17.702
19.270,17.711
19.332,17.718
19.396,17.724
19.461,17.728
19.528,17.731
19.596,17.732
19.664,17.732
19.733,17.731
19.801,17.728
19.868,17.723
19.933,17.717
19.997,17.710
20.058,17.701
20.117,17.691
20.172,17.679
20.224,17.666
20.271,17.652
20.315,17.636
20.357,17.619
20.396,17.601
20.433,17.581
20.470,17.561
20.507,17.540
20.543,17.518
20.581,17.495
20.621,17.471
20.662,17.447
20.707,17.422
20.755,17.397
20.804,17.371
20.856,17.345
20.910,17.318
20.964,17.291
21.020,17.264
21.077,17.236
21.133,17.208
21.190,17.180
21.247,17.152
21.302,17.124
21.357,17.095
21.410,17.066
21.462,17.038
21.511,17.009
21.559,16.980
21.605,16.951
21.649,16.922
21.692,16.894
21.734,16.865
21.775,16.836
21.815,16.806
21.854,16.777
21.893,16.748
21.932,16.719
21.970,16.689
22.009,16.660
22.048,16.630
22.086,16.600
22.125,16.570
22.164,16.540
22.202,16.509
22.239,16.477
22.276,16.445
22.313,16.413
22.348,16.379
22.382,16.345
22.416,16.310
22.448,16.274
22.478,16.237
22.508,16.199
22.537,16.160
22.565,16.120
22.593,16.080
22.620,16.039
22.648,15.997
22.676,15.955
22.705,15.912
22.735,15.869
22.766,15.825
22.798,15.781
22.832,15.737
22.868,15.692
22.904,15.647
22.941,15.602
22.978,15.557
23.015,15.511
23.051,15.465
23.085,15.419
23.118,15.372
23.148,15.325
23.176,15.277
23.200,15.229
23.220,15.180
23.236,15.130
23.247,15.081
23.254,15.030
23.257,14.979
23.257,14.928
23.254,14.877
23.250,14.826
23.246,14.775
23.241,14.724
23.237,14.674
23.234,14.623
23.233,14.574
23.236,14.525
23.241,14.477
23.251,14.430
23.265,14.384
23.282,14.338
23.302,14.293
