X,Y
827.333,524.333
827.626,523.199
827.958,522.141
828.361,521.151
828.866,520.225
829.503,519.358
830.303,518.542
831.297,517.774
832.516,517.047
833.970,516.357
835.645,515.698
837.526,515.067
839.597,514.459
841.844,513.869
844.249,513.295
846.798,512.730
849.474,512.172
852.263,511.615
855.149,511.055
858.116,510.488
861.148,509.910
864.231,509.315
867.347,508.701
870.483,508.062
873.622,507.395
876.748,506.694
879.846,505.956
882.904,505.178
885.919,504.362
888.893,503.512
891.825,502.632
894.715,501.726
897.564,500.797
900.372,499.850
903.140,498.887
905.867,497.913
908.555,496.932
911.203,495.946
913.811,494.961
916.380,493.979
918.911,493.005
921.403,492.041
923.857,491.093
926.273,490.163
928.652,489.256
930.993,488.374
933.298,487.523
935.568,486.702
937.810,485.911
940.027,485.148
942.225,484.414
944.409,483.705
946.583,483.022
948.754,482.363
950.924,481.728
953.101,481.114
955.288,480.521
957.490,479.948
959.713,479.394
961.961,478.857
964.239,478.337
966.553,477.832
968.906,477.341
971.296,476.868
973.716,476.414
976.159,475.985
978.617,475.584
981.084,475.216
983.551,474.884
986.013,474.592
988.461,474.344
990.888,474.145
993.288,473.997
995.654,473.906
997.977,473.874
1000.251,473.907
1002.468,474.007
1004.622,474.179
1006.705,474.427
1008.709,474.754
1010.627,475.165
1012.450,475.664
1014.170,476.253
1015.778,476.937
1017.267,477.720
1018.628,478.605
1019.852,479.597
1020.932,480.698
1021.859,481.914
1022.625,483.247
1023.224,484.699
1023.660,486.254
1023.941,487.896
1024.075,489.604
1024.069,491.362
1023.931,493.149
1023.669,494.947
1023.290,496.738
1022.803,498.503
1022.214,500.224
1021.532,501.882
1020.763,503.459
1019.916,504.945
1018.998,506.348
1018.014,507.677
1016.971,508.942
1015.877,510.150
1014.738,511.311
1013.560,512.434
1012.350,513.528
1011.116,514.601
1009.862,515.664
1008.598,516.724
1007.326,517.786
1006.049,518.836
1004.764,519.854
1003.471,520.823
1002.170,521.726
1000.860,522.543
999.539,523.257
998.208,523.850
996.865,524.304
995.509,524.600
994.140,524.722
992.753,524.676
991.343,524.480
989.903,524.157
988.427,523.726
986.909,523.208
985.342,522.624
983.721,521.994
982.038,521.339
980.289,520.680
978.466,520.037
976.565,519.430
974.583,518.872
972.529,518.363
970.411,517.904
968.236,517.494
966.013,517.135
963.748,516.825
961.450,516.566
959.127,516.357
956.786,516.199
954.436,516.092
952.084,516.035
949.738,516.030
947.405,516.076
945.094,516.173
942.813,516.322
940.567,516.522
938.354,516.769
936.169,517.058
934.007,517.384
931.864,517.742
929.734,518.126
927.612,518.532
925.494,518.954
923.374,519.388
921.247,519.828
919.109,520.269
916.955,520.706
914.779,521.134
912.577,521.547
910.343,521.942
908.075,522.313
905.776,522.660
903.453,522.987
901.114,523.295
898.766,523.588
896.417,523.866
894.073,524.133
891.743,524.391
889.433,524.643
887.150,524.889
884.903,525.134
882.697,525.380
880.542,525.628
878.443,525.881
876.408,526.142
874.445,526.412
872.556,526.694
870.736,526.987
868.978,527.293
867.275,527.612
865.622,527.943
864.012,528.288
862.439,528.646
860.896,529.019
859.377,529.405
857.876,529.806
856.386,530.223
854.901,530.654
853.417,531.096
851.933,531.544
850.444,531.992
848.950,532.435
847.447,532.866
845.933,533.281
844.405,533.673
842.862,534.037
841.300,534.367
839.717,534.658
838.115,534.903
836.516,535.088
834.949,535.198
833.441,535.218
832.019,535.133
830.712,534.927
829.548,534.586
828.554,534.094
827.758,533.437
827.182,532.603
826.812,531.616
826.619,530.508
826.575,529.313
826.653,528.065
826.824,526.796
827.060,525.541
827.333,524.333
