X,Y
824.333,531.000
824.938,530.375
825.826,529.889
826.979,529.528
828.378,529.276
830.004,529.117
831.840,529.037
833.865,529.019
836.063,529.050
838.414,529.112
840.900,529.192
843.501,529.274
846.201,529.342
848.979,529.381
851.818,529.376
854.700,529.312
857.609,529.179
860.542,528.982
863.495,528.726
866.466,528.416
869.451,528.059
872.446,527.658
875.448,527.220
878.454,526.750
881.460,526.253
884.464,525.735
887.462,525.201
890.450,524.657
893.425,524.107
896.384,523.558
899.324,523.015
902.242,522.482
905.133,521.966
907.994,521.472
910.823,521.005
913.616,520.570
916.370,520.174
919.081,519.821
921.750,519.512
924.378,519.246
926.970,519.021
929.527,518.834
932.053,518.683
934.551,518.567
937.023,518.482
939.473,518.428
941.903,518.401
944.315,518.400
946.714,518.422
949.101,518.465
951.480,518.528
953.854,518.608
956.225,518.703
958.596,518.810
960.970,518.928
963.350,519.055
965.730,519.193
968.095,519.351
970.429,519.536
972.715,519.758
974.938,520.024
977.082,520.343
979.131,520.725
981.068,521.176
982.878,521.706
984.545,522.323
986.052,523.036
987.385,523.852
988.525,524.781
989.459,525.831
990.175,527.004
990.681,528.286
990.985,529.659
991.097,531.108
991.026,532.615
990.781,534.163
990.370,535.735
989.803,537.315
989.089,538.886
988.238,540.430
987.257,541.932
986.156,543.382
984.942,544.783
983.624,546.136
982.208,547.445
980.703,548.712
979.117,549.939
977.456,551.129
975.729,552.284
973.944,553.407
972.108,554.501
970.229,555.567
968.314,556.608
966.372,557.628
964.411,558.627
962.436,559.610
960.454,560.576
958.465,561.525
956.470,562.457
954.472,563.371
952.471,564.269
950.470,565.148
948.470,566.009
946.471,566.852
944.477,567.676
942.488,568.481
940.505,569.267
938.531,570.033
936.567,570.779
934.614,571.505
932.674,572.211
930.748,572.896
928.837,573.557
926.943,574.191
925.065,574.794
923.204,575.362
921.361,575.893
919.538,576.382
917.734,576.826
915.950,577.222
914.188,577.565
912.447,577.853
910.729,578.081
909.034,578.247
907.364,578.346
905.717,578.378
904.095,578.344
902.494,578.250
900.915,578.099
899.357,577.896
897.818,577.643
896.297,577.346
894.794,577.007
893.307,576.632
891.836,576.223
890.379,575.786
888.935,575.322
887.501,574.838
886.073,574.334
884.647,573.815
883.218,573.283
881.782,572.743
880.335,572.196
878.874,571.647
877.393,571.098
875.888,570.553
874.356,570.015
872.792,569.486
871.196,568.967
869.570,568.452
867.920,567.933
866.249,567.404
864.562,566.859
862.863,566.292
861.156,565.695
859.445,565.062
857.735,564.388
856.029,563.664
854.332,562.885
852.649,562.044
850.982,561.135
849.337,560.154
847.713,559.106
846.113,557.996
844.538,556.828
842.989,555.609
841.467,554.342
839.974,553.033
838.512,551.688
837.080,550.310
835.681,548.906
834.315,547.480
832.985,546.037
831.692,544.582
830.436,543.122
829.222,541.661
828.072,540.213
827.012,538.794
826.068,537.421
825.268,536.108
824.636,534.871
824.201,533.726
823.987,532.689
824.023,531.775
824.333,531.000
