X,Y
9.011,4.126
9.026,4.112
9.042,4.098
9.060,4.085
9.079,4.073
9.100,4.061
9.123,4.050
9.147,4.039
9.172,4.029
9.199,4.019
9.226,4.010
9.256,4.002
9.286,3.994
9.317,3.987
9.350,3.980
9.383,3.974
9.418,3.968
9.453,3.962
9.490,3.958
9.527,3.953
9.564,3.950
9.603,3.946
9.642,3.943
9.682,3.941
9.722,3.939
9.763,3.937
9.804,3.936
9.846,3.935
9.887,3.935
9.930,3.935
9.972,3.935
10.014,3.936
10.057,3.937
10.100,3.938
10.143,3.940
10.185,3.942
10.228,3.945
10.270,3.947
10.312,3.950
10.354,3.954
10.396,3.957
10.437,3.961
10.478,3.966
10.519,3.970
10.559,3.975
10.599,3.980
10.639,3.985
10.679,3.990
10.719,3.996
10.758,4.002
10.797,4.008
10.836,4.014
10.875,4.021
10.913,4.027
10.952,4.034
10.990,4.041
11.028,4.048
11.066,4.056
11.104,4.063
11.142,4.071
11.180,4.078
11.218,4.086
11.256,4.094
11.293,4.102
11.331,4.110
11.369,4.118
11.407,4.127
11.444,4.135
11.482,4.144
11.520,4.152
11.558,4.161
11.596,4.169
11.634,4.178
11.672,4.186
11.710,4.195
11.749,4.204
11.787,4.212
11.826,4.221
11.865,4.229
11.904,4.238
11.943,4.247
11.982,4.255
12.022,4.264
12.062,4.272
12.102,4.280
12.142,4.289
12.183,4.297
12.223,4.305
12.265,4.313
12.306,4.321
12.347,4.329
12.389,4.337
12.431,4.345
12.473,4.353
12.515,4.360
12.558,4.368
12.600,4.376
12.643,4.383
12.686,4.391
12.730,4.398
12.773,4.406
12.817,4.413
12.861,4.421
12.905,4.428
12.949,4.435
12.993,4.443
13.038,4.450
13.082,4.457
13.127,4.465
13.172,4.472
13.217,4.479
13.262,4.486
13.308,4.494
13.353,4.501
13.399,4.508
13.444,4.515
13.490,4.522
13.536,4.530
13.582,4.537
13.629,4.544
13.675,4.551
13.721,4.558
13.768,4.565
13.814,4.573
13.861,4.580
13.908,4.587
13.954,4.594
14.001,4.602
14.048,4.609
14.095,4.616
14.142,4.623
14.190,4.631
14.237,4.638
14.284,4.646
14.331,4.653
14.379,4.661
14.426,4.668
14.473,4.676
14.521,4.683
14.568,4.691
14.614,4.699
14.661,4.706
14.707,4.714
14.753,4.722
14.798,4.730
14.843,4.738
14.888,4.746
14.931,4.755
14.974,4.763
15.017,4.771
15.058,4.780
15.099,4.788
15.139,4.797
15.178,4.806
15.216,4.815
15.253,4.824
15.288,4.833
15.323,4.843
15.356,4.852
15.388,4.862
15.419,4.872
15.449,4.881
15.477,4.892
15.503,4.902
15.528,4.912
15.551,4.923
15.573,4.934
15.593,4.944
15.611,4.956
15.627,4.967
15.642,4.978
15.654,4.990
15.665,5.002
15.673,5.014
15.680,5.026
15.684,5.039
15.686,5.052
15.686,5.065
15.685,5.078
15.682,5.091
15.676,5.104
15.670,5.118
15.662,5.132
15.652,5.146
15.641,5.160
15.629,5.174
15.616,5.189
15.601,5.204
15.586,5.218
15.570,5.233
15.553,5.248
15.535,5.263
15.516,5.279
15.497,5.294
15.478,5.309
15.458,5.325
15.438,5.341
15.417,5.356
15.395,5.372
15.374,5.387
15.351,5.402
15.329,5.418
15.306,5.432
15.282,5.447
15.258,5.462
15.234,5.476
15.209,5.490
15.184,5.503
15.159,5.516
15.133,5.529
15.107,5.541
15.081,5.553
15.054,5.564
15.027,5.575
15.000,5.585
14.973,5.594
14.945,5.603
14.917,5.611
14.888,5.618
14.860,5.625
14.831,5.630
14.802,5.635
14.773,5.639
14.743,5.642
14.714,5.644
14.684,5.645
14.654,5.646
14.624,5.645
14.594,5.643
14.563,5.641
14.532,5.637
14.501,5.633
14.470,5.628
14.439,5.622
14.407,5.616
14.375,5.608
14.343,5.601
14.311,5.592
14.279,5.583
14.246,5.573
14.213,5.562
14.180,5.551
14.147,5.540
14.113,5.528
14.079,5.515
14.045,5.502
14.011,5.488
13.976,5.474
13.941,5.460
13.906,5.445
13.871,5.430
13.835,5.415
13.799,5.399
13.763,5.383
13.727,5.367
13.690,5.350
13.653,5.334
13.616,5.317
13.578,5.300
13.540,5.283
13.502,5.266
13.464,5.248
13.425,5.231
13.386,5.214
13.346,5.196
13.307,5.179
13.267,5.161
13.227,5.144
13.186,5.127
13.145,5.110
13.104,5.092
13.063,5.075
13.022,5.058
12.980,5.041
12.938,5.024
12.896,5.007
12.854,4.990
12.812,4.973
12.770,4.956
12.727,4.939
12.685,4.923
12.642,4.906
12.599,4.889
12.557,4.873
12.514,4.856
12.471,4.840
12.428,4.824
12.385,4.808
12.343,4.791
12.300,4.775
12.257,4.759
12.215,4.744
12.172,4.728
12.130,4.712
