X,Y
52.839,41.101
52.811,41.313
52.813,41.551
52.840,41.813
52.890,42.094
52.960,42.389
53.047,42.695
53.148,43.009
53.260,43.325
53.380,43.640
53.506,43.951
53.634,44.252
53.762,44.541
53.892,44.816
54.024,45.076
54.161,45.320
54.303,45.546
54.452,45.754
54.609,45.941
54.776,46.107
54.954,46.251
55.145,46.371
55.348,46.468
55.562,46.543
55.787,46.598
56.019,46.637
56.259,46.660
56.505,46.670
56.755,46.668
57.008,46.658
57.263,46.641
57.516,46.620
57.763,46.600
58.002,46.584
58.228,46.576
58.438,46.580
58.627,46.600
58.794,46.639
58.934,46.702
59.052,46.785
59.159,46.884
59.265,46.992
59.379,47.105
59.512,47.217
59.670,47.323
59.853,47.422
60.056,47.514
60.276,47.599
60.510,47.676
60.754,47.744
61.004,47.804
61.258,47.854
61.511,47.895
61.763,47.926
62.011,47.948
62.257,47.960
62.499,47.964
62.737,47.958
62.972,47.944
63.202,47.921
63.427,47.890
63.647,47.850
63.863,47.804
64.076,47.753
64.288,47.697
64.500,47.639
64.714,47.579
64.932,47.520
65.154,47.463
65.383,47.409
65.618,47.359
65.860,47.312
66.106,47.267
66.356,47.223
66.610,47.178
66.866,47.133
67.123,47.086
67.380,47.037
67.638,46.983
67.894,46.925
68.148,46.860
68.401,46.788
68.652,46.707
68.901,46.616
69.148,46.512
69.393,46.395
69.636,46.263
69.876,46.114
70.113,45.947
70.347,45.763
70.577,45.563
70.802,45.349
71.021,45.126
71.233,44.895
71.438,44.659
71.633,44.420
71.819,44.183
71.995,43.948
72.158,43.719
72.309,43.499
72.447,43.289
72.570,43.085
72.677,42.886
72.768,42.689
72.841,42.491
72.896,42.288
72.931,42.079
72.945,41.860
72.938,41.630
72.911,41.393
72.863,41.153
72.796,40.915
72.711,40.683
72.608,40.463
72.488,40.258
72.352,40.074
72.201,39.914
72.037,39.780
71.862,39.667
71.679,39.574
71.491,39.496
71.302,39.430
71.113,39.372
70.929,39.319
70.750,39.268
70.575,39.219
70.401,39.171
70.226,39.123
70.048,39.075
69.864,39.027
69.672,38.977
69.470,38.927
69.262,38.876
69.048,38.827
68.832,38.781
68.615,38.739
68.400,38.702
68.190,38.672
67.986,38.650
67.789,38.637
67.596,38.630
67.404,38.629
67.212,38.633
67.015,38.640
66.812,38.649
66.599,38.658
66.375,38.666
66.143,38.675
65.904,38.684
65.662,38.694
65.421,38.706
65.182,38.720
64.950,38.737
64.726,38.756
64.514,38.780
64.314,38.807
64.122,38.838
63.937,38.870
63.755,38.904
63.574,38.938
63.389,38.971
63.199,39.004
63.002,39.035
62.802,39.065
62.599,39.095
62.398,39.124
62.199,39.154
62.006,39.184
61.820,39.215
61.643,39.248
61.473,39.282
61.306,39.316
61.139,39.351
60.969,39.387
60.792,39.422
60.607,39.457
60.413,39.491
60.213,39.524
60.010,39.556
59.807,39.586
59.607,39.614
59.413,39.640
59.227,39.664
59.050,39.685
58.879,39.703
58.711,39.720
58.543,39.736
58.370,39.751
58.191,39.766
58.002,39.781
57.804,39.797
57.599,39.812
57.390,39.827
57.179,39.842
56.967,39.856
56.757,39.870
56.551,39.883
56.351,39.895
56.153,39.908
55.958,39.921
55.764,39.935
55.568,39.951
55.371,39.969
55.169,39.990
54.962,40.015
54.752,40.045
54.542,40.079
54.332,40.119
54.126,40.165
53.926,40.219
53.734,40.280
53.552,40.350
53.383,40.429
53.229,40.523
53.095,40.633
52.983,40.764
52.897,40.919
52.839,41.101
