X,Y
54.609,22.305
54.737,22.142
54.880,21.972
55.038,21.795
55.212,21.611
55.399,21.420
55.600,21.222
55.815,21.019
56.042,20.809
56.283,20.594
56.536,20.373
56.801,20.147
57.077,19.916
57.365,19.680
57.663,19.439
57.972,19.194
58.290,18.944
58.619,18.691
58.956,18.433
59.303,18.173
59.657,17.908
60.020,17.641
60.391,17.371
60.769,17.098
61.154,16.823
61.545,16.545
61.943,16.266
62.346,15.984
62.754,15.702
63.168,15.417
63.586,15.132
64.008,14.846
64.434,14.559
64.864,14.272
65.296,13.984
65.732,13.696
66.169,13.409
66.608,13.122
67.049,12.836
67.491,12.550
67.934,12.266
68.377,11.983
68.819,11.702
69.262,11.422
69.703,11.145
70.144,10.869
70.582,10.596
71.019,10.326
71.453,10.058
71.885,9.794
72.313,9.533
72.738,9.275
73.158,9.022
73.575,8.772
73.987,8.526
74.396,8.284
74.801,8.047
75.202,7.813
75.599,7.584
75.994,7.359
76.385,7.138
76.772,6.922
77.157,6.710
77.539,6.503
77.919,6.300
78.295,6.102
78.670,5.908
79.042,5.719
79.412,5.535
79.780,5.355
80.146,5.181
80.510,5.011
80.873,4.846
81.234,4.686
81.594,4.532
81.953,4.382
82.311,4.237
82.668,4.098
83.024,3.964
83.380,3.836
83.735,3.712
84.090,3.594
84.445,3.482
84.800,3.375
85.154,3.274
85.509,3.178
85.865,3.088
86.221,3.004
86.577,2.925
86.935,2.852
87.293,2.786
87.652,2.725
88.013,2.670
88.375,2.621
88.738,2.578
89.103,2.542
89.470,2.511
89.839,2.487
90.209,2.469
90.582,2.458
90.957,2.453
91.334,2.454
91.711,2.462
92.089,2.476
92.467,2.496
92.844,2.523
93.221,2.556
93.595,2.596
93.967,2.641
94.336,2.693
94.702,2.751
95.065,2.816
95.422,2.887
95.775,2.964
96.122,3.047
96.464,3.137
96.798,3.233
97.126,3.335
97.445,3.443
97.757,3.557
98.060,3.678
98.353,3.805
98.637,3.937
98.910,4.077
99.173,4.222
99.423,4.373
99.662,4.531
99.889,4.694
100.102,4.864
100.301,5.040
100.487,5.222
100.657,5.410
100.813,5.604
100.952,5.804
101.075,6.010
101.182,6.222
101.271,6.440
101.342,6.664
101.397,6.894
101.436,7.128
101.459,7.367
101.466,7.611
101.460,7.859
101.439,8.111
101.404,8.366
101.357,8.625
101.297,8.886
101.226,9.149
101.143,9.415
101.050,9.683
100.946,9.951
100.832,10.221
100.710,10.492
100.579,10.763
100.440,11.035
100.293,11.306
100.139,11.576
99.980,11.846
99.814,12.114
99.643,12.380
99.467,12.645
99.287,12.908
99.104,13.167
98.917,13.424
98.728,13.678
98.536,13.928
98.344,14.174
98.150,14.416
97.956,14.653
97.762,14.885
97.569,15.113
97.375,15.336
97.182,15.556
96.990,15.773
96.798,15.986
96.607,16.197
96.416,16.406
96.227,16.613
96.038,16.818
95.850,17.022
95.664,17.225
95.478,17.427
95.294,17.630
95.112,17.833
94.931,18.036
94.751,18.241
94.573,18.447
94.397,18.654
94.223,18.864
94.051,19.076
93.880,19.291
93.712,19.509
93.546,19.731
93.383,19.957
93.221,20.187
93.063,20.421
92.907,20.661
92.753,20.906
92.603,21.157
92.455,21.414
92.310,21.677
92.168,21.948
92.030,22.225
91.894,22.509
91.761,22.800
91.631,23.097
91.503,23.400
91.377,23.707
91.254,24.020
91.132,24.336
91.011,24.657
90.892,24.980
90.774,25.307
90.657,25.636
90.541,25.967
90.425,26.299
90.309,26.633
90.194,26.967
90.079,27.302
89.963,27.636
89.847,27.969
89.730,28.302
89.612,28.633
89.493,28.961
89.372,29.287
89.251,29.611
89.127,29.931
89.002,30.247
88.874,30.558
88.744,30.865
88.611,31.167
88.476,31.463
88.338,31.753
88.196,32.037
88.051,32.313
87.903,32.582
87.750,32.843
87.594,33.096
87.434,33.340
87.269,33.575
87.099,33.800
86.925,34.015
86.746,34.221
86.563,34.416
86.374,34.601
86.182,34.778
85.986,34.945
85.785,35.103
85.580,35.252
85.372,35.393
85.160,35.526
84.945,35.650
84.726,35.767
84.505,35.876
84.280,35.978
84.052,36.072
83.821,36.160
83.588,36.241
83.353,36.315
83.115,36.383
82.875,36.445
82.632,36.501
82.388,36.551
82.142,36.596
81.895,36.635
81.646,36.670
81.396,36.700
81.144,36.725
80.892,36.746
80.638,36.763
80.384,36.776
80.129,36.785
79.873,36.790
79.616,36.792
79.359,36.790
79.100,36.784
78.840,36.775
78.580,36.763
78.318,36.747
78.055,36.728
77.791,36.705
77.526,36.680
77.260,36.651
76.992,36.619
76.723,36.584
76.452,36.546
76.180,36.506
75.907,36.462
75.632,36.416
75.356,36.367
75.078,36.315
74.799,36.261
74.517,36.204
74.235,36.145
73.950,36.084
73.664,36.020
73.375,35.954
73.085,35.886
72.793,35.815
72.499,35.743
72.203,35.668
71.905,35.592
71.605,35.514
71.303,35.434
70.999,35.352
70.694,35.268
70.386,35.182
70.078,35.094
69.768,35.005
69.458,34.913
69.146,34.820
68.834,34.724
68.522,34.626
68.209,34.527
67.896,34.425
67.583,34.322
67.271,34.216
66.959,34.108
66.648,33.998
66.337,33.885
66.028,33.771
65.720,33.654
65.413,33.535
65.108,33.414
64.804,33.291
64.503,33.165
64.203,33.038
63.906,32.907
63.611,32.775
63.319,32.640
63.030,32.502
62.744,32.363
62.461,32.221
62.181,32.076
61.905,31.929
61.632,31.779
61.364,31.627
61.099,31.473
60.839,31.316
60.583,31.156
60.332,30.994
60.086,30.829
59.844,30.662
59.608,30.493
59.376,30.322
59.148,30.150
58.926,29.976
58.709,29.801
58.496,29.625
58.288,29.448
58.085,29.271
57.887,29.093
57.694,28.916
57.506,28.738
57.323,28.561
57.145,28.385
56.972,28.209
56.804,28.034
56.641,27.861
56.483,27.689
56.330,27.519
56.182,27.350
56.040,27.184
55.902,27.020
55.770,26.859
55.643,26.700
55.521,26.545
55.404,26.392
55.292,26.243
55.186,26.098
55.085,25.956
54.989,25.818
54.898,25.684
54.812,25.552
54.731,25.424
54.655,25.298
54.584,25.175
54.518,25.054
54.456,24.935
54.399,24.819
54.346,24.704
54.298,24.591
54.254,24.480
54.214,24.370
54.179,24.260
54.148,24.152
54.121,24.045
54.099,23.937
54.082,23.829
54.072,23.721
54.069,23.610
54.074,23.498
54.088,23.383
54.112,23.265
54.145,23.144
54.190,23.018
54.247,22.887
54.316,22.751
54.399,22.609
54.497,22.460
54.609,22.305
