X	Y
269.000	151.500
270.090	149.495
271.296	147.638
272.610	145.906
274.028	144.278
275.543	142.730
277.151	141.241
278.844	139.788
280.618	138.350
282.466	136.906
284.385	135.435
286.367	133.918
288.408	132.333
290.502	130.660
292.643	128.878
294.827	126.981
297.044	125.011
299.285	123.018
301.542	121.053
303.806	119.167
306.069	117.411
308.322	115.835
310.555	114.491
312.761	113.424
314.935	112.608
317.078	111.951
319.190	111.362
321.270	110.750
323.318	110.023
325.335	109.089
327.323	107.876
329.289	106.413
331.247	104.759
333.209	102.975
335.185	101.122
337.189	99.260
339.232	97.448
341.326	95.748
343.477	94.198
345.679	92.779
347.922	91.464
350.197	90.226
352.494	89.039
354.806	87.876
357.121	86.708
359.432	85.511
361.731	84.283
364.013	83.053
366.275	81.852
368.511	80.714
370.718	79.670
372.891	78.752
375.025	77.992
377.120	77.407
379.178	76.962
381.209	76.605
383.218	76.287
385.212	75.958
387.200	75.567
389.188	75.076
391.190	74.501
393.220	73.887
395.295	73.275
397.429	72.708
399.638	72.228
401.936	71.877
404.319	71.676
406.755	71.617
409.213	71.693
411.659	71.893
414.061	72.209
416.388	72.633
418.606	73.155
420.687	73.770
422.605	74.478
424.336	75.279
425.858	76.175
427.144	77.165
428.175	78.251
428.960	79.422
429.524	80.666
429.898	81.968
430.110	83.314
430.213	84.697
430.280	86.115
430.383	87.565
430.593	89.044
430.924	90.554
431.308	92.099
431.670	93.686
431.936	95.318
432.037	97.002
431.978	98.729
431.828	100.481
431.654	102.238
431.526	103.982
431.511	105.696
431.604	107.364
431.715	108.982
431.746	110.542
431.599	112.038
431.192	113.466
430.578	114.840
429.899	116.184
429.301	117.524
428.924	118.886
428.823	120.287
428.887	121.737
428.991	123.241
429.009	124.807
428.837	126.440
428.483	128.134
427.995	129.883
427.424	131.679
426.818	133.513
426.226	135.379
425.653	137.255
425.058	139.109
424.397	140.908
423.626	142.618
422.702	144.206
421.594	145.646
420.357	146.960
419.083	148.193
417.867	149.389
416.802	150.593
415.970	151.846
415.314	153.122
414.691	154.359
413.954	155.493
412.963	156.463
411.679	157.251
410.166	157.889
408.492	158.409
406.725	158.842
404.930	159.220
403.124	159.556
401.284	159.850
399.388	160.102
397.412	160.312
395.334	160.478
393.139	160.604
390.859	160.714
388.548	160.840
386.257	161.014
384.039	161.268
381.948	161.634
380.034	162.145
378.313	162.792
376.731	163.495
375.221	164.165
373.722	164.713
372.170	165.048
370.525	165.139
368.806	165.074
367.037	164.960
365.243	164.902
363.447	165.006
361.669	165.345
359.900	165.867
358.126	166.492
356.336	167.139
354.516	167.729
352.652	168.185
350.739	168.482
348.778	168.662
346.773	168.768
344.726	168.843
342.639	168.932
340.514	169.076
338.355	169.291
336.161	169.563
333.936	169.877
331.682	170.218
329.398	170.569
327.089	170.915
324.757	171.241
322.427	171.532
320.133	171.773
317.910	171.951
315.793	172.052
313.817	172.059
312.015	171.961
310.378	171.757
308.814	171.472
307.225	171.137
305.511	170.780
303.573	170.429
301.365	170.100
298.952	169.776
296.415	169.438
293.834	169.066
291.290	168.639
288.864	168.138
286.637	167.543
284.669	166.842
282.930	166.067
281.361	165.262
279.904	164.471
278.499	163.738
277.090	163.107
275.655	162.603
274.197	162.242
272.718	162.038
271.221	162.008
269.745	162.099
268.415	162.111
267.367	161.819
266.734	161.009
266.549	159.645
266.749	157.865
267.268	155.817
268.041	153.647
269.000	151.500
