X	Y
262.000	157.500
262.668	155.540
263.429	153.836
264.303	152.280
265.314	150.761
266.476	149.185
267.769	147.539
269.157	145.848
270.601	144.134
272.067	142.423
273.526	140.729
274.988	139.047
276.467	137.365
277.981	135.671
279.544	133.952
281.166	132.202
282.832	130.431
284.523	128.653
286.218	126.881
287.897	125.130
289.541	123.412
291.158	121.731
292.771	120.081
294.405	118.455
296.082	116.848
297.828	115.255
299.652	113.668
301.553	112.082
303.527	110.487
305.569	108.878
307.678	107.247
309.848	105.591
312.072	103.930
314.342	102.296
316.648	100.719
318.983	99.229
321.337	97.859
323.703	96.634
326.086	95.538
328.497	94.535
330.949	93.583
333.452	92.646
336.018	91.684
338.650	90.668
341.283	89.642
343.823	88.682
346.175	87.862
348.247	87.258
349.945	86.943
351.326	86.905
352.701	86.985
354.409	87.003
356.694	86.834
359.350	86.574
362.046	86.382
364.453	86.420
366.237	86.847
367.142	87.795
367.460	89.166
367.738	90.758
368.500	92.376
369.792	93.949
371.239	95.515
372.452	97.118
373.041	98.801
372.855	100.577
372.308	102.388
371.899	104.166
372.124	105.843
373.152	107.371
374.445	108.747
375.371	109.973
375.334	111.058
374.424	112.090
373.372	113.239
372.913	114.672
373.261	116.422
374.014	118.365
374.736	120.367
374.992	122.295
374.539	124.077
373.620	125.798
372.553	127.567
371.658	129.491
371.212	131.660
371.157	133.996
371.264	136.336
371.302	138.516
371.040	140.374
370.308	141.800
369.257	142.967
368.136	144.136
367.191	145.563
366.524	147.344
366.026	149.341
365.574	151.399
365.045	153.365
364.326	155.094
363.361	156.504
362.113	157.530
360.542	158.109
358.680	158.262
356.677	158.166
354.698	158.016
352.910	158.006
351.410	158.257
350.069	158.639
348.710	158.968
347.184	159.098
345.523	159.124
343.824	159.231
342.186	159.603
340.647	160.315
339.110	161.189
337.460	162.017
335.582	162.589
333.446	162.805
331.206	162.811
329.042	162.779
327.133	162.885
325.637	163.289
324.448	163.946
323.254	164.661
321.752	165.238
319.845	165.627
317.674	165.938
315.389	166.289
313.141	166.799
311.068	167.569
309.168	168.517
307.354	169.452
305.541	170.185
303.643	170.524
301.615	170.399
299.510	170.014
297.395	169.614
295.338	169.443
293.401	169.734
291.582	170.485
289.826	171.510
288.078	172.615
286.282	173.606
284.410	174.338
282.524	174.804
280.697	175.020
279.004	175.000
277.489	174.765
276.066	174.344
274.622	173.770
273.047	173.078
271.324	172.320
269.512	171.563
267.672	170.875
265.864	170.321
264.173	169.849
262.723	169.230
261.637	168.224
261.022	166.633
260.841	164.551
261.005	162.192
261.421	159.771
262.000	157.500
