X	Y
350.000	294.000
351.727	292.848
353.629	292.329
355.672	292.322
357.819	292.704
360.034	293.352
362.281	294.145
364.524	294.960
366.727	295.674
368.855	296.167
370.895	296.394
372.863	296.402
374.774	296.246
376.647	295.982
378.499	295.663
380.346	295.345
382.207	295.081
384.098	294.925
386.026	294.881
387.991	294.917
389.993	294.999
392.032	295.095
394.109	295.170
396.221	295.192
398.371	295.126
400.557	294.940
402.773	294.620
405.005	294.195
407.236	293.695
409.449	293.153
411.626	292.600
413.752	292.068
415.810	291.589
417.782	291.195
419.654	290.916
421.425	290.762
423.127	290.708
424.789	290.728
426.443	290.795
428.120	290.883
429.852	290.964
431.668	291.012
433.578	291.022
435.558	291.017
437.584	291.024
439.630	291.068
441.671	291.175
443.681	291.373
445.636	291.686
447.509	292.142
449.293	292.745
451.007	293.467
452.676	294.276
454.322	295.138
455.968	296.021
457.640	296.892
459.359	297.717
461.148	298.468
463.010	299.147
464.933	299.778
466.906	300.390
468.918	301.007
470.958	301.657
473.014	302.365
475.075	303.158
477.130	304.061
479.167	305.095
481.175	306.256
483.142	307.535
485.057	308.924
486.907	310.416
488.680	312.000
490.366	313.670
491.953	315.418
493.427	317.234
494.780	319.110
496.020	321.033
497.171	322.985
498.256	324.950
499.300	326.910
500.328	328.847
501.364	330.745
502.431	332.586
503.554	334.353
504.755	336.030
506.004	337.621
507.242	339.147
508.404	340.628
509.427	342.083
510.249	343.534
510.806	344.999
511.037	346.500
510.940	348.046
510.611	349.634
510.151	351.257
509.664	352.909
509.253	354.586
509.020	356.281
509.062	357.989
509.375	359.709
509.871	361.442
510.463	363.190
511.059	364.955
511.572	366.740
511.912	368.545
511.990	370.373
511.757	372.225
511.250	374.097
510.520	375.985
509.615	377.886
508.586	379.797
507.483	381.713
506.354	383.632
505.250	385.550
504.216	387.464
503.261	389.376
502.374	391.294
501.545	393.222
500.765	395.166
500.022	397.133
499.309	399.127
498.613	401.156
497.926	403.224
497.239	405.330
496.548	407.447
495.852	409.545
495.146	411.592
494.430	413.557
493.699	415.411
492.952	417.123
492.186	418.661
491.397	420.001
490.562	421.162
489.652	422.189
488.637	423.124
487.487	424.010
486.172	424.892
484.667	425.804
482.987	426.740
481.158	427.678
479.205	428.596
477.156	429.470
475.037	430.280
472.873	431.001
470.693	431.614
468.521	432.094
466.390	432.450
464.344	432.749
462.428	433.067
460.688	433.481
459.167	434.066
457.912	434.898
456.969	436.054
456.353	437.573
455.986	439.371
455.764	441.334
455.587	443.350
455.351	445.305
454.955	447.087
454.297	448.583
453.282	449.688
451.913	450.410
450.253	450.824
448.366	451.008
446.318	451.041
444.172	451.000
441.994	450.963
439.848	451.008
437.794	451.178
435.872	451.410
434.119	451.615
432.574	451.706
431.274	451.596
430.255	451.198
429.546	450.436
429.066	449.363
428.666	448.108
428.198	446.804
427.515	445.582
426.470	444.571
425.023	443.818
423.252	443.281
421.237	442.912
419.062	442.662
416.809	442.486
414.560	442.334
412.398	442.159
410.404	441.914
408.629	441.562
407.068	441.088
405.714	440.478
404.557	439.716
403.590	438.788
402.804	437.680
402.172	436.396
401.640	434.967
401.147	433.433
400.633	431.830
400.039	430.197
399.305	428.569
398.377	426.982
397.256	425.441
395.985	423.927
394.608	422.424
393.166	420.914
391.703	419.380
390.262	417.804
388.886	416.168
387.617	414.455
386.474	412.661
385.439	410.804
384.488	408.903
383.599	406.976
382.749	405.044
381.915	403.126
381.074	401.240
380.204	399.407
379.284	397.644
378.314	395.950
377.300	394.320
376.253	392.745
375.179	391.218
374.088	389.732
372.987	388.279
371.885	386.851
370.794	385.439
369.741	384.021
368.753	382.576
367.858	381.081
367.085	379.515
366.461	377.855
366.015	376.078
365.759	374.177
365.636	372.199
365.568	370.209
365.478	368.273
365.290	366.454
364.924	364.819
364.305	363.432
363.361	362.353
362.106	361.571
360.617	361.025
358.967	360.654
357.234	360.396
355.493	360.190
353.821	359.974
352.274	359.681
350.858	359.229
349.568	358.533
348.399	357.505
347.347	356.062
346.407	354.118
345.574	351.592
344.851	348.488
344.243	344.893
343.758	340.896
343.403	336.586
343.183	332.052
343.107	327.384
343.181	322.670
343.412	317.999
343.807	313.460
344.372	309.143
345.115	305.137
346.042	301.531
347.161	298.413
348.478	295.873
350.000	294.000
