X	Y
1872.000	3802.000
1882.697	3792.577
1894.542	3783.807
1907.345	3775.612
1920.918	3767.914
1935.072	3760.633
1949.618	3753.691
1964.367	3747.010
1979.129	3740.510
1993.716	3734.113
2007.939	3727.741
2021.611	3721.316
2034.673	3714.792
2047.215	3708.163
2059.341	3701.427
2071.154	3694.580
2082.755	3687.619
2094.246	3680.541
2105.731	3673.343
2117.312	3666.021
2129.091	3658.573
2141.155	3651.000
2153.513	3643.334
2166.148	3635.614
2179.046	3627.878
2192.188	3620.166
2205.561	3612.517
2219.148	3604.970
2232.933	3597.564
2246.899	3590.339
2261.032	3583.334
2275.314	3576.587
2289.727	3570.108
2304.246	3563.879
2318.847	3557.882
2333.508	3552.099
2348.203	3546.512
2362.910	3541.103
2377.605	3535.853
2392.263	3530.744
2406.862	3525.758
2421.377	3520.876
2435.788	3516.081
2450.099	3511.353
2464.326	3506.676
2478.482	3502.030
2492.584	3497.398
2506.645	3492.763
2520.680	3488.104
2534.705	3483.406
2548.733	3478.649
2562.781	3473.816
2576.858	3468.897
2590.922	3464.003
2604.892	3459.330
2618.687	3455.073
2632.225	3451.432
2645.424	3448.604
2658.203	3446.785
2670.480	3446.174
2682.175	3446.967
2693.202	3449.354
2703.426	3453.324
2712.655	3458.654
2720.693	3465.112
2727.347	3472.465
2732.421	3480.479
2735.721	3488.924
2737.129	3497.594
2736.972	3506.458
2735.740	3515.543
2733.922	3524.880
2732.009	3534.497
2730.489	3544.424
2729.839	3554.687
2730.133	3565.255
2730.990	3576.031
2732.004	3586.915
2732.771	3597.805
2732.885	3608.600
2731.942	3619.200
2729.536	3629.504
2725.436	3639.434
2719.863	3648.973
2713.109	3658.112
2705.464	3666.844
2697.221	3675.159
2688.672	3683.051
2680.107	3690.510
2671.815	3697.535
2663.977	3704.240
2656.675	3710.856
2649.986	3717.619
2643.987	3724.763
2638.755	3732.523
2634.367	3741.135
2630.851	3750.759
2627.967	3761.155
2625.390	3771.949
2622.793	3782.771
2619.851	3793.247
2616.237	3803.005
2611.624	3811.673
2605.721	3818.917
2598.593	3824.807
2590.512	3829.652
2581.756	3833.761
2572.600	3837.446
2563.322	3841.017
2554.198	3844.785
2545.376	3848.904
2536.729	3853.184
2528.087	3857.388
2519.283	3861.279
2510.151	3864.620
2500.521	3867.174
2490.237	3868.718
2479.308	3869.292
2467.893	3869.164
2456.156	3868.612
2444.261	3867.911
2432.372	3867.337
2420.651	3867.168
2409.264	3867.680
2398.354	3869.120
2387.877	3871.452
2377.677	3874.473
2367.596	3877.979
2357.478	3881.765
2347.166	3885.626
2336.501	3889.357
2325.329	3892.756
2313.603	3895.744
2301.501	3898.495
2289.232	3901.218
2277.000	3904.118
2265.011	3907.402
2253.473	3911.276
2242.590	3915.948
2232.570	3921.623
2223.550	3928.425
2215.341	3936.083
2207.657	3944.207
2200.214	3952.404
2192.723	3960.285
2184.899	3967.460
2176.457	3973.538
2167.119	3978.140
2156.843	3981.172
2145.808	3982.815
2134.207	3983.258
2122.230	3982.696
2110.068	3981.318
2097.911	3979.316
2085.951	3976.883
2074.364	3974.202
2063.163	3971.359
2052.254	3968.379
2041.542	3965.285
2030.930	3962.099
2020.323	3958.845
2009.625	3955.545
1998.739	3952.223
1987.591	3948.895
1976.208	3945.543
1964.646	3942.144
1952.962	3938.670
1941.214	3935.095
1929.458	3931.394
1917.753	3927.540
1906.155	3923.507
1894.731	3919.265
1883.672	3914.734
1873.255	3909.799
1863.760	3904.343
1855.465	3898.251
1848.650	3891.406
1843.594	3883.693
1840.564	3875.006
1839.628	3865.419
1840.683	3855.162
1843.619	3844.468
1848.328	3833.571
1854.700	3822.705
1862.627	3812.103
1872.000	3802.000
