X	Y
18.081	8.521
18.093	8.517
18.106	8.515
18.121	8.517
18.137	8.521
18.155	8.528
18.174	8.538
18.194	8.549
18.216	8.563
18.238	8.578
18.262	8.595
18.287	8.613
18.313	8.633
18.339	8.653
18.367	8.673
18.395	8.695
18.424	8.716
18.454	8.737
18.485	8.758
18.516	8.779
18.547	8.798
18.579	8.817
18.611	8.835
18.644	8.851
18.677	8.866
18.710	8.878
18.743	8.889
18.777	8.898
18.810	8.903
18.844	8.906
18.877	8.907
18.910	8.905
18.943	8.900
18.976	8.893
19.009	8.883
19.042	8.872
19.075	8.859
19.107	8.844
19.139	8.827
19.172	8.809
19.203	8.790
19.235	8.769
19.266	8.748
19.297	8.726
19.328	8.703
19.358	8.679
19.388	8.655
19.418	8.631
19.447	8.606
19.476	8.582
19.505	8.558
19.533	8.534
19.560	8.511
19.588	8.488
19.614	8.466
19.641	8.445
19.666	8.425
19.692	8.406
19.716	8.388
19.740	8.372
19.764	8.358
19.787	8.346
19.809	8.335
19.831	8.327
19.852	8.320
19.873	8.315
19.894	8.311
19.915	8.309
19.935	8.308
19.955	8.309
19.976	8.310
19.997	8.312
20.018	8.315
20.039	8.319
20.061	8.323
20.083	8.327
20.106	8.332
20.130	8.337
20.155	8.342
20.181	8.346
20.208	8.351
20.236	8.355
20.265	8.358
20.295	8.361
20.327	8.363
20.361	8.364
20.396	8.364
20.432	8.363
20.470	8.361
20.510	8.359
20.550	8.355
20.593	8.350
20.636	8.345
20.681	8.339
20.727	8.332
20.775	8.324
20.823	8.316
20.873	8.307
20.924	8.297
20.976	8.286
21.030	8.275
21.084	8.263
21.139	8.250
21.196	8.237
21.253	8.223
21.311	8.209
21.370	8.194
21.430	8.179
21.491	8.163
21.553	8.146
21.615	8.130
21.678	8.112
21.742	8.095
21.807	8.077
21.872	8.058
21.938	8.039
22.004	8.020
22.071	8.001
22.139	7.981
22.207	7.961
22.275	7.941
22.344	7.921
22.413	7.900
22.483	7.879
22.553	7.858
22.623	7.837
22.693	7.816
22.764	7.795
22.835	7.774
22.906	7.752
22.977	7.731
23.049	7.709
23.120	7.688
23.191	7.667
23.263	7.645
23.334	7.624
23.406	7.603
23.477	7.582
23.548	7.561
23.619	7.541
23.690	7.520
23.760	7.500
23.831	7.480
23.901	7.460
23.971	7.441
24.040	7.422
24.109	7.403
24.178	7.384
24.246	7.366
24.314	7.348
24.381	7.331
24.448	7.313
24.515	7.297
24.581	7.280
24.646	7.264
24.711	7.248
24.776	7.232
24.839	7.217
24.903	7.202
24.966	7.187
25.028	7.173
25.089	7.159
25.150	7.146
25.211	7.132
25.270	7.119
25.330	7.107
25.388	7.094
25.446	7.082
25.503	7.071
25.559	7.059
25.615	7.048
25.669	7.038
25.723	7.027
25.777	7.017
25.829	7.007
25.881	6.998
25.932	6.989
25.982	6.980
26.031	6.972
26.080	6.964
26.127	6.956
26.174	6.949
26.219	6.942
26.264	6.935
26.308	6.928
26.351	6.922
26.393	6.916
26.434	6.911
26.474	6.906
26.513	6.901
26.551	6.896
26.588	6.892
26.624	6.888
26.659	6.885
26.693	6.882
26.725	6.879
26.757	6.876
26.787	6.874
26.817	6.872
26.845	6.871
26.872	6.869
26.899	6.868
26.924	6.868
26.949	6.868
26.974	6.868
26.998	6.868
27.021	6.869
27.045	6.869
27.068	6.871
27.091	6.872
27.114	6.874
27.137	6.876
27.160	6.879
27.184	6.881
27.208	6.884
27.232	6.888
27.258	6.891
27.283	6.895
27.310	6.899
27.338	6.904
27.366	6.908
27.396	6.913
27.426	6.919
27.458	6.924
27.492	6.930
27.526	6.936
27.561	6.943
27.597	6.949
27.634	6.957
27.672	6.964
27.710	6.972
27.749	6.981
27.789	6.990
27.828	6.999
27.868	7.009
27.908	7.019
27.949	7.030
27.989	7.042
28.029	7.054
28.069	7.067
28.108	7.080
28.147	7.094
28.186	7.109
28.224	7.124
28.262	7.141
28.298	7.157
28.334	7.175
28.369	7.194
28.403	7.213
28.436	7.233
28.467	7.254
28.498	7.276
